site_id,year,n_months,map_a,map_b,map_c
AR-Bal,1991,12,476.297,15.602,474.885875
AR-Bal,1992,12,414.47999999999996,13.619,414.52831249999997
AR-Bal,1993,12,517.421,17.039,518.6245625
AR-Bal,1994,12,354.063,11.626999999999999,353.8968125
AR-Bal,1995,12,352.03,11.636000000000001,354.17075
AR-Bal,1996,12,485.366,15.918,484.504125
AR-Bal,1997,12,462.41099999999994,15.270000000000001,464.780625
AR-Bal,1998,12,364.25999999999993,12.015,365.7065625
AR-Bal,1999,12,328.837,10.757000000000001,327.4161875
AR-Bal,2000,12,450.52599999999995,14.886000000000003,453.092625
AR-Bal,2001,12,604.538,19.751,601.1710625000001
AR-Bal,2002,12,557.051,18.273,556.1844375000001
AR-Bal,2003,12,451.287,14.828999999999997,451.35768749999994
AR-Bal,2004,12,386.33699999999993,12.689,386.2214375
AR-Bal,2005,12,378.621,12.470000000000002,379.555625
AR-Bal,2006,12,382.14,12.635000000000002,384.5778125
AR-Bal,2007,12,449.97099999999995,14.992999999999999,456.34943749999996
AR-Bal,2008,12,361.13,11.841,360.4104375
AR-Bal,2009,12,322.22200000000004,10.613,323.0331875
AR-Bal,2010,12,468.49700000000007,15.552000000000001,473.36400000000003
AR-Bal,2011,12,395.74999999999994,13.044999999999998,397.0571875
AR-Bal,2012,12,515.763,16.871999999999996,513.5414999999999
AR-Bal,2013,12,349.28200000000004,11.508,350.27475
AR-Bal,2014,12,474.845,15.612,475.19025
AR-Bal,2015,12,351.303,11.491,349.7573125
AR-Bal,2016,12,386.57899999999995,12.666999999999998,385.5518125
AR-Bal,2017,12,488.28499999999997,16.121000000000002,490.68293750000004
AR-Bal,2018,12,378.93800000000005,12.450999999999999,378.9773125
AR-Bal,2019,12,371.0079999999999,12.23,372.25062499999996
AR-Bal,2020,12,391.6360000000001,12.865,391.5784375
AR-CCa,1991,12,3756.4480000000003,123.474,3758.239875
AR-CCa,1992,12,3505.674,114.739,3492.3683125
AR-CCa,1993,12,4988.53,164.216,4998.3245
AR-CCa,1994,12,2922.9019999999996,96.09700000000001,2924.9524375
AR-CCa,1995,12,2880.7699999999995,94.91399999999999,2888.944875
AR-CCa,1996,12,3991.4949999999994,131.379,3998.8483125
AR-CCa,1997,12,4003.5910000000003,131.355,3998.1178124999997
AR-CCa,1998,12,3680.5279999999993,121.41400000000002,3695.538625
AR-CCa,1999,12,3518.429,115.17899999999999,3505.7608125
AR-CCa,2000,12,4137.071999999999,136.30700000000002,4148.8443125
AR-CCa,2001,12,5280.2570000000005,173.46999999999997,5279.993125
AR-CCa,2002,12,4598.236,150.349,4576.247687499999
AR-CCa,2003,12,3891.4829999999997,129.489,3941.3214375
AR-CCa,2004,12,3330.5,108.775,3310.8390625
AR-CCa,2005,12,3055.421,100.533,3059.9731874999998
AR-CCa,2006,12,3571.313,117.443,3574.6713125
AR-CCa,2007,12,3302.1340000000005,109.67300000000002,3338.1719375000002
AR-CCa,2008,12,3182.05,104.437,3178.8011875
AR-CCa,2009,12,2922.7920000000004,96.456,2935.8795
AR-CCa,2010,12,2839.232,95.06199999999998,2893.449625
AR-CCa,2011,12,2548.431,84.03099999999999,2557.6935625
AR-CCa,2012,12,4406.028,144.155,4387.7178125
AR-CCa,2013,12,2382.7999999999997,78.28699999999999,2382.8605625
AR-CCa,2014,12,4195.478,139.574,4248.283625
AR-CCa,2015,12,3213.076,105.21900000000001,3202.6033125
AR-CCa,2016,12,3496.586,114.97700000000003,3499.6124374999995
AR-CCa,2017,12,3515.6790000000005,116.35799999999999,3541.6466250000003
AR-CCa,2018,12,3962.764,130.317,3966.5236875
AR-CCa,2019,12,2611.039,85.39099999999999,2599.0885624999996
AR-CCa,2020,12,2953.37,96.899,2949.3633125
AR-CCg,1991,12,3454.993,113.64200000000001,3458.9783749999997
AR-CCg,1992,12,3354.3019999999997,109.90400000000002,3345.203
AR-CCg,1993,12,4308.57,141.752,4314.5765
AR-CCg,1994,12,3060.096,100.64699999999999,3063.4430625
AR-CCg,1995,12,3002.609,98.93399999999998,3011.303625
AR-CCg,1996,12,3755.985,123.43,3756.9006249999998
AR-CCg,1997,12,4176.919,137.196,4175.90325
AR-CCg,1998,12,3000.508,99.25500000000001,3021.0740625
AR-CCg,1999,12,3347.1569999999997,109.821,3342.6766875
AR-CCg,2000,12,3821.948,125.843,3830.3463125000003
AR-CCg,2001,12,5153.880000000001,169.02499999999998,5144.6984375
AR-CCg,2002,12,5063.606,166.08000000000004,5055.06
AR-CCg,2003,12,3840.1749999999997,127.507,3880.9943125
AR-CCg,2004,12,3216.5350000000003,104.977,3195.2374375
AR-CCg,2005,12,2656.6530000000002,87.52799999999999,2664.1335000000004
AR-CCg,2006,12,3487.8140000000003,115.35900000000001,3511.2395625000004
AR-CCg,2007,12,3459.8639999999996,114.613,3488.5331874999997
AR-CCg,2008,12,3383.3360000000002,111.042,3379.8408750000003
AR-CCg,2009,12,2378.485,78.193,2379.9994375
AR-CCg,2010,12,3134.832,104.93599999999999,3193.9894999999997
AR-CCg,2011,12,2497.4060000000004,82.321,2505.6454375
AR-CCg,2012,12,5358.236000000001,174.838,5321.631625
AR-CCg,2013,12,2230.4559999999997,73.215,2228.4815625
AR-CCg,2014,12,3584.0019999999995,118.833,3616.9794374999997
AR-CCg,2015,12,3294.467,108.07,3289.380625
AR-CCg,2016,12,3275.8869999999997,107.95000000000002,3285.728125
AR-CCg,2017,12,3596.275,118.98599999999999,3621.636375
AR-CCg,2018,12,3473.1539999999995,114.035,3470.9403125000003
AR-CCg,2019,12,2467.4619999999995,81.173,2470.7031875000002
AR-CCg,2020,12,2975.1380000000004,98.08900000000001,2985.5839375
AR-TF1,1991,12,3933.745,129.34400000000002,3936.908
AR-TF1,1992,12,3697.285,121.06800000000001,3685.00725
AR-TF1,1993,12,3357.3790000000004,110.48000000000002,3362.735
AR-TF1,1994,12,3578.237,117.842,3586.8158750000002
AR-TF1,1995,12,3570.955,117.598,3579.389125
AR-TF1,1996,12,3593.147,117.91700000000002,3589.0986875
AR-TF1,1997,12,3849.0799999999995,126.79599999999999,3859.3532499999997
AR-TF1,1998,12,3028.6719999999996,99.366,3024.452625
AR-TF1,1999,12,3543.9849999999997,116.97900000000001,3560.5483125
AR-TF1,2000,12,3698.901,120.94800000000001,3681.3547500000004
AR-TF1,2001,12,3095.086,102.207,3110.9255625
AR-TF1,2002,12,3735.085,123.08,3746.2475
AR-TF1,2003,12,3837.3939999999993,126.00200000000001,3835.185875
AR-TF1,2004,12,3088.2039999999997,101.30800000000002,3083.5622500000004
AR-TF1,2005,12,3529.3320000000003,115.65500000000002,3520.2490625
AR-TF1,2006,12,3974.3209999999995,130.74699999999999,3979.6118125
AR-TF1,2007,12,4097.411999999999,135.31900000000002,4118.7720625
AR-TF1,2008,12,3405.7660000000005,111.75300000000001,3401.4819374999997
AR-TF1,2009,12,4134.3499999999995,136.02399999999997,4140.2305
AR-TF1,2010,12,3474.209,114.636,3489.2332499999998
AR-TF1,2011,12,2889.767,94.942,2889.797125
AR-TF1,2012,12,3534.64,116.16300000000001,3535.7113124999996
AR-TF1,2013,12,3490.991,114.76599999999999,3493.190125
AR-TF1,2014,12,3948.507,129.74699999999999,3949.1743125000003
AR-TF1,2015,12,3391.479,112.02000000000001,3409.6087500000003
AR-TF1,2016,12,3409.1929999999998,111.80799999999999,3403.1560000000004
AR-TF1,2017,12,3746.916,123.591,3761.8010625
AR-TF1,2018,12,3134.5679999999998,103.05900000000001,3136.8583125
AR-TF1,2019,12,3883.7239999999993,128.305,3905.2834374999998
AR-TF1,2020,12,3948.4100000000003,129.53,3942.569375
AR-TF2,1991,12,4061.7140000000004,133.71699999999998,4070.0111875
AR-TF2,1992,12,3333.6639999999998,109.139,3321.9183125
AR-TF2,1993,12,3893.2180000000003,128.314,3905.557375
AR-TF2,1994,12,3385.8400000000006,111.71100000000001,3400.2035625000003
AR-TF2,1995,12,3693.6719999999996,121.412,3695.47775
AR-TF2,1996,12,4012.315,131.617,4006.0924374999995
AR-TF2,1997,12,3777.481,124.12000000000002,3777.9025
AR-TF2,1998,12,3775.489,123.49900000000001,3759.0008125
AR-TF2,1999,12,4031.683,133.27599999999998,4056.5882500000002
AR-TF2,2000,12,3632.686,118.86999999999999,3618.105625
AR-TF2,2001,12,3766.0650000000005,124.31899999999999,3783.9595625
AR-TF2,2002,12,3028.1890000000003,99.66900000000001,3033.6751875
AR-TF2,2003,12,4027.6890000000003,132.23000000000002,4024.750625
AR-TF2,2004,12,3698.9549999999995,121.21799999999999,3689.572875
AR-TF2,2005,12,3536.302,116.026,3531.5413750000002
AR-TF2,2006,12,4119.43,135.437,4122.363687499999
AR-TF2,2007,12,4287.689,141.356,4302.52325
AR-TF2,2008,12,3774.603,123.60499999999998,3762.2271875
