site_id,TIMESTAMP,P_ERA,year,days,excluded
AR-Bal,1991-01-01,2.057,1991,31,FALSE
AR-Bal,1991-02-01,0.624,1991,28,FALSE
AR-Bal,1991-03-01,0.738,1991,31,FALSE
AR-Bal,1991-04-01,0.59,1991,30,FALSE
AR-Bal,1991-05-01,0.649,1991,31,FALSE
AR-Bal,1991-06-01,2.573,1991,30,FALSE
AR-Bal,1991-07-01,0.627,1991,31,FALSE
AR-Bal,1991-08-01,1.072,1991,31,FALSE
AR-Bal,1991-09-01,1.301,1991,30,FALSE
AR-Bal,1991-10-01,1.962,1991,31,FALSE
AR-Bal,1991-11-01,1.029,1991,30,FALSE
AR-Bal,1991-12-01,2.38,1991,31,FALSE
AR-Bal,1992-01-01,1.657,1992,31,FALSE
AR-Bal,1992-02-01,1.757,1992,29,FALSE
AR-Bal,1992-03-01,1.409,1992,31,FALSE
AR-Bal,1992-04-01,0.775,1992,30,FALSE
AR-Bal,1992-05-01,1.183,1992,31,FALSE
AR-Bal,1992-06-01,1.779,1992,30,FALSE
AR-Bal,1992-07-01,0.732,1992,31,FALSE
AR-Bal,1992-08-01,0.643,1992,31,FALSE
AR-Bal,1992-09-01,0.827,1992,30,FALSE
AR-Bal,1992-10-01,1.172,1992,31,FALSE
AR-Bal,1992-11-01,0.814,1992,30,FALSE
AR-Bal,1992-12-01,0.871,1992,31,FALSE
AR-Bal,1993-01-01,1.371,1993,31,FALSE
AR-Bal,1993-02-01,0.592,1993,28,FALSE
AR-Bal,1993-03-01,1.924,1993,31,FALSE
AR-Bal,1993-04-01,2.844,1993,30,FALSE
AR-Bal,1993-05-01,1.358,1993,31,FALSE
AR-Bal,1993-06-01,2.315,1993,30,FALSE
AR-Bal,1993-07-01,0.109,1993,31,FALSE
AR-Bal,1993-08-01,0.06,1993,31,FALSE
AR-Bal,1993-09-01,0.75,1993,30,FALSE
AR-Bal,1993-10-01,1.307,1993,31,FALSE
AR-Bal,1993-11-01,3.103,1993,30,FALSE
AR-Bal,1993-12-01,1.306,1993,31,FALSE
AR-Bal,1994-01-01,1.117,1994,31,FALSE
AR-Bal,1994-02-01,0.74,1994,28,FALSE
AR-Bal,1994-03-01,1.637,1994,31,FALSE
AR-Bal,1994-04-01,1.662,1994,30,FALSE
AR-Bal,1994-05-01,0.624,1994,31,FALSE
AR-Bal,1994-06-01,0.633,1994,30,FALSE
AR-Bal,1994-07-01,0.589,1994,31,FALSE
AR-Bal,1994-08-01,0.195,1994,31,FALSE
AR-Bal,1994-09-01,1.226,1994,30,FALSE
AR-Bal,1994-10-01,1.083,1994,31,FALSE
AR-Bal,1994-11-01,0.633,1994,30,FALSE
AR-Bal,1994-12-01,1.488,1994,31,FALSE
AR-Bal,1995-01-01,1.53,1995,31,FALSE
AR-Bal,1995-02-01,1.456,1995,28,FALSE
AR-Bal,1995-03-01,0.904,1995,31,FALSE
AR-Bal,1995-04-01,1.441,1995,30,FALSE
AR-Bal,1995-05-01,0.219,1995,31,FALSE
AR-Bal,1995-06-01,0.472,1995,30,FALSE
AR-Bal,1995-07-01,0.096,1995,31,FALSE
AR-Bal,1995-08-01,0.798,1995,31,FALSE
AR-Bal,1995-09-01,0.61,1995,30,FALSE
AR-Bal,1995-10-01,1.502,1995,31,FALSE
AR-Bal,1995-11-01,1.795,1995,30,FALSE
AR-Bal,1995-12-01,0.813,1995,31,FALSE
AR-Bal,1996-01-01,1.781,1996,31,FALSE
AR-Bal,1996-02-01,1.954,1996,29,FALSE
AR-Bal,1996-03-01,1.333,1996,31,FALSE
AR-Bal,1996-04-01,0.994,1996,30,FALSE
AR-Bal,1996-05-01,0.679,1996,31,FALSE
AR-Bal,1996-06-01,0.997,1996,30,FALSE
AR-Bal,1996-07-01,0.771,1996,31,FALSE
AR-Bal,1996-08-01,1.385,1996,31,FALSE
AR-Bal,1996-09-01,0.551,1996,30,FALSE
AR-Bal,1996-10-01,1.94,1996,31,FALSE
AR-Bal,1996-11-01,1.642,1996,30,FALSE
AR-Bal,1996-12-01,1.891,1996,31,FALSE
AR-Bal,1997-01-01,1.009,1997,31,FALSE
AR-Bal,1997-02-01,2.256,1997,28,FALSE
AR-Bal,1997-03-01,1.019,1997,31,FALSE
AR-Bal,1997-04-01,0.637,1997,30,FALSE
AR-Bal,1997-05-01,1.407,1997,31,FALSE
AR-Bal,1997-06-01,1.543,1997,30,FALSE
AR-Bal,1997-07-01,0.851,1997,31,FALSE
AR-Bal,1997-08-01,1.38,1997,31,FALSE
AR-Bal,1997-09-01,0.608,1997,30,FALSE
AR-Bal,1997-10-01,2.124,1997,31,FALSE
AR-Bal,1997-11-01,1.403,1997,30,FALSE
AR-Bal,1997-12-01,1.033,1997,31,FALSE
AR-Bal,1998-01-01,1.44,1998,31,FALSE
AR-Bal,1998-02-01,0.571,1998,28,FALSE
AR-Bal,1998-03-01,0.336,1998,31,FALSE
AR-Bal,1998-04-01,3.609,1998,30,FALSE
AR-Bal,1998-05-01,0.417,1998,31,FALSE
AR-Bal,1998-06-01,0.223,1998,30,FALSE
AR-Bal,1998-07-01,0.429,1998,31,FALSE
AR-Bal,1998-08-01,0.283,1998,31,FALSE
AR-Bal,1998-09-01,1.828,1998,30,FALSE
AR-Bal,1998-10-01,0.914,1998,31,FALSE
AR-Bal,1998-11-01,0.832,1998,30,FALSE
AR-Bal,1998-12-01,1.133,1998,31,FALSE
AR-Bal,1999-01-01,0.8,1999,31,FALSE
AR-Bal,1999-02-01,0.621,1999,28,FALSE
AR-Bal,1999-03-01,0.982,1999,31,FALSE
AR-Bal,1999-04-01,1.002,1999,30,FALSE
AR-Bal,1999-05-01,0.523,1999,31,FALSE
AR-Bal,1999-06-01,0.202,1999,30,FALSE
AR-Bal,1999-07-01,1.524,1999,31,FALSE
AR-Bal,1999-08-01,0.876,1999,31,FALSE
AR-Bal,1999-09-01,0.718,1999,30,FALSE
AR-Bal,1999-10-01,0.983,1999,31,FALSE
AR-Bal,1999-11-01,0.845,1999,30,FALSE
AR-Bal,1999-12-01,1.681,1999,31,FALSE
AR-Bal,2000-01-01,1.609,2000,31,FALSE
AR-Bal,2000-02-01,2.765,2000,29,FALSE
AR-Bal,2000-03-01,1.219,2000,31,FALSE
AR-Bal,2000-04-01,0.913,2000,30,FALSE
AR-Bal,2000-05-01,0.522,2000,31,FALSE
AR-Bal,2000-06-01,1.101,2000,30,FALSE
AR-Bal,2000-07-01,0.289,2000,31,FALSE
AR-Bal,2000-08-01,0.58,2000,31,FALSE
AR-Bal,2000-09-01,1.292,2000,30,FALSE
AR-Bal,2000-10-01,1.343,2000,31,FALSE
AR-Bal,2000-11-01,2.104,2000,30,FALSE
