site_id,year,n_months,map_a,map_b,map_c,bio12_mm,ratio_to_bio12,flag_absolute,flag_relative
AR-Bal,1991,12,476.297,15.602,474.885875,835,0.5704155688622755,FALSE,FALSE
AR-Bal,1992,12,414.48,13.619,414.5283125,835,0.4963832335329342,FALSE,TRUE
AR-Bal,1993,12,517.421,17.039,518.6245625,835,0.6196658682634731,FALSE,FALSE
AR-Bal,1994,12,354.063,11.627,353.8968125,835,0.42402754491017963,FALSE,TRUE
AR-Bal,1995,12,352.03,11.636,354.17075,835,0.42159281437125745,FALSE,TRUE
AR-Bal,1996,12,485.366,15.918,484.504125,835,0.5812766467065869,FALSE,FALSE
AR-Bal,1997,12,462.41099999999994,15.27,464.780625,835,0.5537856287425149,FALSE,FALSE
AR-Bal,1998,12,364.25999999999993,12.015,365.7065625,835,0.43623952095808377,FALSE,TRUE
AR-Bal,1999,12,328.837,10.757,327.4161875,835,0.39381676646706587,FALSE,TRUE
AR-Bal,2000,12,450.5259999999999,14.886000000000005,453.092625,835,0.5395520958083831,FALSE,FALSE
AR-Bal,2001,12,604.538,19.751,601.1710625000001,835,0.7239976047904192,FALSE,FALSE
AR-Bal,2002,12,557.051,18.273,556.1844375000001,835,0.6671269461077844,FALSE,FALSE
AR-Bal,2003,12,451.287,14.828999999999995,451.35768749999994,835,0.5404634730538922,FALSE,FALSE
AR-Bal,2004,12,386.33699999999993,12.689,386.2214375,835,0.4626790419161676,FALSE,TRUE
AR-Bal,2005,12,378.621,12.470000000000002,379.555625,835,0.45343832335329337,FALSE,TRUE
AR-Bal,2006,12,382.14,12.635000000000002,384.5778125,835,0.45765269461077845,FALSE,TRUE
AR-Bal,2007,12,449.97099999999995,14.993,456.3494375,835,0.5388874251497006,FALSE,FALSE
AR-Bal,2008,12,361.13,11.841,360.4104375,835,0.43249101796407186,FALSE,TRUE
AR-Bal,2009,12,322.22200000000004,10.613,323.0331875,835,0.38589461077844317,FALSE,TRUE
AR-Bal,2010,12,468.49700000000007,15.552,473.364,835,0.5610742514970061,FALSE,FALSE
AR-Bal,2011,12,395.74999999999994,13.044999999999998,397.0571875,835,0.47395209580838316,FALSE,TRUE
AR-Bal,2012,12,515.763,16.871999999999996,513.5414999999999,835,0.6176802395209581,FALSE,FALSE
AR-Bal,2013,12,349.28200000000004,11.508,350.27475,835,0.4183017964071857,FALSE,TRUE
AR-Bal,2014,12,474.845,15.612,475.19025,835,0.5686766467065869,FALSE,FALSE
AR-Bal,2015,12,351.303,11.491,349.7573125,835,0.42072215568862276,FALSE,TRUE
AR-Bal,2016,12,386.5789999999999,12.666999999999998,385.5518125,835,0.462968862275449,FALSE,TRUE
AR-Bal,2017,12,488.285,16.121000000000002,490.6829375,835,0.5847724550898203,FALSE,FALSE
AR-Bal,2018,12,378.9380000000001,12.451,378.9773125,835,0.45381796407185643,FALSE,TRUE
AR-Bal,2019,12,371.0079999999999,12.23,372.250625,835,0.44432095808383226,FALSE,TRUE
AR-Bal,2020,12,391.6360000000001,12.865,391.5784375,835,0.4690251497005989,FALSE,TRUE
AR-CCa,1991,12,3756.448,123.474,3758.239875,1018,3.6900275049115914,FALSE,TRUE
AR-CCa,1992,12,3505.674,114.739,3492.3683125,1018,3.443687622789784,FALSE,TRUE
AR-CCa,1993,12,4988.53,164.216,4998.3245,1018,4.9003241650294695,FALSE,TRUE
AR-CCa,1994,12,2922.9019999999996,96.097,2924.9524375,1018,2.8712200392927305,FALSE,TRUE
AR-CCa,1995,12,2880.7699999999995,94.914,2888.944875,1018,2.829833005893909,FALSE,TRUE
AR-CCa,1996,12,3991.494999999999,131.379,3998.8483125,1018,3.9209184675834963,FALSE,TRUE
AR-CCa,1997,12,4003.591,131.355,3998.1178125,1018,3.9328005893909626,FALSE,TRUE
AR-CCa,1998,12,3680.5279999999993,121.41400000000002,3695.538625,1018,3.615449901768172,FALSE,TRUE
AR-CCa,1999,12,3518.429,115.179,3505.7608125,1018,3.4562170923379174,FALSE,TRUE
AR-CCa,2000,12,4137.071999999999,136.30700000000002,4148.8443125,1018,4.06392141453831,FALSE,TRUE
AR-CCa,2001,12,5280.2570000000005,173.46999999999997,5279.993125,1018,5.186892927308448,TRUE,TRUE
AR-CCa,2002,12,4598.236,150.349,4576.247687499999,1018,4.516931237721021,FALSE,TRUE
AR-CCa,2003,12,3891.483,129.489,3941.3214375,1018,3.8226748526522596,FALSE,TRUE
AR-CCa,2004,12,3330.5,108.775,3310.8390625,1018,3.2716110019646365,FALSE,TRUE
AR-CCa,2005,12,3055.421,100.533,3059.9731875,1018,3.001395874263261,FALSE,TRUE
AR-CCa,2006,12,3571.313,117.443,3574.6713125,1018,3.5081660117878193,FALSE,TRUE
AR-CCa,2007,12,3302.1340000000005,109.67300000000002,3338.1719375,1018,3.2437465618860517,FALSE,TRUE
AR-CCa,2008,12,3182.05,104.437,3178.8011875,1018,3.125785854616896,FALSE,TRUE
AR-CCa,2009,12,2922.7920000000004,96.456,2935.8795,1018,2.871111984282908,FALSE,TRUE
AR-CCa,2010,12,2839.232,95.06199999999998,2893.449625,1018,2.7890294695481335,FALSE,TRUE
AR-CCa,2011,12,2548.431,84.03099999999999,2557.6935625,1018,2.503370333988212,FALSE,TRUE
AR-CCa,2012,12,4406.028,144.155,4387.7178125,1018,4.328121807465619,FALSE,TRUE
AR-CCa,2013,12,2382.7999999999997,78.28699999999999,2382.8605625,1018,2.340667976424361,FALSE,TRUE
AR-CCa,2014,12,4195.478,139.574,4248.283625,1018,4.121294695481336,FALSE,TRUE
AR-CCa,2015,12,3213.076,105.219,3202.6033125,1018,3.1562632612966603,FALSE,TRUE
AR-CCa,2016,12,3496.586,114.97700000000005,3499.6124374999995,1018,3.4347603143418466,FALSE,TRUE
AR-CCa,2017,12,3515.6790000000005,116.358,3541.6466250000003,1018,3.4535157170923383,FALSE,TRUE
AR-CCa,2018,12,3962.764,130.317,3966.5236875,1018,3.892695481335953,FALSE,TRUE
AR-CCa,2019,12,2611.039,85.39099999999999,2599.0885624999996,1018,2.5648713163064834,FALSE,TRUE
AR-CCa,2020,12,2953.37,96.899,2949.3633125,1018,2.90114931237721,FALSE,TRUE
AR-CCg,1991,12,3454.993,113.642,3458.9783749999997,1004,3.441228087649402,FALSE,TRUE
AR-CCg,1992,12,3354.3019999999997,109.90400000000002,3345.203,1004,3.3409382470119517,FALSE,TRUE
AR-CCg,1993,12,4308.57,141.752,4314.5765,1004,4.29140438247012,FALSE,TRUE
AR-CCg,1994,12,3060.096,100.647,3063.4430625,1004,3.0479043824701195,FALSE,TRUE
AR-CCg,1995,12,3002.609,98.93399999999998,3011.303625,1004,2.9906464143426295,FALSE,TRUE
AR-CCg,1996,12,3755.985,123.43,3756.900625,1004,3.7410209163346613,FALSE,TRUE
AR-CCg,1997,12,4176.919,137.196,4175.90325,1004,4.160277888446215,FALSE,TRUE
AR-CCg,1998,12,3000.508,99.255,3021.0740625,1004,2.9885537848605574,FALSE,TRUE
AR-CCg,1999,12,3347.1569999999997,109.821,3342.6766875,1004,3.33382171314741,FALSE,TRUE
AR-CCg,2000,12,3821.948,125.843,3830.3463125,1004,3.8067211155378486,FALSE,TRUE
AR-CCg,2001,12,5153.880000000001,169.02499999999998,5144.6984375,1004,5.133346613545818,TRUE,TRUE
AR-CCg,2002,12,5063.606,166.08000000000004,5055.06,1004,5.043432270916335,TRUE,TRUE
AR-CCg,2003,12,3840.175,127.507,3880.9943125,1004,3.8248754980079682,FALSE,TRUE
AR-CCg,2004,12,3216.5350000000003,104.977,3195.2374375,1004,3.2037201195219125,FALSE,TRUE
AR-CCg,2005,12,2656.653,87.52799999999999,2664.1335000000004,1004,2.6460687250996013,FALSE,TRUE
AR-CCg,2006,12,3487.8140000000003,115.359,3511.2395625000004,1004,3.4739183266932274,FALSE,TRUE
AR-CCg,2007,12,3459.8639999999996,114.613,3488.5331874999997,1004,3.4460796812749,FALSE,TRUE
AR-CCg,2008,12,3383.336,111.042,3379.8408750000003,1004,3.369856573705179,FALSE,TRUE
AR-CCg,2009,12,2378.485,78.193,2379.9994375,1004,2.3690089641434264,FALSE,TRUE
AR-CCg,2010,12,3134.832,104.936,3193.9894999999997,1004,3.1223426294820715,FALSE,TRUE
AR-CCg,2011,12,2497.4060000000004,82.321,2505.6454375,1004,2.487456175298805,FALSE,TRUE
AR-CCg,2012,12,5358.236000000001,174.838,5321.631625,1004,5.3368884462151405,TRUE,TRUE
AR-CCg,2013,12,2230.4559999999997,73.215,2228.4815625,1004,2.2215697211155376,FALSE,TRUE
