site_id,TIMESTAMP,P_F,P_F_QC,P_ERA_in_fluxmet_file,P_ERA_in_era5_file,TA_F,TA_ERA_in_fluxmet_file,TA_ERA_in_era5_file,p_identical_within_file,p_identical_cross_file,ta_identical_within_file,ta_identical_cross_file
IT-MBo,200301,2.808,0.965726,27.567,27.567,-3.355,-3.355,-3.355,FALSE,FALSE,TRUE,TRUE
IT-MBo,200302,0.032,1,7.613,7.613,-6.259,-6.259,-6.259,FALSE,FALSE,TRUE,TRUE
IT-MBo,200303,0.145,1,8.954,8.954,1.235,1.235,1.235,FALSE,FALSE,TRUE,TRUE
IT-MBo,200304,1.22,1,55.863,55.863,3.055,3.055,3.055,FALSE,FALSE,TRUE,TRUE
IT-MBo,200305,2.826,0.997312,49.78,49.78,9.773,9.773,9.773,FALSE,FALSE,TRUE,TRUE
IT-MBo,200306,4.734,0.970833,51.041,51.041,14.737,13.971,13.971,FALSE,FALSE,FALSE,FALSE
US-HB4,202001,0,1,1158.248,1158.248,12.804,12.804,12.804,FALSE,FALSE,TRUE,TRUE
US-HB4,202002,0,1,2432.711,2432.711,12.438,12.438,12.438,FALSE,FALSE,TRUE,TRUE
US-HB4,202003,0.998,0.998656,2347.339,2347.339,16.716,16.926,16.926,FALSE,FALSE,FALSE,FALSE
US-HB4,202004,6.07,0.999306,2181.139,2181.139,19.054,19.516,19.516,FALSE,FALSE,FALSE,FALSE
US-HB4,202005,17.792,0.99664,1874.874,1874.874,22.105,22.549,22.549,FALSE,FALSE,FALSE,FALSE
US-HB4,202006,3.707,0.999306,3319.833,3319.833,25.373,25.978,25.978,FALSE,FALSE,FALSE,FALSE
JP-Tak,199801,26.45,0,26.45,26.45,-5.787,-4.888,-4.888,TRUE,TRUE,FALSE,FALSE
JP-Tak,199802,18.19,0,18.19,18.19,-3.103,-2.57,-2.57,TRUE,TRUE,FALSE,FALSE
JP-Tak,199803,18.65,0,18.65,18.65,-0.899,-0.28,-0.28,TRUE,TRUE,FALSE,FALSE
JP-Tak,199804,31.866,0,31.866,31.866,9.029,7.647,7.647,TRUE,TRUE,FALSE,FALSE
JP-Tak,199805,40.536,0,40.536,40.536,12.242,12.59,12.59,TRUE,TRUE,FALSE,FALSE
JP-Tak,199806,48.89,0,48.89,48.89,14.361,14.096,14.096,TRUE,TRUE,FALSE,FALSE
JP-Mse,200201,9.92,0,9.92,9.92,3.946,3.985,3.985,TRUE,TRUE,FALSE,FALSE
JP-Mse,200202,5.842,0,5.842,5.842,5.158,4.571,4.571,TRUE,TRUE,FALSE,FALSE
