site_id,dataset,n_pf_nonnull,n_pera_nonnull,n_taf_nonnull,n_taera_nonnull
BR-Sa1,ERA5,0,540,0,540
BR-Sa1,FLUXMET,120,120,120,120
FI-Hyy,ERA5,0,540,0,540
FI-Hyy,FLUXMET,336,336,336,336
IT-MBo,ERA5,0,528,0,528
IT-MBo,FLUXMET,264,264,264,264
JP-Khw,ERA5,0,540,0,540
JP-Khw,FLUXMET,264,264,264,264
JP-Mse,ERA5,0,540,0,540
JP-Mse,FLUXMET,96,96,96,96
JP-Tak,ERA5,0,540,0,540
JP-Tak,FLUXMET,288,288,288,288
US-Akn,ERA5,0,540,0,540
US-Akn,FLUXMET,144,144,144,144
US-HB4,ERA5,0,540,0,540
US-HB4,FLUXMET,60,60,60,60
