site_id,map_era5,map_pf_corrected,n_genuine_months,has_any_genuine_data,ratio_era5_to_genuine_pf
AU-Fog,5851.212966666667,NA,0,FALSE,NA
BR-Ji3,6879.8211,NA,0,FALSE,NA
BR-SM1,5637.838066666666,NA,0,FALSE,NA
CA-CF2,4963.8835,9525.232,12,TRUE,0.5211299315334261
DE-SfS,5251.853666666667,NA,0,FALSE,NA
JP-Fmt,5939.7142,NA,0,FALSE,NA
JP-KaP,5287.457766666666,NA,0,FALSE,NA
JP-Kzw,5583.8523,NA,0,FALSE,NA
JP-MBF,5175.140933333333,NA,0,FALSE,NA
JP-Mse,5187.7739,NA,0,FALSE,NA
JP-Nuf,5431.5632,NA,0,FALSE,NA
JP-SMF,5431.5632,NA,0,FALSE,NA
JP-Shn,6020.625366666666,NA,0,FALSE,NA
JP-Tak,8803.888466666667,NA,0,FALSE,NA
JP-Tkb,5411.865833333333,NA,0,FALSE,NA
JP-Yms,4913.387,NA,0,FALSE,NA
JP-Ynf,6652.8439,NA,0,FALSE,NA
KH-Kmp,6637.125233333333,NA,0,FALSE,NA
NO-And,9318.330766666666,8746.009285714286,28,TRUE,1.0654380143281128
PE-QFR,10291.840033333334,NA,0,FALSE,NA
US-Cwt,5593.431333333333,NA,0,FALSE,NA
US-HB4,658044.5751,2016.11,12,TRUE,326.39319040131744
IT-MBo,24150.380833333333,16864.859361702132,188,TRUE,1.431994202582896
JP-Api,5371.734,NA,0,FALSE,NA
JP-Om2,5337.641,NA,0,FALSE,NA
JP-Nkm,8195.526133333333,NA,0,FALSE,NA
