site_id,koppen_class_before,koppen_twoletter_before,koppen_main_before,koppen_class_after,koppen_twoletter_after,koppen_main_after,was_excluded_before,recovered,class_changed
AR-CCa,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
AR-TF2,ET,ET,E,ET,ET,E,FALSE,FALSE,FALSE
AU-Fog,NA,NA,NA,Aw,Aw,A,TRUE,TRUE,FALSE
BR-SM1,NA,NA,NA,Cfa,Cf,C,TRUE,TRUE,FALSE
CA-CF1,Dfc,Df,D,Dfc,Df,D,FALSE,FALSE,FALSE
CA-Cbo,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
CA-SMC,Dfc,Df,D,Dfc,Df,D,FALSE,FALSE,FALSE
CN-Dda,Dwb,Dw,D,BSk,BS,B,FALSE,FALSE,TRUE
CN-Dsh,ET,ET,E,ET,ET,E,FALSE,FALSE,FALSE
CN-HeD,BWk,BW,B,BWk,BW,B,FALSE,FALSE,FALSE
CN-HeM,BWk,BW,B,BWk,BW,B,FALSE,FALSE,FALSE
CN-Huz,Dwb,Dw,D,BWk,BW,B,FALSE,FALSE,TRUE
CN-Jng,ET,ET,E,ET,ET,E,FALSE,FALSE,FALSE
CN-Sb2,Dwc,Dw,D,Dwc,Dw,D,FALSE,FALSE,FALSE
CN-Sdq,BWk,BW,B,BWk,BW,B,FALSE,FALSE,FALSE
CN-Zha,Dwb,Dw,D,BWk,BW,B,FALSE,FALSE,TRUE
DE-Akm,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
DE-Etn,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
DE-Hdn,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
DE-Spw,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
DE-Zrk,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
EE-Rng,Dfb,Df,D,BWk,BW,B,FALSE,FALSE,TRUE
EE-Stg,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
ES-Dnn,Csa,Cs,C,Csa,Cs,C,FALSE,FALSE,FALSE
ES-FtD,Csa,Cs,C,Csa,Cs,C,FALSE,FALSE,FALSE
ES-MtB,Csa,Cs,C,Csa,Cs,C,FALSE,FALSE,FALSE
ES-MtN,Csa,Cs,C,Csa,Cs,C,FALSE,FALSE,FALSE
ES-Mzn,Cfb,Cf,C,BSk,BS,B,FALSE,FALSE,TRUE
ES-Srn,Cfa,Cf,C,BSk,BS,B,FALSE,FALSE,TRUE
ES-TzM,Csa,Cs,C,BSk,BS,B,FALSE,FALSE,TRUE
FI-Jok,Dfc,Df,D,Dfc,Df,D,FALSE,FALSE,FALSE
FI-Nsv,Dfc,Df,D,Dfc,Df,D,FALSE,FALSE,FALSE
FI-Ruk,Dfc,Df,D,Dfc,Df,D,FALSE,FALSE,FALSE
IE-Cra,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
IE-Gwr,Cfb,Cf,C,Cfb,Cf,C,FALSE,FALSE,FALSE
IT-Arz,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
JP-BBY,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Fmt,NA,NA,NA,Cfa,Cf,C,TRUE,TRUE,FALSE
JP-Hc2,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
JP-Hc3,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
JP-Kzw,NA,NA,NA,Dfb,Df,D,TRUE,TRUE,FALSE
JP-MBF,NA,NA,NA,Dfb,Df,D,TRUE,TRUE,FALSE
JP-Mse,NA,NA,NA,Cfa,Cf,C,TRUE,TRUE,FALSE
JP-Sb1,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Sb2,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Shn,NA,NA,NA,Dfa,Df,D,TRUE,TRUE,FALSE
JP-Tak,NA,NA,NA,Dfb,Df,D,TRUE,TRUE,FALSE
JP-Tkb,NA,NA,NA,Cfa,Cf,C,TRUE,TRUE,FALSE
JP-Tmd,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Tmk,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Toc,Dfb,Df,D,Dfb,Df,D,FALSE,FALSE,FALSE
JP-Yms,NA,NA,NA,Cfa,Cf,C,TRUE,TRUE,FALSE
KH-Kmp,NA,NA,NA,Aw,Aw,A,TRUE,TRUE,FALSE
KR-Hnm,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
KR-Nj1,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
KR-Nj2,Cfa,Cf,C,Cfa,Cf,C,FALSE,FALSE,FALSE
KR-TwB,Dwa,Dw,D,Dwa,Dw,D,FALSE,FALSE,FALSE
