site_id,data_hub,product_source_network,oneflux_code_version,status,factor_estimate,factor_applied,map_era5_uncorrected,map_era5_corrected,bio12_mm,badm_map_mm,was_in_original_26
US-HB4,AmeriFlux,AMF,v1.3,confirmed_isolated_anomaly,473.966740326802,NA,658044.5751,NA,1350,1429,TRUE
IT-MBo,ICOS,ICOS,v1.3,confirmed_isolated_anomaly,38.51506586806587,NA,24150.380833333333,NA,407,1365,TRUE
JP-KaP,ICOS,JPF,v1.3,excluded_no_clean_cluster,148.85118577730685,NA,5287.457766666666,NA,1337,18,TRUE
CA-CF2,AmeriFlux,AMF,v1.3,excluded_no_clean_cluster,11.442920251851616,NA,4963.8835,NA,417,452,TRUE
DE-SfS,ICOS,EUF,v1.3,excluded_no_clean_cluster,4.685106266753143,NA,5251.853666666667,NA,1115,1127,TRUE
BR-Ji3,AmeriFlux,AMF,v1.3,excluded_no_clean_cluster,3.30284258281325,NA,6879.8211,NA,2083,NA,TRUE
JP-Api,ICOS,JPF,v1.3,excluded_no_clean_cluster,3.2542917123699766,NA,5371.734,NA,1478,1869,TRUE
US-Cwt,AmeriFlux,AMF,v1.3,excluded_no_clean_cluster,3.1005869362504095,NA,5593.431333333333,NA,1808,1800,TRUE
JP-Nuf,ICOS,JPF,v1.3,excluded_no_clean_cluster,3.0819538656065566,NA,5431.5632,NA,1969,1595,TRUE
JP-SMF,ICOS,JPF,v1.3,excluded_no_clean_cluster,2.9967469885081597,NA,5431.5632,NA,2065,1615,TRUE
JP-Ynf,ICOS,JPF,v1.3,excluded_no_clean_cluster,2.8769439174495304,NA,6652.8439,NA,2150,2501.5,TRUE
CN-Huz,ICOS,CNF,v1.3,systematic_cluster,8.855448461538462,8,1534.9444,191.86805,260,130,FALSE
CA-CF1,AmeriFlux,AMF,v1.3,systematic_cluster,8.412237799760192,8,3649.1881,456.1485125,417,452,FALSE
NO-And,ICOS,EUF,v1.3,systematic_cluster,8.271616564452327,8,9318.330766666666,1164.7913458333333,1202,1060,TRUE
US-A10,AmeriFlux,AMF,v1.3,systematic_cluster,8.249286962440895,8,914.8648666666668,114.35810833333335,107,115.1,FALSE
US-HVs,AmeriFlux,AMF,v1.3,systematic_cluster,7.3563715300636385,8,1515.1631666666667,189.39539583333334,196,217,FALSE
US-A03,AmeriFlux,AMF,v1.3,systematic_cluster,7.025233236732799,8,904.299,113.037375,146,115.1,FALSE
CN-Dsh,ICOS,CNF,v1.3,systematic_cluster,6.910261552885838,8,2499.131833333334,312.3914791666667,345,380,FALSE
US-NGB,AmeriFlux,AMF,v1.3,systematic_cluster,6.871671298531753,8,914.8648666666668,114.35810833333335,109,171,FALSE
AR-TF2,AmeriFlux,AMF,v1.3,systematic_cluster,6.860981047022076,8,3849.4612666666662,481.1826583333333,596,530,FALSE
CN-Jng,ICOS,CNF,v1.3,systematic_cluster,6.831316050502426,8,2983.7575666666667,372.96969583333333,481,400,FALSE
ES-Mzn,ICOS,EUF,v1.3,systematic_cluster,4.589437245725236,4,2128.8712666666665,532.2178166666666,424,512,FALSE
CN-Sb2,ICOS,FLX,v1.3,systematic_cluster,4.563932612543287,4,2080.9931333333334,520.2482833333333,460,452,FALSE
CA-SMC,AmeriFlux,AMF,v1.3,systematic_cluster,4.508239409973513,4,1656.6342333333332,414.1585583333333,349,388,FALSE
DE-Zrk,ICOS,EUF,v1.3,systematic_cluster,4.508064647425549,4,2655.0587333333333,663.7646833333333,594,584,FALSE
ES-Srn,ICOS,EUF,v1.3,systematic_cluster,4.497836815605102,4,2009.6956666666667,502.4239166666667,421,476,FALSE
CN-Dda,ICOS,CNF,v1.3,systematic_cluster,4.439749297573436,4,1158.7745666666667,289.6936416666667,261,NA,FALSE
DE-Hdn,ICOS,EUF,v1.3,systematic_cluster,4.4089057841383426,4,2464.5783333333334,616.1445833333333,559,NA,FALSE
JP-MBF,ICOS,JPF,v1.3,systematic_cluster,4.408126859738784,4,5175.140933333333,1293.7852333333333,1174,NA,TRUE
RU-NeB,ICOS,JPF,v1.3,systematic_cluster,4.388006315140302,4,1069.2168666666666,267.30421666666666,253,235,FALSE
RU-NeF,ICOS,JPF,v1.3,systematic_cluster,4.388006315140302,4,1069.2168666666666,267.30421666666666,253,235,FALSE
JP-Tak,ICOS,JPF,v1.3,systematic_cluster,4.375022667032155,4,8803.888466666667,2200.972116666667,1804,2275,TRUE
US-Rws,AmeriFlux,AMF,v1.3,systematic_cluster,4.364827193021612,4,1305.950466666667,326.4876166666667,309,290,FALSE
RU-NeC,ICOS,JPF,v1.3,systematic_cluster,4.3632436962544325,4,1069.2168666666666,267.30421666666666,256,235,FALSE
US-Tw1,AmeriFlux,AMF,v1.3,systematic_cluster,4.361447320836275,4,1717.7816666666663,429.4454166666666,370,421,FALSE
US-Tw2,AmeriFlux,AMF,v1.3,systematic_cluster,4.361447320836275,4,1717.7816666666663,429.4454166666666,370,421,FALSE
US-Tw5,AmeriFlux,AMF,v1.3,systematic_cluster,4.361447320836275,4,1717.7816666666663,429.4454166666666,370,421,FALSE
DE-Spw,ICOS,EUF,v1.3,systematic_cluster,4.346908144507746,4,2414.6585666666665,603.6646416666666,553,558,FALSE
IT-Arz,ICOS,EUF,v1.3,systematic_cluster,4.282384130223807,4,3927.6580333333336,981.9145083333334,935,900,FALSE
DK-Eng,ICOS,EUF,v1.3,systematic_cluster,4.280490704070407,4,2593.9773666666665,648.4943416666666,606,NA,FALSE
DE-Akm,ICOS,EUF,v1.3,systematic_cluster,4.272718161160029,4,2403.4020666666665,600.8505166666666,563,562,FALSE
CN-HeD,ICOS,CNF,v1.3,systematic_cluster,4.267299417064123,4,151.21866666666665,37.80466666666666,34,37,FALSE
RU-Ege,ICOS,JPF,v1.3,systematic_cluster,4.246261243668882,4,1349.8303666666666,337.45759166666664,324,312,FALSE
RU-SkP,ICOS,JPF,v1.3,systematic_cluster,4.242907407407407,4,1069.2126666666666,267.30316666666664,252,NA,FALSE
JP-Nkm,ICOS,JPF,v1.3,systematic_cluster,4.200679719801811,4,8195.526133333333,2048.881533333333,1951,NA,TRUE
JP-Tmk,ICOS,JPF,v1.3,systematic_cluster,4.163111216568165,4,4656.8277,1164.206925,1206,1043,FALSE
JP-Om2,ICOS,JPF,v1.3,systematic_cluster,4.156506542343864,4,5337.641,1334.41025,1372,1206.9,TRUE
FI-Nsv,ICOS,EUF,v1.3,systematic_cluster,4.148689224277409,4,2571.0564666666664,642.7641166666666,607,633,FALSE
KH-Kmp,ICOS,JPF,v1.3,systematic_cluster,4.148525962647478,4,6637.125233333333,1659.2813083333333,1714,1500,TRUE
JP-Mse,ICOS,JPF,v1.3,systematic_cluster,4.146183743719715,4,5187.7739,1296.943475,1307,1200,TRUE
RU-Sk2,ICOS,JPF,v1.3,systematic_cluster,4.141026422764227,4,1018.6925,254.673125,246,NA,FALSE
US-DFK,AmeriFlux,AMF,v1.3,systematic_cluster,4.13329887385704,4,3277.5183666666667,819.3795916666667,799,787,FALSE
EE-Stg,ICOS,EUF,v1.3,systematic_cluster,4.123976817475037,4,2750.2968333333333,687.5742083333333,659,675,FALSE
JP-Shn,ICOS,JPF,v1.3,systematic_cluster,4.120918368199476,4,6020.625366666666,1505.1563416666665,1340,1606,TRUE
CN-Zha,ICOS,CNF,v1.3,systematic_cluster,4.1062209738134205,4,631.1700666666667,157.79251666666667,188,130,FALSE
FI-Jok,ICOS,EUF,v1.3,systematic_cluster,4.088424468628494,4,2532.4077333333335,633.1019333333334,612,627,FALSE
JP-Kzw,ICOS,JPF,v1.3,systematic_cluster,4.087522722499529,4,5583.8523,1395.963075,1589,1198,TRUE
FI-Ruk,ICOS,EUF,v1.3,systematic_cluster,4.084215769023997,4,2184.7618,546.19045,518,553,FALSE
US-IAB,AmeriFlux,AMF,v1.3,systematic_cluster,4.082294308061083,4,3589.859733333333,897.4649333333333,849,912,FALSE
US-IAC,AmeriFlux,AMF,v1.3,systematic_cluster,4.077325637193257,4,3589.859733333333,897.4649333333333,851,912,FALSE
US-IAM,AmeriFlux,AMF,v1.3,systematic_cluster,4.077325637193257,4,3589.859733333333,897.4649333333333,851,912,FALSE
SE-Trb,ICOS,EUF,v1.3,systematic_cluster,4.05679839832521,4,2565.8849,641.471225,630,635,FALSE
US-UMd,AmeriFlux,AMF,v1.3,systematic_cluster,4.046773949831888,4,3229.198833333334,807.2997083333335,793,803,FALSE
US-UTJ,AmeriFlux,AMF,v1.3,systematic_cluster,4.039846181845194,4,824.7116,206.1779,212,196.85,FALSE
DE-Hzd,ICOS,ICOS,v1.3,systematic_cluster,4.0369691857847725,4,3285.0614666666665,821.2653666666666,759,877,FALSE
JP-Toc,ICOS,JPF,v1.3,systematic_cluster,4.018842718094331,4,4656.831833333334,1164.2079583333334,1189,1130,FALSE
US-Me7,AmeriFlux,AMF,v1.3,systematic_cluster,3.996389893405188,4,2553.5444666666667,638.3861166666667,821,523,FALSE
AU-Fog,TERN,TERN,v1.3,systematic_cluster,3.991277603456117,4,5851.212966666667,1462.8032416666667,1466,NA,TRUE
US-Ne3,AmeriFlux,AMF,v1.3,systematic_cluster,3.9479534981630273,4,3120.004,780.001,797,783.68,FALSE
US-CS2,AmeriFlux,AMF,v1.3,systematic_cluster,3.943362025605512,4,3231.0546666666664,807.7636666666666,809,830,FALSE
US-Ne2,AmeriFlux,AMF,v1.3,systematic_cluster,3.929907592599611,4,3120.004,780.001,799,788.89,FALSE
