site_id,data_hub,product_source_network,location_lat,location_long,factor_estimate,nearest_cluster
AR-TF2,AmeriFlux,AMF,-54.8269,-68.4549,6.860981047022076,8
AR-CCa,AmeriFlux,AMF,-35.621,-61.3181,3.4227684142046932,4
BR-SM1,AmeriFlux,AMF,-30.2771,-53.1479,3.571914097985969,4
PE-QFR,AmeriFlux,AMF,-3.8344,-73.319,3.804746777572397,4
US-PAS,AmeriFlux,AMF,27.3944,-81.951,3.4808710152021014,4
US-WT1,AmeriFlux,AMF,34.3674,-101.8154,3.6258325887411864,4
US-UTJ,AmeriFlux,AMF,37.2818,-109.5348,4.039846181845194,4
US-Tw2,AmeriFlux,AMF,38.0969,-121.6365,4.361447320836275,4
US-Tw5,AmeriFlux,AMF,38.1072,-121.6426,4.361447320836275,4
US-Tw1,AmeriFlux,AMF,38.1074,-121.6469,4.361447320836275,4
US-DS1,AmeriFlux,AMF,38.1335,-121.539,3.8397068058704966,4
US-DS2,AmeriFlux,AMF,38.1375,-121.514,3.753508615992693,4
US-BRG,AmeriFlux,AMF,39.2167,-86.5406,3.672021882101843,4
US-UTW,AmeriFlux,AMF,39.4453,-110.7288,3.630884738658393,4
US-NR3,AmeriFlux,AMF,40.052,-105.5864,3.69437149337757,4
US-UiB,AmeriFlux,AMF,40.0628,-88.1984,3.7162463688816185,4
US-UiC,AmeriFlux,AMF,40.0628,-88.1961,3.7162463688816185,4
US-UiA,AmeriFlux,AMF,40.0646,-88.1961,3.7162463688816185,4
US-UiD,AmeriFlux,AMF,40.0646,-88.1985,3.7162463688816185,4
US-Ne2,AmeriFlux,AMF,41.1649,-96.4701,3.929907592599611,4
US-Ne1,AmeriFlux,AMF,41.1651,-96.4766,3.926204709750568,4
US-Ne3,AmeriFlux,AMF,41.1797,-96.4397,3.9479534981630273,4
US-IAC,AmeriFlux,AMF,41.9984,-93.7016,4.077325637193257,4
US-IAM,AmeriFlux,AMF,41.9994,-93.7042,4.077325637193257,4
US-IAB,AmeriFlux,AMF,42.0001,-93.7016,4.082294308061083,4
US-PLo,AmeriFlux,AMF,42.7496,-70.9157,3.4076644448870685,4
US-Rls,AmeriFlux,AMF,43.1439,-116.7356,3.7021538754754753,4
US-Rws,AmeriFlux,AMF,43.1675,-116.7132,4.364827193021612,4
US-DFK,AmeriFlux,AMF,43.3453,-89.7154,4.13329887385704,4
US-HBK,AmeriFlux,AMF,43.9397,-71.7181,3.545987543650793,4
US-CS2,AmeriFlux,AMF,44.1467,-89.5002,3.943362025605512,4
CA-Cbo,AmeriFlux,AMF,44.3184,-79.9341,3.808156041919075,4
US-Me7,AmeriFlux,AMF,44.4534,-121.5619,3.996389893405188,4
US-UMd,AmeriFlux,AMF,45.5625,-84.6975,4.046773949831888,4
US-PFk,AmeriFlux,AMF,45.9149,-90.3425,3.857054146570473,4
US-PFt,AmeriFlux,AMF,45.9197,-90.2288,3.833649277644974,4
US-PFm,AmeriFlux,AMF,45.9207,-90.3099,3.8382848601691273,4
US-PFr,AmeriFlux,AMF,45.9245,-90.2475,3.833649277644974,4
US-PFq,AmeriFlux,AMF,45.9271,-90.2475,3.833649277644974,4
US-PFp,AmeriFlux,AMF,45.9365,-90.2641,3.840611089991624,4
US-PFn,AmeriFlux,AMF,45.9392,-90.2823,3.840611089991624,4
US-PFL,AmeriFlux,AMF,45.9409,-90.3177,3.8382848601691273,4
US-PFf,AmeriFlux,AMF,45.9458,-90.2944,3.8382848601691273,4
US-PFh,AmeriFlux,AMF,45.9557,-90.2406,3.833649277644974,4
US-PFj,AmeriFlux,AMF,45.9619,-90.227,3.8175998237618898,4
US-PFc,AmeriFlux,AMF,45.9677,-90.3088,3.829036062225883,4
US-PFd,AmeriFlux,AMF,45.9689,-90.301,3.829036062225883,4
US-PFb,AmeriFlux,AMF,45.972,-90.3232,3.829036062225883,4
US-PFg,AmeriFlux,AMF,45.9735,-90.2723,3.8313398841773254,4
US-PFi,AmeriFlux,AMF,45.9749,-90.2327,3.8175998237618898,4
US-Syv,AmeriFlux,AMF,46.2421,-89.3459,3.800691104156771,4
US-MBP,AmeriFlux,AMF,47.5051,-93.4893,3.9053436596876345,4
CA-CF1,AmeriFlux,AMF,58.6658,-93.83,8.412237799760192,8
CA-SMC,AmeriFlux,AMF,63.1534,-123.2522,4.508239409973513,4
US-HVs,AmeriFlux,AMF,69.1672,-148.8569,7.3563715300636385,8
US-A03,AmeriFlux,AMF,70.4953,-149.8823,7.025233236732799,8
US-NGB,AmeriFlux,AMF,71.28,-156.6092,6.871671298531753,8
US-A10,AmeriFlux,AMF,71.3242,-156.6149,8.249286962440895,8
CN-Jng,ICOS,CNF,37.83869,101.1145,6.831316050502426,8
CN-Huz,ICOS,CNF,38.76519,100.3186,8.855448461538462,8
CN-Dsh,ICOS,CNF,38.83992,98.9406,6.910261552885838,8
CN-Zha,ICOS,CNF,38.97514,100.4464,4.1062209738134205,4
CN-Dda,ICOS,CNF,41.64397,110.33147,4.439749297573436,4
CN-HeM,ICOS,CNF,41.99029,101.13349,3.927108899143046,4
CN-Sdq,ICOS,CNF,42.00119,101.13741,3.927108899143046,4
CN-HeD,ICOS,CNF,42.1135,100.9872,4.267299417064123,4
ES-MtN,ICOS,EUF,36.99234,-6.4826016,3.6257557434464105,4
ES-Dnn,ICOS,EUF,36.9968,-6.5118,3.633218402197493,4
ES-FtD,ICOS,EUF,36.99854,-6.434575,3.6110056742906513,4
ES-MtB,ICOS,EUF,37.020206,-6.5544033,3.652136242131486,4
ES-TzM,ICOS,EUF,39.265785,-1.9397246,3.850616613061276,4
