site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,factor_estimate,n_refs,nearest_cluster,group,was_in_original_26,kg_class_current,currently_classified,temporal_resolution,location_lat,location_long,n_months_qc_ge_0.9,has_measured_precip,factor_applied,map_era5_corrected,n_genuine_months,map_gauge,has_gauge,ratio_corrected_to_gauge
AR-CCa,30,3554.8036,9,3415.202222222222,108,9.36275,3415.202222222222,108,108,0,1018,1060,FALSE,3.491948526522594,1.040876460219372,1.040876460219372,3.3535883018867927,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1.zip,10.17190/AMF/2571134,3.4227684142046932,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,-35.621,-61.3181,0,FALSE,4,888.7009,NA,NA,FALSE,NA
AR-TF2,30,3849.4612666666662,3,3784.8493333333336,36,10.376527777777778,3784.849333333333,36,36,0,596,530,FALSE,6.458827628635347,1.0170712035388814,1.0170712035388816,7.263134465408805,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip,10.17190/AMF/2571120,6.860981047022076,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,-54.8269,-68.4549,0,FALSE,8,481.1826583333333,NA,NA,FALSE,NA
AU-Fog,30,5851.212966666667,3,6376.227666666667,36,17.5105,6376.227666666666,36,36,0,1466,NA,TRUE,3.991277603456117,0.9176606094627634,0.9176606094627636,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Fog_FLUXNET_2006-2008_v1.3_r1.zip,https://dx.doi.org/10.25901/dvrw-kd19,3.991277603456117,1,4,clustered_4x_8x,TRUE,NA,FALSE,HH,-12.5452,131.3072,0,FALSE,4,1462.8032416666667,NA,NA,FALSE,NA
BR-SM1,30,5637.838066666666,2,5781.648,24,15.75175,5781.647999999999,24,24,0,1473,1700,TRUE,3.8274528626386055,0.9751264806620304,0.9751264806620304,3.3163753333333332,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-SM1_FLUXNET_2015-2016_v1.3_r1.zip,10.17190/AMF/3027374,3.571914097985969,2,4,clustered_4x_8x,TRUE,NA,FALSE,HH,-30.2771,-53.1479,0,FALSE,4,1409.4595166666666,NA,NA,FALSE,NA
CA-CF1,30,3649.1881,2,3710.235,19,9.080263157894738,3324.3391578947367,24,19,0.20833333333333337,417,452,FALSE,8.751050599520383,0.983546352185239,1.0977183514304798,8.073425,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-CF1_FLUXNET_2007-2008_v1.3_r1.zip,10.17190/AMF/2229375,8.412237799760192,2,8,clustered_4x_8x,FALSE,Dfc,TRUE,HH,58.6658,-93.83,3,TRUE,8,456.1485125,3,178.60399999999998,TRUE,2.553965826633222
CA-Cbo,30,3332.7779666666665,25,3352.79184,300,9.174873333333334,3352.79184,300,300,0,874,876.34,FALSE,3.8132471014492753,0.9940306841914368,0.9940306841914368,3.8030649823888742,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-Cbo_FLUXNET_1996-2024_v1.3_r1.zip,10.17190/AMF/1854365,3.808156041919075,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,44.3184,-79.9341,0,FALSE,4,833.1944916666666,NA,NA,FALSE,NA
CA-SMC,30,1656.6342333333332,1,1524.2010000000002,12,4.16475,1524.201,12,12,0,349,388,FALSE,4.746802960840497,1.0868869875648506,1.0868869875648508,4.2696758591065285,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-SMC_FLUXNET_2018-2018_v1.3_r1.zip,10.17190/AMF/2571111,4.508239409973513,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,63.1534,-123.2522,0,FALSE,4,414.1585583333333,NA,NA,FALSE,NA
CN-Dda,30,1158.7745666666667,4,1010.212,48,2.755979166666666,1010.212,48,48,0,261,NA,FALSE,4.439749297573436,1.147060781961278,1.147060781961278,NA,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Dda_FLUXNET_2011-2014_v1.3_r1.zip,LfCurmcmjbwq0kACEe81OTEW,4.439749297573436,1,4,clustered_4x_8x,FALSE,Dwb,TRUE,HH,41.64397,110.33147,0,FALSE,4,289.6936416666667,NA,NA,FALSE,NA
CN-Dsh,30,2499.131833333334,8,2637.78225,96,7.1899375,2637.78225,96,96,0,345,380,FALSE,7.24386038647343,0.9474367466584224,0.9474367466584224,6.576662719298246,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Dsh_FLUXNET_2013-2024_v1.3_r1.zip,CuNYBsqS22epRiBFdnFTFpHD,6.910261552885838,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,38.83992,98.9406,0,FALSE,8,312.3914791666667,NA,NA,FALSE,NA
CN-HeD,30,151.21866666666665,2,118.222,24,0.324375,118.222,24,24,0,34,37,FALSE,4.447607843137255,1.2791076674956154,1.2791076674956154,4.086990990990991,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-HeD_FLUXNET_2019-2024_v1.3_r1.zip,vYhdwdwjsWz9BbCqBCrlbO1M,4.267299417064123,2,4,clustered_4x_8x,FALSE,BWk,TRUE,HH,42.1135,100.9872,0,FALSE,4,37.80466666666666,NA,NA,FALSE,NA
