site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,ratio_badm_bio12,within_2pct,badm_round_100,badm_round_50
AR-Bal,30,422.36246666666665,2,432.52650000000006,20,1.1965,438.0882,24,20,0.16666666666666663,835,926,FALSE,0.5058233133732535,0.976500784730338,0.9641037276664074,0.4561149748020158,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1.zip,10.17190/AMF/2571144,1.1089820359281437,FALSE,FALSE,FALSE
AR-CCa,30,3554.8036,9,3415.202222222222,108,9.36275,3415.202222222222,108,108,0,1018,1060,FALSE,3.491948526522594,1.040876460219372,1.040876460219372,3.3535883018867927,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1.zip,10.17190/AMF/2571134,1.0412573673870333,FALSE,FALSE,FALSE
AR-CCg,30,3460.358333333333,3,2971.9179999999997,36,8.14713888888889,2971.918,36,36,0,1004,1060,FALSE,3.446572045152722,1.1643518876810643,1.164351887681064,3.2644889937106916,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip,10.17190/AMF/2469434,1.0557768924302788,FALSE,FALSE,FALSE
AR-TF2,30,3849.4612666666662,3,3784.8493333333336,36,10.376527777777778,3784.849333333333,36,36,0,596,530,FALSE,6.458827628635347,1.0170712035388814,1.0170712035388816,7.263134465408805,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip,10.17190/AMF/2571120,0.889261744966443,FALSE,FALSE,FALSE
AT-Mmg,30,812.6036333333334,NA,NA,NA,NA,NA,NA,NA,NA,1150,768,FALSE,0.7066118550724638,NA,NA,1.0580776475694444,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Mmg_FLUXNET_2021-2024_v1.3_r1.zip,SR8Y7XJE2CuwVkPh9WO7iXKF,0.6678260869565218,FALSE,FALSE,FALSE
AT-Neu,30,769.6289333333333,19,767.5662105263158,NA,NA,NA,228,0,1,997,852,FALSE,0.771944767636242,1.0026873548870827,NA,0.9033203442879498,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Neu_FLUXNET_2002-2020_v1.3_r1.zip,igjTOOy6rdzyQ7RPN590N98N,0.8545636910732196,FALSE,FALSE,FALSE
AT-Nsd,30,490.758,3,493.217,6,1.2878333333333334,465.682,36,6,0.8333333333333334,576,500.2,FALSE,0.8520104166666667,0.9950143648738792,1.0538479047933995,0.981123550579768,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Nsd_FLUXNET_2018-2022_v1.3_r1.zip,2Itqw8Hspuyjolyphte0hHnO,0.8684027777777777,FALSE,FALSE,FALSE
AT-PsM,30,1263.2589,5,1272.555,5,3.5002,1281.6624,60,5,0.9166666666666666,1165,1233,FALSE,1.0843424034334763,0.9926949326355246,0.9856409144873096,1.0245408759124088,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-PsM_FLUXNET_2015-2019_v1.3_r1.zip,STpBN0N9Df49Aabujg7yoJar,1.0583690987124463,FALSE,FALSE,FALSE
AT-Zoe,30,1781.0322333333334,7,1739.8967142857143,NA,NA,NA,84,0,1,936,1645,FALSE,1.902812215099715,1.023642506310788,NA,1.0826943667679838,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Zoe_FLUXNET_2014-2024_v1.3_r1.zip,cp3qmc9PDJw4kLwCX34YIr1M,1.7574786324786325,FALSE,FALSE,FALSE
BE-Bra,30,811.3813666666666,22,822.8568636363636,26,1.9376538461538464,708.1463076923077,264,26,0.9015151515151516,808,920.7,FALSE,1.0041848597359735,0.9860540788114904,1.145782104422431,0.8812657398356322,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Bra_FLUXNET_1999-2024_v1.3_r1.zip,LFEir6YGDlkpjoTnCuB1qWeS,1.139480198019802,FALSE,FALSE,FALSE
BE-Dor,30,643.6931333333333,10,618.0674,NA,NA,NA,120,0,1,849,827.9,FALSE,0.7581780133490381,1.0414610661124228,NA,0.7775010669565567,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Dor_FLUXNET_2011-2024_v1.3_r1.zip,geqYNPk-fvkZDGtnJI-sq1Je,0.9751472320376914,FALSE,FALSE,FALSE
BE-Lcr,30,696.4490666666667,2,748.4449999999999,NA,NA,NA,24,0,1,782,861.3,FALSE,0.8905998294970162,0.9305280503800102,NA,0.808602190487248,TRUE,FALSE,ICOS,EUF,v1.3,EUF_BE-Lcr_FLUXNET_2019-2022_v1.3_r1.zip,oc2rvgUbNz-kUIeMsNmvNv8X,1.1014066496163681,FALSE,FALSE,FALSE
BE-Lon,30,675.7650333333333,17,718.4119411764706,6,2.0615,754.614,204,6,0.9705882352941176,800,742.6,FALSE,0.8447062916666667,0.940637250860142,0.8955108616237352,0.9099986982673488,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Lon_FLUXNET_2004-2024_v1.3_r1.zip,1u2xQ5XcQoX0j2wJiZcyDP3M,0.92825,FALSE,FALSE,FALSE
BE-Maa,30,697.2788666666667,5,584.06,10,1.6425,598.5624,60,10,0.8333333333333334,757,839.1,FALSE,0.9211081461911051,1.1938480064833523,1.1649225989916283,0.83098422913439,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Maa_FLUXNET_2016-2025_v1.3_r1.zip,DwEiFNFPCZypbHKn5zK7Phsl,1.1084544253632762,FALSE,FALSE,FALSE
BE-Vie,30,918.7797333333332,25,900.50388,16,1.779625,649.98375,300,16,0.9466666666666668,1103,915.6,FALSE,0.8329825324871563,1.0202951411306893,1.4135426206167974,1.0034728411242173,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Vie_FLUXNET_1996-2025_v1.3_r1.zip,mYZAS5TMuYruvEj80RAUa5OO,0.8300997280145059,FALSE,FALSE,FALSE
BJ-Bfg,30,1396.9521,10,1342.1749,NA,NA,NA,120,0,1,1173,1200,FALSE,1.1909225063938618,1.0408122667172512,NA,1.16412675,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Bfg_FLUXNET_2008-2017_v1.3_r1.zip,3e0Uvz3eNFxHLxOGL6H7ciVC,1.0230179028132993,FALSE,TRUE,TRUE
