site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,ratio_badm_bio12,within_2pct,badm_round_100,badm_round_50,n_genuine_months,map_gauge,diff_badm,diff_bio12,closer_to
AR-Bal,30,422.36246666666665,2,432.52650000000006,20,1.1965,438.0882,24,20,0.16666666666666663,835,926,FALSE,0.5058233133732535,0.976500784730338,0.9641037276664074,0.4561149748020158,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1.zip,10.17190/AMF/2571144,1.1089820359281437,FALSE,FALSE,FALSE,1,8.148,917.852,826.852,bio12
AT-Neu,30,769.6289333333333,19,767.5662105263158,NA,NA,NA,228,0,1,997,852,FALSE,0.771944767636242,1.0026873548870827,NA,0.9033203442879498,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Neu_FLUXNET_2002-2020_v1.3_r1.zip,igjTOOy6rdzyQ7RPN590N98N,0.8545636910732196,FALSE,FALSE,FALSE,228,25.119999999999997,826.88,971.88,badm
AT-Nsd,30,490.758,3,493.217,6,1.2878333333333334,465.682,36,6,0.8333333333333334,576,500.2,FALSE,0.8520104166666667,0.9950143648738792,1.0538479047933995,0.981123550579768,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Nsd_FLUXNET_2018-2022_v1.3_r1.zip,2Itqw8Hspuyjolyphte0hHnO,0.8684027777777777,FALSE,FALSE,FALSE,30,16.306,483.894,559.694,badm
AT-PsM,30,1263.2589,5,1272.555,5,3.5002,1281.6624,60,5,0.9166666666666666,1165,1233,FALSE,1.0843424034334763,0.9926949326355246,0.9856409144873096,1.0245408759124088,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-PsM_FLUXNET_2015-2019_v1.3_r1.zip,STpBN0N9Df49Aabujg7yoJar,1.0583690987124463,FALSE,FALSE,FALSE,54,41.67022222222222,1191.3297777777777,1123.3297777777777,bio12
AT-Zoe,30,1781.0322333333334,7,1739.8967142857143,NA,NA,NA,84,0,1,936,1645,FALSE,1.902812215099715,1.023642506310788,NA,1.0826943667679838,TRUE,FALSE,ICOS,EUF,v1.3,EUF_AT-Zoe_FLUXNET_2014-2024_v1.3_r1.zip,cp3qmc9PDJw4kLwCX34YIr1M,1.7574786324786325,FALSE,FALSE,FALSE,77,54.99958441558441,1590.0004155844156,881.0004155844156,bio12
BE-Bra,30,811.3813666666666,22,822.8568636363636,26,1.9376538461538464,708.1463076923077,264,26,0.9015151515151516,808,920.7,FALSE,1.0041848597359735,0.9860540788114904,1.145782104422431,0.8812657398356322,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Bra_FLUXNET_1999-2024_v1.3_r1.zip,LFEir6YGDlkpjoTnCuB1qWeS,1.139480198019802,FALSE,FALSE,FALSE,230,27.559147826086956,893.1408521739131,780.4408521739131,bio12
BE-Dor,30,643.6931333333333,10,618.0674,NA,NA,NA,120,0,1,849,827.9,FALSE,0.7581780133490381,1.0414610661124228,NA,0.7775010669565567,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Dor_FLUXNET_2011-2024_v1.3_r1.zip,geqYNPk-fvkZDGtnJI-sq1Je,0.9751472320376914,FALSE,FALSE,FALSE,109,19.754201834862386,808.1457981651376,829.2457981651376,badm
BE-Lcr,30,696.4490666666667,2,748.4449999999999,NA,NA,NA,24,0,1,782,861.3,FALSE,0.8905998294970162,0.9305280503800102,NA,0.808602190487248,TRUE,FALSE,ICOS,EUF,v1.3,EUF_BE-Lcr_FLUXNET_2019-2022_v1.3_r1.zip,oc2rvgUbNz-kUIeMsNmvNv8X,1.1014066496163681,FALSE,FALSE,FALSE,23,25.01582608695652,836.2841739130434,756.9841739130435,bio12
BE-Lon,30,675.7650333333333,17,718.4119411764706,6,2.0615,754.614,204,6,0.9705882352941176,800,742.6,FALSE,0.8447062916666667,0.940637250860142,0.8955108616237352,0.9099986982673488,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Lon_FLUXNET_2004-2024_v1.3_r1.zip,1u2xQ5XcQoX0j2wJiZcyDP3M,0.92825,FALSE,FALSE,FALSE,159,21.84709433962264,720.7529056603773,778.1529056603773,badm
BE-Maa,30,697.2788666666667,5,584.06,10,1.6425,598.5624,60,10,0.8333333333333334,757,839.1,FALSE,0.9211081461911051,1.1938480064833523,1.1649225989916283,0.83098422913439,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Maa_FLUXNET_2016-2025_v1.3_r1.zip,DwEiFNFPCZypbHKn5zK7Phsl,1.1084544253632762,FALSE,FALSE,FALSE,33,17.43018181818182,821.6698181818182,739.5698181818182,bio12
BE-Vie,30,918.7797333333332,25,900.50388,16,1.779625,649.98375,300,16,0.9466666666666668,1103,915.6,FALSE,0.8329825324871563,1.0202951411306893,1.4135426206167974,1.0034728411242173,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Vie_FLUXNET_1996-2025_v1.3_r1.zip,mYZAS5TMuYruvEj80RAUa5OO,0.8300997280145059,FALSE,FALSE,FALSE,276,30.190304347826086,885.4096956521739,1072.809695652174,badm
BJ-Bfg,30,1396.9521,10,1342.1749,NA,NA,NA,120,0,1,1173,1200,FALSE,1.1909225063938618,1.0408122667172512,NA,1.16412675,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Bfg_FLUXNET_2008-2017_v1.3_r1.zip,3e0Uvz3eNFxHLxOGL6H7ciVC,1.0230179028132993,FALSE,TRUE,TRUE,120,43.883399999999995,1156.1166,1129.1166,bio12
BJ-Nhu,30,1349.8548666666666,10,1289.6695,NA,NA,NA,120,0,1,1205,1190,FALSE,1.120211507607192,1.0466672792267062,NA,1.1343318207282913,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Nhu_FLUXNET_2008-2017_v1.3_r1.zip,lmKaXHkgzrf_23otyyDTLet5,0.9875518672199171,TRUE,FALSE,FALSE,120,42.2066,1147.7934,1162.7934,badm
BR-CST,30,661.4289333333334,2,435.1015,10,1.3694,493.788,24,10,0.5833333333333333,745,642,FALSE,0.887824071588367,1.5201715768236457,1.3394998123351185,1.0302631360332295,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1.zip,10.17190/AMF/1902820,0.8617449664429531,FALSE,FALSE,FALSE,13,13.812923076923077,628.1870769230769,731.1870769230769,badm
BR-Ma2,30,2495.3513666666668,18,2548.848333333334,10,10.6303,3842.2896,216,10,0.9537037037037036,2352,2252,FALSE,1.0609487103174604,0.9790113181835718,0.6494438541713947,1.1080601095322675,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1.zip,10.17190/AMF/3027671,0.9574829931972789,FALSE,FALSE,FALSE,174,78.44427586206896,2173.555724137931,2273.555724137931,badm
BR-Ma3,30,2134.5123,11,2119.0485454545455,11,6.674090909090909,2433.698181818182,132,11,0.9166666666666666,2395,2792,FALSE,0.8912368684759916,1.0072974989547194,0.8770653304286629,0.7645101361031518,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1.zip,10.17190/AMF/3027359,1.1657620041753654,FALSE,FALSE,FALSE,102,71.43129411764706,2720.568705882353,2323.568705882353,bio12
