site_id,panel,reason
CA-TP2,"hist:ratio_to_bio12, scatter:ERA5-vs-BIO12, scatter:ERA5-vs-BADM",era5_map_mm == 0
AR-TF1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-APL,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-ASM,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Ade,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Boy,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Col,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Cow,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Cpr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Ctr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Cum,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-DaP,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-DaS,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Dry,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Emr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Fle,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Fog,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-GWW,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Gin,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-How,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Lit,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Lon,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Lox,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-MvA,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-MvB,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Otw,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-RDF,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Rgf,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Rig,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Rob,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Sam,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Sil,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Sno,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Stp,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-TTE,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Tum,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Wac,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Wel,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Wgt,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Whr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Wom,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Wrr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Ya1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Ya2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
AU-Ync,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
BR-Ji3,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
BW-Gum,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
BW-Nxr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CA-CF3,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CA-DB2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CA-Qc2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Ash,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-BeO,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-DaW,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Dan,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Dda,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Din,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Du2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Dzo,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Erg,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-GuT,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Ha2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-HaW,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Jzh,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Lch,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Mxn,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Nmn,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Qng,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Wnb,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Xi2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-YaS,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Yan,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CN-Yuc,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CR-Fsc,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
DE-Gri,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
DE-Hdn,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
DK-Eng,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
DK-Fou,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
ES-Abr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
ES-LgS,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
ES-Ln2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
ES-Pdu,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
FI-Si2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
GL-Dsk,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
HK-MPM,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
ID-PaD,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-BsB,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-Bsn,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-Cpz,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-MtM,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-MtP,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-NiG,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-PT1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-Ro1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
IT-Ro2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
JP-MBF,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
JP-MMF,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
JP-Nkm,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
JP-Tgf,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NO-Fns,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-ADd,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-ADw,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-BFm,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-BFu,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-Cla,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-Kop,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-Lau,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-Oxf,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
NZ-ScF,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
PE-QFR,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
RU-Ha1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
RU-Sk2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
RU-SkP,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
SE-Ros,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
SJ-Adv,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-A37,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-ALQ,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-AR1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-AR2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-ARb,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-ARc,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Akn,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-CAK,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Cop,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-EDN,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Elm,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Esm,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Fcr,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Fo1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Fo2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-KLS,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-LS2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Lin,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-NGC,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-NSa,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-NSb,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-SD2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Snf,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-Sta,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-YK1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-YK2,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-ZF1,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-xHA,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-xKA,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
US-xTA,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm missing (NA)
CZ-LnG,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm == 0
DE-Lnf,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm == 0
ES-Agu,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm == 0
ES-Amo,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm == 0
KE-Kpt,"hist:ratio_to_badm, scatter:ERA5-vs-BADM, scatter:BADM-vs-BIO12",badm_map_mm == 0
