site_id,data_hub,product_source_network,era5_map_mm,bio12_mm,badm_map_mm,ratio_to_bio12,ratio_to_badm_map,cluster_membership
AR-Bal,AmeriFlux,AMF,422.36246666666665,835,926,0.5058233133732535,0.4561149748020158,not_in_4x_or_8x_cluster
AR-CCa,AmeriFlux,AMF,3554.8036,1018,1060,3.491948526522594,3.3535883018867927,4x_cluster
AR-CCg,AmeriFlux,AMF,3460.358333333333,1004,1060,3.446572045152722,3.2644889937106916,not_in_4x_or_8x_cluster
AR-TF1,AmeriFlux,AMF,3586.691333333333,658,NA,5.450898682877406,NA,not_in_4x_or_8x_cluster
AR-TF2,AmeriFlux,AMF,3849.4612666666662,596,530,6.458827628635347,7.263134465408805,8x_cluster
AT-Mmg,ICOS,EUF,812.6036333333334,1150,768,0.7066118550724638,1.0580776475694444,not_in_4x_or_8x_cluster
AT-Neu,ICOS,EUF,769.6289333333333,997,852,0.771944767636242,0.9033203442879498,not_in_4x_or_8x_cluster
AT-Nsd,ICOS,EUF,490.758,576,500.2,0.8520104166666667,0.981123550579768,not_in_4x_or_8x_cluster
AT-PsM,ICOS,EUF,1263.2589,1165,1233,1.0843424034334763,1.0245408759124088,not_in_4x_or_8x_cluster
AT-Zoe,ICOS,EUF,1781.0322333333334,936,1645,1.902812215099715,1.0826943667679838,not_in_4x_or_8x_cluster
AU-APL,TERN,TERN,4208.4393,1655,NA,2.5428636253776435,NA,not_in_4x_or_8x_cluster
AU-ASM,TERN,TERN,311.54563333333334,366,NA,0.851217577413479,NA,not_in_4x_or_8x_cluster
AU-Ade,TERN,TERN,1611.3440666666663,1409,NA,1.1436082801040923,NA,not_in_4x_or_8x_cluster
AU-Boy,TERN,TERN,508.7504333333333,469,NA,1.0847557213930348,NA,not_in_4x_or_8x_cluster
AU-Col,TERN,TERN,2023.5442333333333,767,NA,2.638258452846588,NA,not_in_4x_or_8x_cluster
AU-Cow,TERN,TERN,3341.924366666666,3105,NA,1.0763041438539989,NA,not_in_4x_or_8x_cluster
AU-Cpr,TERN,TERN,256.2216666666667,268,NA,0.9560509950248756,NA,not_in_4x_or_8x_cluster
AU-Ctr,TERN,TERN,3882.7596333333336,3102,NA,1.2516955620030088,NA,not_in_4x_or_8x_cluster
AU-Cum,TERN,TERN,839.5806,843,NA,0.9959437722419928,NA,not_in_4x_or_8x_cluster
AU-DaP,TERN,TERN,1249.5877,1174,NA,1.064384752981261,NA,not_in_4x_or_8x_cluster
AU-DaS,TERN,TERN,1165.4386333333332,1140,NA,1.022314590643275,NA,not_in_4x_or_8x_cluster
AU-Dry,TERN,TERN,868.1355333333333,854,NA,1.0165521467603436,NA,not_in_4x_or_8x_cluster
AU-Emr,TERN,TERN,650.5638666666666,628,NA,1.0359297239915073,NA,not_in_4x_or_8x_cluster
AU-Fle,TERN,TERN,560.8474,664,NA,0.8446496987951807,NA,not_in_4x_or_8x_cluster
AU-Fog,TERN,TERN,5851.212966666667,1466,NA,3.991277603456117,NA,4x_cluster
AU-GWW,TERN,TERN,340.5570666666667,264,NA,1.2899888888888889,NA,not_in_4x_or_8x_cluster
AU-Gin,TERN,TERN,623.8964333333333,699,NA,0.892555698617072,NA,not_in_4x_or_8x_cluster
AU-How,TERN,TERN,1675.7837333333332,1647,NA,1.0174764622546042,NA,not_in_4x_or_8x_cluster
AU-Lit,TERN,TERN,1649.2909333333332,1585,NA,1.0405621030494216,NA,not_in_4x_or_8x_cluster
AU-Lon,TERN,TERN,277.08093333333335,419,NA,0.6612910103420844,NA,not_in_4x_or_8x_cluster
AU-Lox,TERN,TERN,143.38846666666666,277,NA,0.5176478941034898,NA,not_in_4x_or_8x_cluster
AU-MvA,TERN,TERN,560.3472,626,NA,0.8951233226837061,NA,not_in_4x_or_8x_cluster
AU-MvB,TERN,TERN,593.9288333333334,620,NA,0.9579497311827958,NA,not_in_4x_or_8x_cluster
AU-Otw,TERN,TERN,719.6304666666666,876,NA,0.8214959665144597,NA,not_in_4x_or_8x_cluster
AU-RDF,TERN,TERN,999.6309,955,NA,1.0467339267015707,NA,not_in_4x_or_8x_cluster
AU-Rgf,TERN,TERN,585.0512333333334,456,NA,1.283007090643275,NA,not_in_4x_or_8x_cluster
AU-Rig,TERN,TERN,465.1422333333333,618,NA,0.7526573354908306,NA,not_in_4x_or_8x_cluster
AU-Rob,TERN,TERN,1752.6282,2634,NA,0.6653865603644646,NA,not_in_4x_or_8x_cluster
AU-Sam,TERN,TERN,1000.4260666666668,1233,NA,0.8113755609624222,NA,not_in_4x_or_8x_cluster
AU-Sil,TERN,TERN,683.9892,827,NA,0.8270727932285369,NA,not_in_4x_or_8x_cluster
AU-Sno,TERN,TERN,1341.243,1664,NA,0.8060354567307692,NA,not_in_4x_or_8x_cluster
AU-Stp,TERN,TERN,650.5608333333333,641,NA,1.0149154966198648,NA,not_in_4x_or_8x_cluster
AU-TTE,TERN,TERN,323.7930333333333,249,NA,1.300373627844712,NA,not_in_4x_or_8x_cluster
AU-Tum,TERN,TERN,1129.0455333333334,1449,NA,0.7791894639981597,NA,not_in_4x_or_8x_cluster
AU-Wac,TERN,TERN,2962.6132,1276,NA,2.3217971786833855,NA,not_in_4x_or_8x_cluster
AU-Wel,TERN,TERN,751.6952,652,NA,1.1529067484662576,NA,not_in_4x_or_8x_cluster
AU-Wgt,TERN,TERN,582.3777666666666,908,NA,0.6413852055800293,NA,not_in_4x_or_8x_cluster
AU-Whr,TERN,TERN,307.9933666666667,581,NA,0.5301090648307516,NA,not_in_4x_or_8x_cluster
AU-Wom,TERN,TERN,852.7281,1070,NA,0.7969421495327104,NA,not_in_4x_or_8x_cluster
AU-Wrr,TERN,TERN,1179.5359666666666,1555,NA,0.758544030010718,NA,not_in_4x_or_8x_cluster
AU-Ya1,TERN,TERN,742.3492666666666,843,NA,0.8806041122973507,NA,not_in_4x_or_8x_cluster
AU-Ya2,TERN,TERN,790.8596666666667,847,NA,0.9337186147186148,NA,not_in_4x_or_8x_cluster
AU-Ync,TERN,TERN,503.6259,435,NA,1.1577606896551724,NA,not_in_4x_or_8x_cluster
BE-Bra,ICOS,ICOS,811.3813666666666,808,920.7,1.0041848597359735,0.8812657398356322,not_in_4x_or_8x_cluster
BE-Dor,ICOS,ICOS,643.6931333333333,849,827.9,0.7581780133490381,0.7775010669565567,not_in_4x_or_8x_cluster
BE-Lcr,ICOS,EUF,696.4490666666667,782,861.3,0.8905998294970162,0.808602190487248,not_in_4x_or_8x_cluster
BE-Lon,ICOS,ICOS,675.7650333333333,800,742.6,0.8447062916666667,0.9099986982673488,not_in_4x_or_8x_cluster
BE-Maa,ICOS,ICOS,697.2788666666667,757,839.1,0.9211081461911051,0.83098422913439,not_in_4x_or_8x_cluster
BE-Vie,ICOS,ICOS,918.7797333333332,1103,915.6,0.8329825324871563,1.0034728411242173,not_in_4x_or_8x_cluster
BJ-Bfg,ICOS,FLX,1396.9521,1173,1200,1.1909225063938618,1.16412675,not_in_4x_or_8x_cluster
BJ-Db1,ICOS,FLX,1404.9051333333332,1194,1440,1.176637465103294,0.9756285648148147,not_in_4x_or_8x_cluster
BJ-Nhu,ICOS,FLX,1349.8548666666666,1205,1190,1.120211507607192,1.1343318207282913,not_in_4x_or_8x_cluster
BR-CST,AmeriFlux,AMF,661.4289333333334,745,642,0.887824071588367,1.0302631360332295,not_in_4x_or_8x_cluster
BR-ITA,AmeriFlux,AMF,2457.0402,1279,1447,1.921063487099296,1.698023635107118,not_in_4x_or_8x_cluster
BR-Ji3,AmeriFlux,AMF,6879.8211,2083,NA,3.30284258281325,NA,not_in_4x_or_8x_cluster
BR-Ma2,AmeriFlux,AMF,2495.3513666666668,2352,2252,1.0609487103174604,1.1080601095322675,not_in_4x_or_8x_cluster
BR-Ma3,AmeriFlux,AMF,2134.5123,2395,2792,0.8912368684759916,0.7645101361031518,not_in_4x_or_8x_cluster
BR-Npw,AmeriFlux,AMF,1433.2037,1320,1486,1.085760378787879,0.9644708613728128,not_in_4x_or_8x_cluster
BR-SM1,AmeriFlux,AMF,5637.838066666666,1473,1700,3.8274528626386055,3.3163753333333332,4x_cluster
BR-Sa1,AmeriFlux,AMF,2009.1521666666667,1868,2074.79,1.0755632583868666,0.968364107532168,not_in_4x_or_8x_cluster
BR-Sa3,AmeriFlux,AMF,1457.539266666667,1852,2043.77,0.7870082433405328,0.7131620811865653,not_in_4x_or_8x_cluster
BR-Xpw,AmeriFlux,AMF,1431.8699666666666,1341,1490,1.0677628386776037,0.9609865548098434,not_in_4x_or_8x_cluster
BW-Gum,ICOS,FLX,2356.7997666666665,462,NA,5.101298196248196,NA,not_in_4x_or_8x_cluster
BW-Nxr,ICOS,FLX,2185.233133333333,436,NA,5.012002599388379,NA,not_in_4x_or_8x_cluster
CA-ARB,AmeriFlux,AMF,488.89663333333334,625,700,0.7822346133333333,0.698423761904762,not_in_4x_or_8x_cluster
CA-ARF,AmeriFlux,AMF,488.89456666666666,625,700,0.7822313066666666,0.6984208095238095,not_in_4x_or_8x_cluster
CA-BOU,AmeriFlux,AMF,711.3454333333333,1032,1011,0.6892882105943152,0.7036057698648203,not_in_4x_or_8x_cluster
CA-CF1,AmeriFlux,AMF,3649.1881,417,452,8.751050599520383,8.073425,8x_cluster
CA-CF2,AmeriFlux,AMF,4963.8835,417,452,11.903797362110312,10.98204314159292,not_in_4x_or_8x_cluster
CA-CF3,AmeriFlux,AMF,252.5199,417,NA,0.605563309352518,NA,not_in_4x_or_8x_cluster
CA-Ca1,AmeriFlux,AMF,1315.8228666666666,1692,1369,0.7776730890464932,0.9611562210859508,not_in_4x_or_8x_cluster
CA-Ca2,AmeriFlux,AMF,1178.4454666666666,1587,1474,0.7425617307288385,0.7994881049298959,not_in_4x_or_8x_cluster
CA-Ca3,AmeriFlux,AMF,1772.5385666666666,1582,1676,1.120441571849979,1.0576005767700876,not_in_4x_or_8x_cluster
CA-Cbo,AmeriFlux,AMF,3332.7779666666665,874,876.34,3.8132471014492753,3.8030649823888742,4x_cluster
CA-DB2,AmeriFlux,AMF,1196.4158333333332,1342,NA,0.8915170144063586,NA,not_in_4x_or_8x_cluster
CA-DBB,AmeriFlux,AMF,1139.3527,1469,1128,0.7755974812797821,1.01006445035461,not_in_4x_or_8x_cluster
CA-DSM,AmeriFlux,AMF,1166.4762333333333,1464,1077.8,0.796773383424408,1.0822752211294613,not_in_4x_or_8x_cluster
CA-EM1,AmeriFlux,AMF,395.9318333333333,480,504.8,0.824857986111111,0.784334059693608,not_in_4x_or_8x_cluster
CA-EM2,AmeriFlux,AMF,298.75856666666664,480,473.4,0.6224136805555555,0.6310911843402337,not_in_4x_or_8x_cluster
CA-Gro,AmeriFlux,AMF,822.5417666666667,740,831,1.111542927927928,0.9898216205375052,not_in_4x_or_8x_cluster
CA-HPC,AmeriFlux,AMF,1114.4470666666666,238,240.6,4.682550700280112,4.631949570518149,not_in_4x_or_8x_cluster
CA-KLP,AmeriFlux,AMF,573.9364666666667,648,680,0.8857044238683127,0.8440242156862745,not_in_4x_or_8x_cluster
CA-LP1,AmeriFlux,AMF,537.0924333333334,723,570,0.7428664361456893,0.9422674269005848,not_in_4x_or_8x_cluster
CA-LU1,AmeriFlux,AMF,384.5509333333333,350,379,1.0987169523809523,1.0146462620932275,not_in_4x_or_8x_cluster
CA-LU2,AmeriFlux,AMF,358.3070666666667,355,379,1.0093156807511738,0.9454012313104662,not_in_4x_or_8x_cluster
CA-MA1,AmeriFlux,AMF,443.6125666666667,519,514,0.8547448298008992,0.8630594682230869,not_in_4x_or_8x_cluster
CA-MA2,AmeriFlux,AMF,462.4175666666667,518,514,0.8926980051480052,0.8996450713359274,not_in_4x_or_8x_cluster
CA-MA3,AmeriFlux,AMF,473.8713333333333,519,514,0.9130468850353244,0.921928664072633,not_in_4x_or_8x_cluster
CA-Man,AmeriFlux,AMF,328.0806333333333,509,520,0.6445592010478061,0.6309242948717948,not_in_4x_or_8x_cluster
CA-Mer,AmeriFlux,AMF,882.9069999999999,943,943,0.9362746553552492,0.9362746553552492,not_in_4x_or_8x_cluster
CA-Mtk,AmeriFlux,AMF,206.7714,197,173,1.0496010152284263,1.1952104046242775,not_in_4x_or_8x_cluster
CA-Na1,AmeriFlux,AMF,1287.7088333333334,1147,1102.7,1.1226755303690787,1.1677780296847131,not_in_4x_or_8x_cluster
CA-Ojp,AmeriFlux,AMF,494.6377,473,430.5,1.045745665961945,1.1489842044134726,not_in_4x_or_8x_cluster
CA-PB1,AmeriFlux,AMF,344.5383,525,490,0.6562634285714286,0.703139387755102,not_in_4x_or_8x_cluster
CA-PB2,AmeriFlux,AMF,475.45213333333334,524,490,0.907351399491094,0.9703104761904762,not_in_4x_or_8x_cluster
CA-Qc2,AmeriFlux,AMF,827.3691,965,NA,0.8573773056994819,NA,not_in_4x_or_8x_cluster
CA-Qfo,AmeriFlux,AMF,975.0215,983,962.32,0.991883519837233,1.013198831989359,not_in_4x_or_8x_cluster
CA-RBM,AmeriFlux,AMF,974.1024333333334,1180,1152,0.8255105367231639,0.8455750289351852,not_in_4x_or_8x_cluster
CA-SCB,AmeriFlux,AMF,342.5516666666667,414,388,0.8274194847020934,0.8828651202749142,not_in_4x_or_8x_cluster
CA-SCC,AmeriFlux,AMF,269.28866666666664,414,387.6,0.6504557165861513,0.6947592019263845,not_in_4x_or_8x_cluster
CA-SF1,AmeriFlux,AMF,421.0691,494,470,0.8523665991902833,0.8958917021276596,not_in_4x_or_8x_cluster
