site_id,data_hub,product_source_network,era5_annual_precip_mm,worldclim_bio12_mm,badm_map_mm,measured_annual_precip_mm,n_complete_measured_years,ratio_era5_to_bio12,ratio_era5_to_badm,ratio_era5_to_measured,flag_basis
AR-CCa,AmeriFlux,AMF,3554.8036,1018,1060,NA,0,3.491948526522594,3.3535883018867927,NA,empirical factor near 4x
AR-TF2,AmeriFlux,AMF,3849.4612666666662,596,530,NA,0,6.458827628635347,7.263134465408805,NA,empirical factor near 8x
AU-Fog,TERN,TERN,5851.212966666667,1466,NA,NA,0,3.991277603456117,NA,NA,empirical factor near 4x
BR-SM1,AmeriFlux,AMF,5637.838066666666,1473,1700,NA,0,3.8274528626386055,3.3163753333333332,NA,empirical factor near 4x
CA-CF1,AmeriFlux,AMF,3649.1881,417,452,NA,0,8.751050599520383,8.073425,NA,empirical factor near 8x
CA-Cbo,AmeriFlux,AMF,3332.7779666666665,874,876.34,NA,0,3.8132471014492753,3.8030649823888742,NA,empirical factor near 4x
CA-SMC,AmeriFlux,AMF,1656.6342333333332,349,388,NA,0,4.746802960840497,4.2696758591065285,NA,empirical factor near 4x
CN-Dda,ICOS,CNF,1158.7745666666667,261,NA,NA,0,4.439749297573436,NA,NA,empirical factor near 4x
CN-Dsh,ICOS,CNF,2499.131833333334,345,380,NA,0,7.24386038647343,6.576662719298246,NA,empirical factor near 8x
CN-HeD,ICOS,CNF,151.21866666666665,34,37,NA,0,4.447607843137255,4.086990990990991,NA,empirical factor near 4x
CN-HeM,ICOS,CNF,152.75446666666667,41,37,NA,0,3.725718699186992,4.128499099099099,NA,empirical factor near 4x
CN-Huz,ICOS,CNF,1534.9444,260,130,NA,0,5.903632307692307,11.807264615384614,NA,empirical factor near 8x
CN-Jng,ICOS,CNF,2983.7575666666667,481,400,NA,0,6.2032381843381845,7.459393916666667,NA,empirical factor near 8x
CN-Sb2,ICOS,FLX,2080.9931333333334,460,452,NA,0,4.523898115942029,4.603967109144543,NA,empirical factor near 4x
CN-Sdq,ICOS,CNF,152.75446666666667,41,37,NA,0,3.725718699186992,4.128499099099099,NA,empirical factor near 4x
CN-Zha,ICOS,CNF,631.1700666666667,188,130,NA,0,3.3572875886524822,4.855154358974359,NA,empirical factor near 4x
DE-Akm,ICOS,EUF,2403.4020666666665,563,562,NA,0,4.26892018946122,4.276516132858838,NA,empirical factor near 4x
DE-Etn,ICOS,EUF,4270.398866666666,1062,1190,NA,0,4.021091211550534,3.588570476190476,NA,empirical factor near 4x
DE-Hdn,ICOS,EUF,2464.5783333333334,559,NA,NA,0,4.4089057841383426,NA,NA,empirical factor near 4x
DE-Hzd,ICOS,ICOS,3285.0614666666665,759,877,NA,0,4.328144224857268,3.7457941467122766,NA,empirical factor near 4x
DE-Spw,ICOS,EUF,2414.6585666666665,553,558,NA,0,4.366471187462326,4.327345101553166,NA,empirical factor near 4x
DE-Zrk,ICOS,EUF,2655.0587333333333,594,584,NA,0,4.469795847362514,4.546333447488585,NA,empirical factor near 4x
DK-Eng,ICOS,EUF,2593.9773666666665,606,NA,NA,0,4.280490704070407,NA,NA,empirical factor near 4x
EE-Rng,ICOS,EUF,697.6556666666667,647,107.1,NA,0,1.0782931478619269,6.514058512293807,NA,empirical factor near 4x
EE-Stg,ICOS,EUF,2750.2968333333333,659,675,NA,0,4.17343980778958,4.0745138271604935,NA,empirical factor near 4x
ES-Dnn,ICOS,EUF,1910.7018333333333,505,548.6,NA,0,3.78356798679868,3.4828688175963056,NA,empirical factor near 4x
ES-FtD,ICOS,EUF,1910.7018333333333,511,548.6,NA,0,3.7391425309849966,3.4828688175963056,NA,empirical factor near 4x
ES-MtB,ICOS,EUF,1910.7018333333333,500,548.6,NA,0,3.8214036666666664,3.4828688175963056,NA,empirical factor near 4x
ES-MtN,ICOS,EUF,1910.7018333333333,507,548.6,NA,0,3.7686426692965154,3.4828688175963056,NA,empirical factor near 4x
ES-Mzn,ICOS,EUF,2128.8712666666665,424,512,NA,0,5.020922798742138,4.157951692708333,NA,empirical factor near 4x
ES-Srn,ICOS,EUF,2009.6956666666667,421,476,NA,0,4.7736239113222485,4.222049719887956,NA,empirical factor near 4x
ES-TzM,ICOS,EUF,1359.1763666666666,403,314,NA,0,3.372646071133168,4.328587154989384,NA,empirical factor near 4x
FI-Jok,ICOS,EUF,2532.4077333333335,612,627,NA,0,4.1379211328976035,4.038927804359384,NA,empirical factor near 4x
FI-Nsv,ICOS,EUF,2571.0564666666664,607,633,NA,0,4.235677869302581,4.061700579252237,NA,empirical factor near 4x
FI-Ruk,ICOS,EUF,2184.7618,518,553,NA,0,4.217686872586873,3.9507446654611216,NA,empirical factor near 4x
FI-Si2,ICOS,EUF,2563.5688,660,NA,NA,0,3.884195151515152,NA,NA,empirical factor near 4x
IE-Cra,ICOS,ICOS,3474.463133333333,1026,883,NA,0,3.386416309291748,3.934839335598338,NA,empirical factor near 4x
IE-Gwr,ICOS,EUF,3274.024,969,857.4,NA,0,3.378765737874097,3.8185491019360858,NA,empirical factor near 4x
IT-Arz,ICOS,EUF,3927.6580333333336,935,900,NA,0,4.200703778966132,4.364064481481482,NA,empirical factor near 4x
JP-BBY,ICOS,JPF,4008.198666666666,1154,1170,NA,0,3.473309069901791,3.425810826210826,NA,empirical factor near 4x
JP-Fmt,ICOS,JPF,5939.7142,1516,1643,NA,0,3.9180172823219,3.6151638466220337,NA,empirical factor near 4x
JP-Hc2,ICOS,JPF,4683.106866666667,1427,1037,NA,0,3.2817847699135716,4.516014336226294,NA,empirical factor near 4x
JP-Hc3,ICOS,JPF,4683.106866666667,1423,1037,NA,0,3.2910097446708835,4.516014336226294,NA,empirical factor near 4x
JP-Kzw,ICOS,JPF,5583.8523,1589,1198,NA,0,3.5140668974197604,4.660978547579298,NA,empirical factor near 4x
JP-MBF,ICOS,JPF,5175.140933333333,1174,NA,NA,0,4.408126859738784,NA,NA,empirical factor near 4x
JP-Mse,ICOS,JPF,5187.7739,1307,1200,NA,0,3.969222570772762,4.323144916666667,NA,empirical factor near 4x
JP-Nkm,ICOS,JPF,8195.526133333333,1951,NA,NA,0,4.200679719801811,NA,NA,empirical factor near 4x
JP-Om2,ICOS,JPF,5337.641,1372,1206.9,NA,0,3.89040889212828,4.422604192559449,NA,empirical factor near 4x
JP-Sb1,ICOS,JPF,4275.823066666667,1125,1073,NA,0,3.800731614814815,3.9849236408822617,NA,empirical factor near 4x
