site_id,TIMESTAMP,P_ERA_standalone,P_ERA_fluxmet_embedded,diff
IT-MBo,200301,27.567,27.567,0
IT-MBo,200302,7.613,7.613,0
IT-MBo,200303,8.954,8.954,0
IT-MBo,200304,55.863,55.863,0
IT-MBo,200305,49.78,49.78,0
IT-MBo,200306,51.041,51.041,0
IT-MBo,200307,70.864,70.864,0
IT-MBo,200308,53.356,53.356,0
IT-MBo,200309,22.041,22.041,0
IT-MBo,200310,87.893,87.893,0
IT-MBo,200311,123.911,123.911,0
IT-MBo,200312,61.821,61.821,0
IT-MBo,200401,17.559,17.559,0
IT-MBo,200402,72.431,72.431,0
IT-MBo,200403,51.119,51.119,0
IT-MBo,200404,53.333,53.333,0
IT-MBo,200405,82.9,82.9,0
IT-MBo,200406,84.137,84.137,0
IT-MBo,200407,67.2,67.2,0
IT-MBo,200408,54.993,54.993,0
IT-MBo,200409,39.011,39.011,0
IT-MBo,200410,99.503,99.503,0
IT-MBo,200411,86.429,86.429,0
IT-MBo,200412,35.811,35.811,0
IT-MBo,200501,4.616,4.616,0
IT-MBo,200502,11.679,11.679,0
IT-MBo,200503,25.276,25.276,0
IT-MBo,200504,78.999,78.999,0
IT-MBo,200505,62.079,62.079,0
IT-MBo,200506,54.253,54.253,0
IT-MBo,200507,78.725,78.725,0
IT-MBo,200508,103.647,103.647,0
IT-MBo,200509,61.533,61.533,0
IT-MBo,200510,77.366,77.366,0
IT-MBo,200511,51.407,51.407,0
IT-MBo,200512,38.623,38.623,0
IT-MBo,200601,30.449,30.449,0
IT-MBo,200602,52.416,52.416,0
IT-MBo,200603,38.091,38.091,0
IT-MBo,200604,57.954,57.954,0
IT-MBo,200605,69.982,69.982,0
IT-MBo,200606,22.972,22.972,0
IT-MBo,200607,26.292,26.292,0
IT-MBo,200608,89.605,89.605,0
IT-MBo,200609,65.45,65.45,0
IT-MBo,200610,42.812,42.812,0
IT-MBo,200611,9.519,9.519,0
IT-MBo,200612,41.33,41.33,0
IT-MBo,200701,34.517,34.517,0
IT-MBo,200702,18.235,18.235,0
IT-MBo,200703,54.859,54.859,0
IT-MBo,200704,33.73,33.73,0
IT-MBo,200705,90.228,90.228,0
IT-MBo,200706,69.32,69.32,0
IT-MBo,200707,82.014,82.014,0
IT-MBo,200708,92.325,92.325,0
IT-MBo,200709,65.281,65.281,0
IT-MBo,200710,32.555,32.555,0
IT-MBo,200711,61.641,61.641,0
IT-MBo,200712,7.151,7.151,0
IT-MBo,200801,64.472,64.472,0
IT-MBo,200802,24.253,24.253,0
IT-MBo,200803,48.709,48.709,0
IT-MBo,200804,100.361,100.361,0
IT-MBo,200805,83.675,83.675,0
IT-MBo,200806,82.48,82.48,0
IT-MBo,200807,96.693,96.693,0
IT-MBo,200808,63.918,63.918,0
IT-MBo,200809,79.858,79.858,0
IT-MBo,200810,92.72,92.72,0
IT-MBo,200811,135.033,135.033,0
IT-MBo,200812,111.272,111.272,0
IT-MBo,200901,42.388,42.388,0
IT-MBo,200902,67.814,67.814,0
IT-MBo,200903,77.382,77.382,0
IT-MBo,200904,95.449,95.449,0
IT-MBo,200905,26.144,26.144,0
IT-MBo,200906,78.483,78.483,0
IT-MBo,200907,71.714,71.714,0
IT-MBo,200908,54.905,54.905,0
IT-MBo,200909,63.801,63.801,0
IT-MBo,200910,35.769,35.769,0
IT-MBo,200911,98.432,98.432,0
IT-MBo,200912,78.271,78.271,0
IT-MBo,201001,32.653,32.653,0
IT-MBo,201002,62.456,62.456,0
IT-MBo,201003,57.385,57.385,0
IT-MBo,201004,66.185,66.185,0
IT-MBo,201005,97.671,97.671,0
IT-MBo,201006,114,114,0
IT-MBo,201007,38.609,38.609,0
IT-MBo,201008,99.234,99.234,0
IT-MBo,201009,117.566,117.566,0
IT-MBo,201010,103.562,103.562,0
IT-MBo,201011,149.59,149.59,0
IT-MBo,201012,79.96,79.96,0
IT-MBo,201101,14.499,14.499,0
IT-MBo,201102,52.185,52.185,0
IT-MBo,201103,52.356,52.356,0
IT-MBo,201104,25.476,25.476,0
IT-MBo,201105,61.395,61.395,0
IT-MBo,201106,98.355,98.355,0
IT-MBo,201107,82.803,82.803,0
IT-MBo,201108,66.805,66.805,0
IT-MBo,201109,115.131,115.131,0
IT-MBo,201110,62.388,62.388,0
IT-MBo,201111,55.846,55.846,0
IT-MBo,201112,18.45,18.45,0
IT-MBo,201201,13.584,13.584,0
IT-MBo,201202,15.142,15.142,0
IT-MBo,201203,19.928,19.928,0
IT-MBo,201204,98.446,98.446,0
IT-MBo,201205,78.72,78.72,0
IT-MBo,201206,82.284,82.284,0
IT-MBo,201207,108.977,108.977,0
IT-MBo,201208,65.58,65.58,0
IT-MBo,201209,87.292,87.292,0
IT-MBo,201210,88.668,88.668,0
IT-MBo,201211,136.31,136.31,0
IT-MBo,201212,22.884,22.884,0
IT-MBo,201301,39.426,39.426,0
IT-MBo,201302,55.464,55.464,0
IT-MBo,201303,94.656,94.656,0
IT-MBo,201304,119.545,119.545,0
IT-MBo,201305,155.538,155.538,0
IT-MBo,201306,66.586,66.586,0
IT-MBo,201307,43.244,43.244,0
IT-MBo,201308,61.486,61.486,0
IT-MBo,201309,47.962,47.962,0
IT-MBo,201310,113.028,113.028,0
IT-MBo,201311,86.5,86.5,0
IT-MBo,201312,75.337,75.337,0
IT-MBo,201401,127.902,127.902,0
IT-MBo,201402,140.538,140.538,0
IT-MBo,201403,49.129,49.129,0
IT-MBo,201404,57.475,57.475,0
IT-MBo,201405,46.189,46.189,0
IT-MBo,201406,74.652,74.652,0
IT-MBo,201407,113.158,113.158,0
IT-MBo,201408,115.189,115.189,0
IT-MBo,201409,37.463,37.463,0
IT-MBo,201410,44.01,44.01,0
IT-MBo,201411,181.36,181.36,0
IT-MBo,201412,49.678,49.678,0
IT-MBo,201501,44.121,44.121,0
IT-MBo,201502,60.043,60.043,0
IT-MBo,201503,42.931,42.931,0
IT-MBo,201504,32.77,32.77,0
IT-MBo,201505,87.809,87.809,0
IT-MBo,201506,66.654,66.654,0
IT-MBo,201507,62.613,62.613,0
IT-MBo,201508,50.54,50.54,0
IT-MBo,201509,79.981,79.981,0
IT-MBo,201510,91.629,91.629,0
IT-MBo,201511,10.117,10.117,0
IT-MBo,201512,0.515,0.515,0
IT-MBo,201601,30.213,30.213,0
IT-MBo,201602,118.228,118.228,0
IT-MBo,201603,57.993,57.993,0
IT-MBo,201604,68.303,68.303,0
IT-MBo,201605,112.462,112.462,0
IT-MBo,201606,85.091,85.091,0
IT-MBo,201607,75.034,75.034,0
IT-MBo,201608,62.977,62.977,0
IT-MBo,201609,24.763,24.763,0
IT-MBo,201610,85.397,85.397,0
IT-MBo,201611,56.038,56.038,0
IT-MBo,201612,0.716,0.716,0
IT-MBo,201701,6.733,6.733,0
IT-MBo,201702,53.843,53.843,0
IT-MBo,201703,33.064,33.064,0
IT-MBo,201704,92.303,92.303,0
IT-MBo,201705,54.986,54.986,0
IT-MBo,201706,104.131,104.131,0
IT-MBo,201707,88.664,88.664,0
