year,P_ERA_hh_annual_mm,P_F_hh_annual_mm,P_ERA_yy_bundled_mm,P_F_yy_bundled_mm
1981,1239.3299999999729,0,26329.712,NA
1982,1052.8239999999837,0,22368.414,NA
1983,969.8879999999809,0,20604.308,NA
1984,1044.8339999999791,0,22197.78,NA
1985,1157.2459999999717,0,24586.51,NA
1986,957.4919999999796,0,20343.961,NA
1987,1278.4999999999686,0,27161.411,NA
1988,975.0799999999768,0,20715.825,NA
1989,997.7579999999767,0,21198.003,NA
1990,1060.7919999999808,0,22537.723,NA
1991,1040.5379999999782,0,22108.332,NA
1992,1075.1479999999797,0,22842.354,NA
1993,1123.5539999999858,0,23869.645,NA
1994,1025.6319999999782,0,21790.202,NA
1995,887.2239999999707,0,18852.469,NA
1996,1145.5399999999759,0,24337.858,NA
1997,1027.0059999999821,0,21817.863,NA
1998,1054.6639999999766,0,22406.227,NA
1999,1185.1979999999703,0,25180.748,NA
2000,1372.1739999999818,0,29151.629,NA
2001,1093.0439999999792,0,23221.724,NA
2002,1408.4879999999712,0,29925.079,NA
2003,892.6779999999869,715.8910000000034,18966.127,2069.976
2004,1066.9739999999765,931.9520000000068,22669.441,947.222
2005,932.5099999999791,882.100000000008,19813.024,882.1
2006,783.1819999999767,732.4000000000059,16639.848,732.4
2007,923.1699999999876,1018.0000000000059,19612.9,1018
2008,1414.0199999999766,1419.8459999999998,30040.574,8239.988
2009,1128.1159999999743,1086.166000000005,23967.537,3298.179
2010,1456.837999999968,1263.9249999999959,30950.331,1426.445
2011,1008.9199999999818,821.6560000000006,21424.978,2201.313
2012,1172.863999999978,945.6390000000015,24917.685,1041.509
2013,1376.0919999999674,1241.9239999999845,29234.968,446824.488
2014,1476.3679999999542,1085.3990000000047,31366.467,1942.02
2015,901.4719999999854,1066.2540000000008,19151.748,1759.613
2016,1112.2199999999723,1356.2579999999891,23623.028,1535.758
2017,1127.8079999999832,673.648000000004,23958.593,755.604
2018,1109.125999999969,1056.7239999999772,23562.76,14518.302
2019,1409.5059999999792,1770.311,29946.774,2342.179
2020,1372.63799999997,1510.7609999999981,29160.734,1512.802
2021,1055.8719999999753,1055.8719999999753,22432.484,22432.484
2022,943.835999999981,966.203999999985,20052.265,18442.422
2023,1175.7319999999838,1574.3179999999973,24977.768,1817.297
2024,1497.2359999999717,1950.7739999999947,31808.952,2651.418
2025,1165.2359999999649,1388.541999999989,NA,NA
