TIMESTAMP,P_ERA_old,P_ERA_new_download,ratio
200301,27.567,1.298,21.238058551617872
200302,7.613,0.358,21.26536312849162
200303,8.954,0.421,21.268408551068887
200304,55.863,2.63,21.240684410646388
200305,49.78,2.343,21.246265471617583
200306,51.041,2.403,21.240532667498957
200307,70.864,3.336,21.24220623501199
200308,53.356,2.512,21.24044585987261
200309,22.041,1.038,21.234104046242773
200310,87.893,4.137,21.245588590766257
200311,123.911,5.833,21.243099605691754
200312,61.821,2.91,21.244329896907214
200401,17.559,0.827,21.232164449818622
200402,72.431,3.41,21.240762463343106
200403,51.119,2.406,21.246467165419784
200404,53.333,2.511,21.23974512146555
200405,82.9,3.902,21.245515120451053
200406,84.137,3.961,21.24135319363797
200407,67.2,3.163,21.245652861207716
200408,54.993,2.589,21.241019698725378
200409,39.011,1.836,21.24782135076253
200410,99.503,4.684,21.2431682322801
200411,86.429,4.068,21.246066863323502
200412,35.811,1.686,21.240213523131672
200501,4.616,0.217,21.27188940092166
200502,11.679,0.55,21.234545454545454
200503,25.276,1.19,21.24033613445378
200504,78.999,3.719,21.24200053777897
200505,62.079,2.922,21.245379876796715
200506,54.253,2.554,21.24236491777604
200507,78.725,3.706,21.2425796006476
200508,103.647,4.879,21.243492518958806
200509,61.533,2.897,21.24024853296514
200510,77.366,3.642,21.242723778143876
200511,51.407,2.42,21.242561983471074
200512,38.623,1.818,21.24477447744774
200601,30.449,1.433,21.248429867411026
200602,52.416,2.467,21.246858532630725
200603,38.091,1.793,21.244283324037927
200604,57.954,2.728,21.244134897360702
200605,69.982,3.294,21.24529447480267
200606,22.972,1.081,21.250693802035155
200607,26.292,1.238,21.237479806138936
200608,89.605,4.218,21.243480322427693
200609,65.45,3.081,21.24310288867251
200610,42.812,2.015,21.246650124069475
200611,9.519,0.448,21.247767857142858
200612,41.33,1.946,21.238437821171633
200701,34.517,1.625,21.24123076923077
200702,18.235,0.858,21.252913752913752
200703,54.859,2.582,21.246707978311388
200704,33.73,1.588,21.24055415617128
200705,90.228,4.247,21.245114198257593
200706,69.32,3.263,21.24425375421391
200707,82.014,3.861,21.24164724164724
200708,92.325,4.346,21.243672342383803
200709,65.281,3.073,21.24341034819395
200710,32.555,1.532,21.25
200711,61.641,2.902,21.240868366643692
200712,7.151,0.337,21.219584569732937
200801,64.472,3.035,21.24283360790774
200802,24.253,1.142,21.237302977232925
200803,48.709,2.293,21.242477104230264
200804,100.361,4.724,21.244919559695173
200805,83.675,3.939,21.242701193196243
200806,82.48,3.883,21.24130826680402
200807,96.693,4.552,21.24187170474517
200808,63.918,3.009,21.242273180458625
200809,79.858,3.759,21.24447991487098
200810,92.72,4.365,21.241695303550973
200811,135.033,6.356,21.24496538703587
200812,111.272,5.238,21.243222604047347
200901,42.388,1.995,21.247117794486215
200902,67.814,3.192,21.244987468671678
200903,77.382,3.643,21.24128465550371
200904,95.449,4.493,21.243935010015576
200905,26.144,1.231,21.238017871649063
200906,78.483,3.694,21.24607471575528
200907,71.714,3.376,21.24229857819905
200908,54.905,2.585,21.239845261121857
200909,63.801,3.003,21.245754245754245
200910,35.769,1.684,21.240498812351543
200911,98.432,4.633,21.24584502482193
200912,78.271,3.684,21.246199782844734
201001,32.653,1.537,21.24463240078074
201002,62.456,2.94,21.24353741496599
201003,57.385,2.701,21.245834875971862
201004,66.185,3.116,21.240372272143773
201005,97.671,4.598,21.242061765985213
201006,114,5.366,21.244875139768915
201007,38.609,1.817,21.248761695101816
201008,99.234,4.671,21.24470134874759
201009,117.566,5.534,21.244307914709072
201010,103.562,4.875,21.24348717948718
201011,149.59,7.042,21.242544731610337
201012,79.96,3.764,21.24335812964931
201101,14.499,0.682,21.259530791788855
201102,52.185,2.457,21.239316239316242
201103,52.356,2.465,21.239756592292093
201104,25.476,1.199,21.247706422018346
201105,61.395,2.89,21.2439446366782
201106,98.355,4.63,21.242980561555076
201107,82.803,3.898,21.242432016418675
201108,66.805,3.145,21.24165341812401
201109,115.131,5.42,21.24188191881919
201110,62.388,2.937,21.242083758937692
201111,55.846,2.629,21.24229745150247
201112,18.45,0.883,20.89467723669309
201201,13.584,0.639,21.258215962441312
201202,15.142,0.713,21.23702664796634
201203,19.928,0.938,21.2452025586354
201204,98.446,4.634,21.244281398359945
201205,78.72,3.706,21.24123043712898
201206,82.284,3.873,21.24554608830364
201207,108.977,5.13,21.24307992202729
201208,65.58,3.087,21.243926141885325
201209,87.292,4.109,21.24409832075931
201210,88.668,4.174,21.242932438907523
201211,136.31,6.417,21.2420134019012
201212,22.884,1.077,21.247910863509752
201301,39.426,1.856,21.242456896551722
201302,55.464,2.611,21.24243584833397
201303,94.656,4.456,21.242369838420107
201304,119.545,5.627,21.244890705526924
201305,155.538,7.322,21.242556678503142
201306,66.586,3.134,21.246330567964264
201307,43.244,2.036,21.239685658153242
201308,61.486,2.894,21.246026261230128
201309,47.962,2.258,21.240921169176264
201310,113.028,5.321,21.24187182860365
201311,86.5,4.072,21.242632612966602
201312,75.337,3.546,21.245628877608574
201401,127.902,6.021,21.24265072247135
201402,140.538,6.616,21.242140266021767
201403,49.129,2.313,21.24038045827929
201404,57.475,2.706,21.239837398373986
201405,46.189,2.174,21.246090156393745
201406,74.652,3.514,21.244166192373367
201407,113.158,5.327,21.242350290970528
201408,115.189,5.422,21.244743637034304
201409,37.463,1.763,21.249574588769146
201410,44.01,2.072,21.24034749034749
201411,181.36,8.537,21.243996720159306
201412,49.678,2.339,21.23899102180419
201501,44.121,2.077,21.24265767934521
201502,60.043,2.826,21.246638358103326
201503,42.931,2.021,21.24245423057892
201504,32.77,1.543,21.237848347375245
201505,87.809,4.133,21.245826276312606
201506,66.654,3.138,21.240917782026767
201507,62.613,2.947,21.246352222599253
201508,50.54,2.379,21.2442202606137
201509,79.981,3.765,21.24329349269588
201510,91.629,4.313,21.244841177834456
201511,10.117,0.476,21.25420168067227
201512,0.515,0.024,21.458333333333332
201601,30.213,1.422,21.246835443037977
201602,118.228,5.565,21.244923629829287
201603,57.993,2.73,21.242857142857144
201604,68.303,3.215,21.24510108864697
201605,112.462,5.294,21.24329429542879
201606,85.091,4.005,21.246192259675404
201607,75.034,3.532,21.2440543601359
201608,62.977,2.965,21.240134907251264
201609,24.763,1.166,21.237564322469986
201610,85.397,4.028,21.20084409136048
201611,56.038,2.638,21.242608036391204
201612,0.716,0.034,21.05882352941176
201701,6.733,0.317,21.2397476340694
201702,53.843,2.535,21.23984220907298
201703,33.064,1.556,21.249357326478147
201704,92.303,4.345,21.24349827387802
201705,54.986,2.588,21.246522411128282
201706,104.131,4.902,21.242554059567524
201707,88.664,4.174,21.24197412553905
201708,89.683,4.222,21.241828517290383
201709,112.335,5.288,21.243381240544625
201710,11.276,0.531,21.235404896421844
201711,63.957,3.011,21.241115908336102
201712,79.116,3.724,21.24489795918367
201801,31.858,1.5,21.238666666666667
201802,35.536,1.673,21.24088463837418
201803,88.021,4.143,21.24571566497707
201804,79.461,3.74,21.24625668449198
201805,76.205,3.587,21.24477279063284
201806,62.484,2.941,21.245834750085006
201807,71.335,3.358,21.243299583085168
201808,72.489,3.412,21.24531066822978
201809,28.523,1.343,21.238272524199555
201810,152.531,7.18,21.243871866295265
201811,65.556,3.086,21.24303305249514
201812,7.142,0.336,21.25595238095238
201901,9.436,0.444,21.25225225225225
201902,48.094,2.264,21.242932862190816
201903,26.24,1.235,21.246963562753034
201904,150.849,7.101,21.24334600760456
201905,114.461,5.388,21.243689680772086
201906,59.84,2.817,21.24245651402201
201907,74.095,3.488,21.24283256880734
201908,74.969,3.529,21.243695097761403
201909,50.632,2.383,21.247167436005036
201910,66.595,3.135,21.242424242424242
201911,260.838,12.278,21.24433946896889
201912,51.472,2.423,21.24308708212959
202001,7.748,0.365,21.227397260273975
202002,9.602,0.452,21.243362831858406
202003,91.396,4.302,21.245002324500234
202004,32.26,1.519,21.237656352863727
202005,80.142,3.773,21.240922342963156
202006,119.303,5.616,21.24341168091168
202007,70.481,3.318,21.2420132610006
202008,153.539,7.228,21.24225235196458
202009,66.127,3.113,21.242210086733053
202010,146.764,6.909,21.242437400492115
202011,5.962,0.281,21.217081850533805
202012,165.179,7.775,21.244887459807074
202101,70.421,3.315,21.243137254901963
202102,31.679,1.491,21.246814218645202
202103,8.876,0.418,21.23444976076555
202104,46.425,2.185,21.247139588100683
202105,105.616,4.972,21.242156074014478
202106,39.829,1.875,21.242133333333335
202107,137.32,6.464,21.243811881188115
202108,86.132,4.054,21.24617661568821
202109,40.759,1.919,21.23970818134445
202110,46.963,2.211,21.24061510628675
202111,101.971,4.8,21.243958333333335
202112,18.089,0.851,21.25616921269095
202201,10.661,0.502,21.237051792828684
202202,21.601,1.017,21.23992133726647
202203,14.419,0.679,21.23564064801178
202204,63.634,2.995,21.246744574290485
202205,80.942,3.81,21.244619422572175
202206,84.199,3.963,21.24627807216755
202207,61.553,2.897,21.24715222644115
202208,91.007,4.284,21.243464052287585
202209,64.446,3.034,21.241265655899802
202210,48.933,2.303,21.247503256621798
202211,66.145,3.114,21.24116891457932
202212,50.38,2.372,21.239460370994944
202301,38.554,1.815,21.241873278236916
202302,8.98,0.423,21.229314420803785
202303,30.868,1.453,21.244322092222983
