year,month,P_F_mm_monthly,P_F_QC_mm,P_F_hh_summed,n_hh
2012,1,0.481,1,14.899999999999995,1488
2012,2,0.145,1,4.2,1392
2012,3,0.613,1,19.000000000000007,1488
2012,4,5.063,1,151.89999999999972,1440
2012,5,2.429,1,75.30000000000004,1488
2012,6,2.718,0.897917,79.97499999999998,1440
2012,7,2.868,1,88.89999999999999,1488
2012,8,2.074,1,64.3,1488
2012,9,4.847,1,145.3999999999999,1440
2012,10,3.672,0.975134,107.99199999999988,1488
2012,11,8.518,0.9875,167.07199999999986,1440
2012,12,0.861,1,26.700000000000006,1488
2013,1,4017.367,1,57.518000000000015,1488
2013,2,1795.274,0.441964,73.0859999999999,1344
2013,3,94.656,0,138.13000000000005,1488
2013,4,2245.397,0.56875,168.8100000000001,1440
2013,5,2564.051,0.612231,226.95199999999994,1488
2013,6,4058.441,1,94.02800000000026,1440
2013,7,1.306,1,40.500000000000014,1488
2013,8,2.671,0.999328,82.79999999999997,1488
2013,9,1.803,1,54.10000000000006,1440
2013,10,4.745,1,147.09999999999988,1488
2013,11,2.547,1,76.39999999999996,1440
2013,12,2.661,1,82.49999999999996,1488
2014,1,5.961,1,184.79999999999964,1488
2014,2,6.4,1,179.1999999999999,1344
2014,3,29.599,0.403898,63.19199999999995,1488
2014,4,3.016,0.895139,89.25700000000003,1440
2014,5,0.962,0.997312,29.420000000000016,1488
2014,6,3.63,1,108.8999999999999,1440
2014,7,6.294,0.998656,195.09999999999985,1488
2014,8,3.855,1,119.49999999999991,1488
2014,9,1.258,0.997222,37.13000000000002,1440
2014,10,2.416,1,74.89999999999992,1488
2014,11,0.13,1,3.9,1440
2014,12,0.003,1,0.1,1488
