rank_by_abs_delta,target_class,delta_frac,direction,site_id,era5_twoletter,era5_class,beck_twoletter,beck_class
1,BW,-0.034571062740076826,moved_in_under_beck,AU-GWW,BS,BSh,BW,BWh
1,BW,-0.034571062740076826,moved_in_under_beck,CN-Dmn,Dw,Dwb,BW,BWk
1,BW,-0.034571062740076826,moved_in_under_beck,CN-Zha,Dw,Dwb,BW,BWk
1,BW,-0.034571062740076826,moved_in_under_beck,ES-Amo,BS,BSk,BW,BWh
1,BW,-0.034571062740076826,moved_in_under_beck,ML-Kem,Aw,Aw,BW,BWh
1,BW,-0.034571062740076826,moved_in_under_beck,US-ASH,Cs,Csa,BW,BWk
1,BW,-0.034571062740076826,moved_in_under_beck,US-ASM,Cs,Csa,BW,BWk
1,BW,-0.034571062740076826,moved_in_under_beck,US-PSH,Cs,Csa,BW,BWh
1,BW,-0.034571062740076826,moved_in_under_beck,US-UTJ,Ds,Dsa,BW,BWk
1,BW,-0.034571062740076826,moved_out_under_beck,AU-Cpr,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,AU-Lon,BW,BWh,BS,BSh
1,BW,-0.034571062740076826,moved_out_under_beck,AU-Lox,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,CA-TP2,BW,BWk,Df,Dfb
1,BW,-0.034571062740076826,moved_out_under_beck,CN-GuT,BW,BWk,ET,ET
1,BW,-0.034571062740076826,moved_out_under_beck,ES-HeB,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,ES-Hen,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,KE-Mkt,BW,BWh,Aw,Aw
1,BW,-0.034571062740076826,moved_out_under_beck,US-A37,BW,BWk,Cf,Cfa
1,BW,-0.034571062740076826,moved_out_under_beck,US-A39,BW,BWk,Cf,Cfa
1,BW,-0.034571062740076826,moved_out_under_beck,US-Akn,BW,BWk,Cf,Cfa
1,BW,-0.034571062740076826,moved_out_under_beck,US-CF1,BW,BWk,Ds,Dsb
1,BW,-0.034571062740076826,moved_out_under_beck,US-CF2,BW,BWk,Ds,Dsb
1,BW,-0.034571062740076826,moved_out_under_beck,US-CF3,BW,BWk,Ds,Dsb
1,BW,-0.034571062740076826,moved_out_under_beck,US-CF4,BW,BWk,Ds,Dsb
1,BW,-0.034571062740076826,moved_out_under_beck,US-CMW,BW,BWk,BS,BSh
1,BW,-0.034571062740076826,moved_out_under_beck,US-CdM,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-Cop,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-EKH,BW,BWk,Cs,Csb
1,BW,-0.034571062740076826,moved_out_under_beck,US-EKN,BW,BWk,Cs,Csb
1,BW,-0.034571062740076826,moved_out_under_beck,US-EKP,BW,BWk,Cs,Csb
1,BW,-0.034571062740076826,moved_out_under_beck,US-Jo1,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-KS3,BW,BWh,Cf,Cfa
1,BW,-0.034571062740076826,moved_out_under_beck,US-SRC,BW,BWh,BS,BSh
1,BW,-0.034571062740076826,moved_out_under_beck,US-Sag,BW,BWk,Df,Dfc
1,BW,-0.034571062740076826,moved_out_under_beck,US-Seg,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-Ses,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-TLR,BW,BWk,Cf,Cfa
1,BW,-0.034571062740076826,moved_out_under_beck,US-UTD,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-UTE,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-UTL,BW,BWk,BS,BSk
1,BW,-0.034571062740076826,moved_out_under_beck,US-UTV,BW,BWk,BS,BSk
