era5_twoletter,beck_twoletter,n_sites
Af,Af,11
Af,Am,3
Af,Aw,1
Af,BS,0
Af,BW,0
Af,Cf,0
Af,Cs,0
Af,Cw,0
Af,Df,0
Af,Ds,0
Af,Dw,0
Af,EF,0
Af,ET,0
Am,Af,0
Am,Am,4
Am,Aw,0
Am,BS,0
Am,BW,0
Am,Cf,0
Am,Cs,0
Am,Cw,0
Am,Df,0
Am,Ds,0
Am,Dw,0
Am,EF,0
Am,ET,0
Aw,Af,0
Aw,Am,5
Aw,Aw,15
Aw,BS,1
Aw,BW,1
Aw,Cf,0
Aw,Cs,0
Aw,Cw,0
Aw,Df,0
Aw,Ds,0
Aw,Dw,0
Aw,EF,0
Aw,ET,0
BS,Af,0
BS,Am,0
BS,Aw,3
BS,BS,28
BS,BW,2
BS,Cf,15
BS,Cs,11
BS,Cw,2
BS,Df,12
BS,Ds,2
BS,Dw,1
BS,EF,0
BS,ET,4
BW,Af,0
BW,Am,0
BW,Aw,1
BW,BS,20
BW,BW,15
BW,Cf,5
BW,Cs,3
BW,Cw,0
BW,Df,2
BW,Ds,4
BW,Dw,0
BW,EF,0
BW,ET,1
Cf,Af,0
Cf,Am,0
Cf,Aw,1
Cf,BS,1
Cf,BW,0
Cf,Cf,172
Cf,Cs,5
Cf,Cw,5
Cf,Df,12
Cf,Ds,0
Cf,Dw,0
Cf,EF,0
Cf,ET,0
Cs,Af,0
Cs,Am,0
Cs,Aw,0
Cs,BS,4
Cs,BW,3
Cs,Cf,1
Cs,Cs,57
Cs,Cw,0
Cs,Df,0
Cs,Ds,4
Cs,Dw,0
Cs,EF,0
Cs,ET,0
Cw,Af,0
Cw,Am,0
Cw,Aw,1
Cw,BS,2
Cw,BW,0
Cw,Cf,0
Cw,Cs,0
Cw,Cw,3
Cw,Df,0
Cw,Ds,0
Cw,Dw,0
Cw,EF,0
Cw,ET,0
Df,Af,0
Df,Am,0
Df,Aw,0
Df,BS,0
Df,BW,0
Df,Cf,4
Df,Cs,0
Df,Cw,0
Df,Df,230
Df,Ds,5
Df,Dw,6
Df,EF,0
Df,ET,0
Ds,Af,0
Ds,Am,0
Ds,Aw,0
Ds,BS,2
Ds,BW,1
Ds,Cf,0
Ds,Cs,2
Ds,Cw,0
Ds,Df,0
Ds,Ds,12
Ds,Dw,0
Ds,EF,0
Ds,ET,0
Dw,Af,0
Dw,Am,0
Dw,Aw,0
Dw,BS,5
Dw,BW,2
Dw,Cf,0
Dw,Cs,0
Dw,Cw,0
Dw,Df,0
Dw,Ds,0
Dw,Dw,21
Dw,EF,0
Dw,ET,0
EF,Af,0
EF,Am,0
EF,Aw,0
EF,BS,0
EF,BW,0
EF,Cf,0
EF,Cs,0
EF,Cw,0
EF,Df,0
EF,Ds,0
EF,Dw,0
EF,EF,0
EF,ET,0
ET,Af,0
ET,Am,0
ET,Aw,0
ET,BS,0
ET,BW,0
ET,Cf,0
ET,Cs,0
ET,Cw,0
ET,Df,4
ET,Ds,0
ET,Dw,1
ET,EF,0
ET,ET,17
