variant,aggregation_level,class,p_global,q_network,sampling_ratio
a_era5_as_built,class30,Af,0.04612657874954013,0.019206145966709345,0.41637915681966386
a_era5_as_built,class30,Am,0.03298668926209418,0.005121638924455826,0.15526380606923254
a_era5_as_built,class30,Aw,0.1210030649189778,0.028169014084507043,0.23279587259519977
a_era5_as_built,class30,BSh,0.05830562412859746,0.026888604353393086,0.46116656420808116
a_era5_as_built,class30,BSk,0.05041070364543615,0.07554417413572344,1.4985740859136512
a_era5_as_built,class30,BWh,0.14620642100547618,0.011523687580025609,0.07881793084582782
a_era5_as_built,class30,BWk,0.03543556644745455,0.05377720870678617,1.517605448371467
a_era5_as_built,class30,Cfa,0.04267870468352799,0.1088348271446863,2.5500967742981087
a_era5_as_built,class30,Cfb,0.02082970317935899,0.1382842509603073,6.63880083981892
a_era5_as_built,class30,Cfc,8.31000243781228e-4,0.0038412291933418692,4.622416445828534
a_era5_as_built,class30,Csa,0.01139220980109563,0.0499359795134443,4.383344441974882
a_era5_as_built,class30,Csb,0.00697676430898404,0.03841229193341869,5.505745963634582
a_era5_as_built,class30,Csc,3.939661789224786e-5,0,NA
a_era5_as_built,class30,Cwa,0.02769780737678938,0.0038412291933418692,0.13868351169778154
a_era5_as_built,class30,Cwb,0.01079224698270485,0.0038412291933418692,0.3559248782480278
a_era5_as_built,class30,Cwc,5.115355534192965e-5,0,NA
a_era5_as_built,class30,Dfa,0.01604046493340636,0.0499359795134443,3.1131254437298828
a_era5_as_built,class30,Dfb,0.06931665758174518,0.1702944942381562,2.4567614795524118
a_era5_as_built,class30,Dfc,0.1013831329648984,0.09218950064020487,0.9093179303516236
a_era5_as_built,class30,Dfd,8.265580301786514e-4,0.0012804097311139564,1.5490863125934546
a_era5_as_built,class30,Dsa,0.00258688069060192,0.0038412291933418692,1.484888424617714
a_era5_as_built,class30,Dsb,0.00566128988734217,0.01792573623559539,3.166369606982105
a_era5_as_built,class30,Dsc,0.01097071191273845,0,NA
a_era5_as_built,class30,Dsd,8.653320248108975e-5,0,NA
a_era5_as_built,class30,Dwa,0.00726593439230926,0.012804097311139564,1.762209320895088
a_era5_as_built,class30,Dwb,0.01164994979474445,0.012804097311139564,1.0990688832767137
a_era5_as_built,class30,Dwc,0.01875287052838056,0.010243277848911651,0.5462245277814665
a_era5_as_built,class30,Dwd,0.00168163454220475,0,NA
a_era5_as_built,class30,EF,0.09560035422272174,0,NA
a_era5_as_built,class30,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
b_beck_consistent,class30,Af,0.04612657874954013,0.015364916773367477,0.3331033254557311
b_beck_consistent,class30,Am,0.03298668926209418,0.015364916773367477,0.4657914182076976
b_beck_consistent,class30,Aw,0.1210030649189778,0.03201024327784891,0.264540764312727
b_beck_consistent,class30,BSh,0.05830562412859746,0.029449423815621,0.5050871893707556
b_beck_consistent,class30,BSk,0.05041070364543615,0.05121638924455826,1.0159824311278989
b_beck_consistent,class30,BWh,0.14620642100547618,0.014084507042253521,0.0963330265893451
b_beck_consistent,class30,BWk,0.03543556644745455,0.016645326504481434,0.46973501973402554
b_beck_consistent,class30,Cfa,0.04267870468352799,0.14852752880921896,3.4801320684538894
b_beck_consistent,class30,Cfb,0.02082970317935899,0.11907810499359796,5.716745167621848
b_beck_consistent,class30,Cfc,8.31000243781228e-4,0,NA
b_beck_consistent,class30,Csa,0.01139220980109563,0.07298335467349552,6.406426492117135
b_beck_consistent,class30,Csb,0.00697676430898404,0.026888604353393086,3.8540221745442076
b_beck_consistent,class30,Csc,3.939661789224786e-5,0,NA
b_beck_consistent,class30,Cwa,0.02769780737678938,0.006402048655569782,0.23113918616296922
b_beck_consistent,class30,Cwb,0.01079224698270485,0.006402048655569782,0.5932081304133797
b_beck_consistent,class30,Cwc,5.115355534192965e-5,0,NA
b_beck_consistent,class30,Dfa,0.01604046493340636,0.07298335467349552,4.549952571605214
b_beck_consistent,class30,Dfb,0.06931665758174518,0.17541613316261204,2.5306490428472213
b_beck_consistent,class30,Dfc,0.1013831329648984,0.09090909090909091,0.8966885146522954
b_beck_consistent,class30,Dfd,8.265580301786514e-4,0.005121638924455826,6.196345250373819
b_beck_consistent,class30,Dsa,0.00258688069060192,0.002560819462227913,0.9899256164118094
b_beck_consistent,class30,Dsb,0.00566128988734217,0.02560819462227913,4.523385152831578
b_beck_consistent,class30,Dsc,0.01097071191273845,0.0076824583866837385,0.7002698136447633
b_beck_consistent,class30,Dsd,8.653320248108975e-5,0,NA
b_beck_consistent,class30,Dwa,0.00726593439230926,0.014084507042253521,1.938430252984597
