scheme,half_width,bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
2_signed_anchored_hw10,10,1, -Inf–-27.4,-Inf,-27.4,16824473.163527135,0.10300804100547932
2_signed_anchored_hw10,10,2,-27.4–-16.8,-27.4,-16.8,16745745.930618456,0.10252603256712386
2_signed_anchored_hw10,10,3,-16.8–-10.0,-16.8,-10,17017092.842341688,0.10418735732527974
2_signed_anchored_hw10,10,4,-10.0– 10.0,-10,10,102117871.5430515,0.6252179070963367
2_signed_anchored_hw10,10,5, 10.0– 20.6,10,20.6,3533457.429926165,0.021633635971555452
2_signed_anchored_hw10,10,6, 20.6– 44.8,20.6,44.8,3550494.4201548584,0.021737945150870002
2_signed_anchored_hw10,10,7, 44.8–  Inf,44.8,Inf,3542513.3387806434,0.021689080883354903
2_signed_anchored_hw25,25,1, -Inf–-42.2,-Inf,-42.2,6544628.242649132,0.040069565794531484
2_signed_anchored_hw25,25,2,-42.2–-31.2,-42.2,-31.2,6452171.968124559,0.039503501132365115
2_signed_anchored_hw25,25,3,-31.2–-25.0,-31.2,-25,6675747.885623993,0.040872347398977514
2_signed_anchored_hw25,25,4,-25.0– 25.0,-25,25,137546379.14124605,0.8421293745737374
2_signed_anchored_hw25,25,5, 25.0– 40.1,25,40.1,2026091.4303726456,0.012404769356645879
2_signed_anchored_hw25,25,6, 40.1– 63.1,40.1,63.1,2043573.5698110128,0.012511803967395792
2_signed_anchored_hw25,25,7, 63.1–  Inf,63.1,Inf,2043056.4306069948,0.012508637776346879
2_signed_anchored_hw50,50,1, -Inf–-65.4,-Inf,-65.4,1303629.073721271,0.007981484815399103
2_signed_anchored_hw50,50,2,-65.4–-56.2,-65.4,-56.2,1320253.4943198669,0.008083268032149354
2_signed_anchored_hw50,50,3,-56.2–-50.0,-56.2,-50,1312241.0272107692,0.008034211605091775
2_signed_anchored_hw50,50,4,-50.0– 50.0,-50,50,156337391.49741876,0.9571775756380114
2_signed_anchored_hw50,50,5, 50.0– 63.1,50,63.1,1015077.145164349,0.006214822133002055
2_signed_anchored_hw50,50,6, 63.1– 88.0,63.1,88,1018073.7633180042,0.006233168963993385
2_signed_anchored_hw50,50,7, 88.0–  Inf,88,Inf,1024982.6672890004,0.00627546881235297
