version,scheme,network,n_sites,weighted_jaccard,outer_two_bin_share
geo_vs_geo,2_signed_anchored_hw10,marconi,35,0.516472687210831,0.17142857142857143
geo_vs_geo,2_signed_anchored_hw10,la_thuile,252,0.5228877362600719,0.2142857142857143
geo_vs_geo,2_signed_anchored_hw10,fluxnet2015,212,0.5742239735826031,0.2028301886792453
geo_vs_geo,2_signed_anchored_hw10,current_781,781,0.5920782386689094,0.21638924455825864
geo_vs_data,2_signed_anchored_hw10,current_781,781,0.13940255550682276,0.7157490396927018
geo_vs_data,2_signed_anchored_hw10,fluxnet2015,212,0.1477617400165276,0.7028301886792453
geo_vs_geo,2_signed_anchored_hw25,marconi,35,0.7594831523888768,0.05714285714285714
geo_vs_geo,2_signed_anchored_hw25,la_thuile,252,0.7523164388655039,0.04365079365079365
geo_vs_geo,2_signed_anchored_hw25,fluxnet2015,212,0.8122731230586183,0.04245283018867924
geo_vs_geo,2_signed_anchored_hw25,current_781,781,0.8017558046404804,0.0768245838668374
geo_vs_data,2_signed_anchored_hw25,current_781,781,0.12062178395268804,0.647887323943662
geo_vs_data,2_signed_anchored_hw25,fluxnet2015,212,0.11239564998185754,0.6745283018867925
geo_vs_geo,2_signed_anchored_hw50,marconi,35,0.9178720684143556,0
geo_vs_geo,2_signed_anchored_hw50,la_thuile,252,0.9475156063848843,0.003968253968253968
geo_vs_geo,2_signed_anchored_hw50,fluxnet2015,212,0.9265865650191496,0
geo_vs_geo,2_signed_anchored_hw50,current_781,781,0.953857165241056,0
geo_vs_data,2_signed_anchored_hw50,current_781,781,0.12475456492791497,0.5915492957746479
geo_vs_data,2_signed_anchored_hw50,fluxnet2015,212,0.10679942689590448,0.6320754716981133
