class,n,network_frac,version,scheme,network
1,6,0.17142857142857143,geo_vs_geo,2_signed_anchored_hw10,marconi
2,9,0.2571428571428571,geo_vs_geo,2_signed_anchored_hw10,marconi
3,7,0.2,geo_vs_geo,2_signed_anchored_hw10,marconi
4,13,0.37142857142857144,geo_vs_geo,2_signed_anchored_hw10,marconi
5,0,0,geo_vs_geo,2_signed_anchored_hw10,marconi
6,0,0,geo_vs_geo,2_signed_anchored_hw10,marconi
7,0,0,geo_vs_geo,2_signed_anchored_hw10,marconi
1,53,0.21031746031746032,geo_vs_geo,2_signed_anchored_hw10,la_thuile
2,52,0.20634920634920634,geo_vs_geo,2_signed_anchored_hw10,la_thuile
3,52,0.20634920634920634,geo_vs_geo,2_signed_anchored_hw10,la_thuile
4,89,0.3531746031746032,geo_vs_geo,2_signed_anchored_hw10,la_thuile
5,0,0,geo_vs_geo,2_signed_anchored_hw10,la_thuile
6,5,0.01984126984126984,geo_vs_geo,2_signed_anchored_hw10,la_thuile
7,1,0.003968253968253968,geo_vs_geo,2_signed_anchored_hw10,la_thuile
1,41,0.19339622641509435,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
2,37,0.17452830188679244,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
3,45,0.21226415094339623,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
4,86,0.4056603773584906,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
5,0,0,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
6,1,0.0047169811320754715,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
7,2,0.009433962264150943,geo_vs_geo,2_signed_anchored_hw10,fluxnet2015
1,164,0.20998719590268886,geo_vs_geo,2_signed_anchored_hw10,current_781
2,136,0.17413572343149808,geo_vs_geo,2_signed_anchored_hw10,current_781
3,142,0.18181818181818182,geo_vs_geo,2_signed_anchored_hw10,current_781
4,319,0.4084507042253521,geo_vs_geo,2_signed_anchored_hw10,current_781
5,9,0.011523687580025609,geo_vs_geo,2_signed_anchored_hw10,current_781
6,6,0.0076824583866837385,geo_vs_geo,2_signed_anchored_hw10,current_781
7,5,0.006402048655569782,geo_vs_geo,2_signed_anchored_hw10,current_781
1,460,0.58898847631242,geo_vs_data,2_signed_anchored_hw10,current_781
2,15,0.019206145966709345,geo_vs_data,2_signed_anchored_hw10,current_781
3,12,0.015364916773367477,geo_vs_data,2_signed_anchored_hw10,current_781
4,19,0.024327784891165175,geo_vs_data,2_signed_anchored_hw10,current_781
5,13,0.016645326504481434,geo_vs_data,2_signed_anchored_hw10,current_781
6,18,0.023047375160051217,geo_vs_data,2_signed_anchored_hw10,current_781
7,99,0.1267605633802817,geo_vs_data,2_signed_anchored_hw10,current_781
1,128,0.6037735849056604,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
2,3,0.014150943396226415,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
3,0,0,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
4,13,0.06132075471698113,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
5,4,0.018867924528301886,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
6,3,0.014150943396226415,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
7,21,0.09905660377358491,geo_vs_data,2_signed_anchored_hw10,fluxnet2015
1,2,0.05714285714285714,geo_vs_geo,2_signed_anchored_hw25,marconi
2,2,0.05714285714285714,geo_vs_geo,2_signed_anchored_hw25,marconi
3,5,0.14285714285714285,geo_vs_geo,2_signed_anchored_hw25,marconi
4,26,0.7428571428571429,geo_vs_geo,2_signed_anchored_hw25,marconi
5,0,0,geo_vs_geo,2_signed_anchored_hw25,marconi
6,0,0,geo_vs_geo,2_signed_anchored_hw25,marconi
7,0,0,geo_vs_geo,2_signed_anchored_hw25,marconi
1,10,0.03968253968253968,geo_vs_geo,2_signed_anchored_hw25,la_thuile
2,25,0.0992063492063492,geo_vs_geo,2_signed_anchored_hw25,la_thuile
3,29,0.11507936507936507,geo_vs_geo,2_signed_anchored_hw25,la_thuile
4,182,0.7222222222222222,geo_vs_geo,2_signed_anchored_hw25,la_thuile
5,5,0.01984126984126984,geo_vs_geo,2_signed_anchored_hw25,la_thuile
6,0,0,geo_vs_geo,2_signed_anchored_hw25,la_thuile
7,1,0.003968253968253968,geo_vs_geo,2_signed_anchored_hw25,la_thuile
1,8,0.03773584905660377,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
2,24,0.11320754716981132,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
3,15,0.07075471698113207,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
4,162,0.7641509433962265,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
5,1,0.0047169811320754715,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
6,1,0.0047169811320754715,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
7,1,0.0047169811320754715,geo_vs_geo,2_signed_anchored_hw25,fluxnet2015
1,57,0.07298335467349552,geo_vs_geo,2_signed_anchored_hw25,current_781
2,72,0.09218950064020487,geo_vs_geo,2_signed_anchored_hw25,current_781
3,51,0.06530089628681178,geo_vs_geo,2_signed_anchored_hw25,current_781
4,591,0.7567221510883483,geo_vs_geo,2_signed_anchored_hw25,current_781
5,5,0.006402048655569782,geo_vs_geo,2_signed_anchored_hw25,current_781
6,2,0.002560819462227913,geo_vs_geo,2_signed_anchored_hw25,current_781
7,3,0.0038412291933418692,geo_vs_geo,2_signed_anchored_hw25,current_781
1,428,0.5480153649167734,geo_vs_data,2_signed_anchored_hw25,current_781
2,20,0.02560819462227913,geo_vs_data,2_signed_anchored_hw25,current_781
3,16,0.020486555697823303,geo_vs_data,2_signed_anchored_hw25,current_781
4,56,0.07170294494238157,geo_vs_data,2_signed_anchored_hw25,current_781
5,13,0.016645326504481434,geo_vs_data,2_signed_anchored_hw25,current_781
6,25,0.03201024327784891,geo_vs_data,2_signed_anchored_hw25,current_781
7,78,0.0998719590268886,geo_vs_data,2_signed_anchored_hw25,current_781
1,124,0.5849056603773585,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
2,4,0.018867924528301886,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
3,0,0,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
4,20,0.09433962264150944,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
5,1,0.0047169811320754715,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
6,4,0.018867924528301886,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
7,19,0.08962264150943396,geo_vs_data,2_signed_anchored_hw25,fluxnet2015
1,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
2,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
3,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
4,35,1,geo_vs_geo,2_signed_anchored_hw50,marconi
5,0,0,geo_vs_geo,2_signed_anchored_hw50,marconi
