model,variable,present,nlyr,varname,longname,units,cadence,file
CABLE-POP,gpp,TRUE,3900,gpp,Gross Primary Production,kg m-2 s-1,monthly,CABLE-POP_S3_gpp.nc
CABLE-POP,ra,TRUE,3900,ra,Autotrophic (Plant) Respiration,kg m-2 s-1,monthly,CABLE-POP_S3_ra.nc
CABLE-POP,rh,TRUE,3900,rh,Heterotrophic Respiration,kg m-2 s-1,monthly,CABLE-POP_S3_rh.nc
CABLE-POP,nbp,TRUE,3900,nbp,Net Biospheric Production,kg m-2 s-1,monthly,CABLE-POP_S3_nbp.nc
CABLE-POP,evapotrans,TRUE,3900,evapotrans,Total Evapo-Transpiration,kg m-2 s-1,monthly,CABLE-POP_S3_evapotrans.nc
CARDAMOM,gpp,TRUE,1850,gpp,Gross Primary Productivity - Median estimate,kg.m-2.s-1,unknown,CARDAMOM_S3_gpp.nc
CARDAMOM,ra,TRUE,1850,ra,Autotrophic (Plant) Respiration - Median estimate,kg.m-2.s-1,unknown,CARDAMOM_S3_ra.nc
CARDAMOM,rh,TRUE,1850,rh,Heterotrophic Respiration - Median estimate,kg.m-2.s-1,unknown,CARDAMOM_S3_rh.nc
CARDAMOM,nbp,TRUE,1850,nbp,Net Biome Productivity (-NEE - Fire - fLuc) - Median estimate,kg.m-2.s-1,unknown,CARDAMOM_S3_nbp.nc
CARDAMOM,evapotrans,TRUE,1850,evapotrans,Evapotranspiration - Median estimate,kg.m-2.s-1,unknown,CARDAMOM_S3_evapotrans.nc
CLASSIC,gpp,TRUE,3888,gpp,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,kg m$^{-2}$ s$^{-1}$,monthly,CLASSIC_S3_gpp.nc
CLASSIC,ra,TRUE,3888,ra,Autotrophic Respiration from All Vegetation Pools,kg m$^{-2}$ s$^{-1}$,monthly,CLASSIC_S3_ra.nc
CLASSIC,rh,TRUE,3888,rh,Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers),kg m$^{-2}$ s$^{-1}$,monthly,CLASSIC_S3_rh.nc
CLASSIC,nbp,TRUE,3888,nbp,"This is the net mass flux of carbon from atmosphere into land, calculated as photosynthesis MINUS the sum of plant and soil    respiration, carbon fluxes from fire, harvest, grazing and land use    change. Positive flux is into the land.",kg m$^{-2}$ s$^{-1}$,monthly,CLASSIC_S3_nbp.nc
CLASSIC,evapotrans,TRUE,3888,evapotrans,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),kg m$^{-2}$ s$^{-1}$,monthly,CLASSIC_S3_evapotrans.nc
