site_id,flux,location_lat,location_long,tower_value,model_value,n_tower_years,tower_carbon_src,tower_partition,n_models
AR-CCa,NEE,-35.621,-61.3181,-292.76136173952,-64.75272734036622,7,VUT,NA,17
AR-CCg,NEE,-35.9244,-61.1855,-165.74890628159997,-67.64989004749674,7,VUT,NA,17
AR-TF1,NEE,-54.9733,-66.7335,-91.28409343487999,-13.899706477394886,3,VUT,NA,17
AR-TF2,NEE,-54.8269,-68.4549,-14.410477445759994,-11.94222576002187,2,VUT,NA,17
AT-Mmg,NEE,47.316563,10.970089,-181.93674695040002,-51.223793993000754,4,VUT,NA,17
AT-Neu,NEE,47.116318,11.320229,522.2333910507671,-41.20907592520348,19,VUT,NA,17
AT-Nsd,NEE,47.76914,16.758492,191.34891599327997,-88.20646850775029,5,VUT,NA,17
AT-PsM,NEE,47.58145,14.347197,80.04704132448,-79.97299305899332,5,VUT,NA,17
AT-Zoe,NEE,47.842247,14.444137,-475.7669366243657,-79.15946686172424,10,VUT,NA,17
AU-ASM,NEE,-22.283,133.249,-132.30474530639316,-4.4769110042754505,16,VUT,NA,17
AU-Ade,NEE,-13.0769,131.1178,-441.5343665414399,-82.70159246580852,3,VUT,NA,17
AU-Boy,NEE,-32.477093000000004,116.938559,-388.3410614882263,-27.569862405691765,9,VUT,NA,17
AU-Col,NEE,-33.42,116.237,-214.89179973119997,-47.883098622324496,3,VUT,NA,17
AU-Cow,NEE,-16.238189,145.42715,-703.4651947127156,-76.78774712921881,17,VUT,NA,17
AU-Cpr,NEE,-34.0027,140.5877,-199.82492987841272,-6.85364395752066,16,VUT,NA,17
AU-Ctr,NEE,-16.103219,145.446922,90.68298369490287,-86.8849619442176,9,VUT,NA,17
AU-Cum,NEE,-33.615278000000004,150.723611,-367.5981987468916,-67.59963335788939,12,VUT,NA,17
AU-DaP,NEE,-14.0633,131.3181,-201.14830414079998,-44.86513485607702,6,VUT,NA,17
AU-DaS,NEE,-14.1592,131.3881,-380.31271943842006,-44.81295851506172,18,VUT,NA,17
AU-Dry,NEE,-15.2588,132.3706,-409.44963746607294,-82.75904884009935,16,VUT,NA,17
AU-Emr,NEE,-23.85872,148.4746,73.85074584191999,-29.316464096987573,3,VUT,NA,17
AU-Fle,NEE,-19.887285,146.189138,-477.5659787232,-42.06292693972273,4,VUT,NA,17
AU-Fog,NEE,-12.5452,131.3072,-490.2394608230399,-88.49315819526737,3,VUT,NA,17
AU-GWW,NEE,-30.1914,120.65417,-240.69150997681945,-17.09810230048862,13,VUT,NA,17
AU-Gin,NEE,-31.376351,115.71377,-431.3495547610977,-32.71500608509348,15,VUT,NA,17
AU-How,NEE,-12.4952,131.15005,-761.5323518266719,-91.31401026661933,24,VUT,NA,17
AU-Lit,NEE,-13.17904,130.79455,-437.11410173472007,-69.63866496694709,11,VUT,NA,17
AU-Lon,NEE,-23.52327,144.31042,-132.77238837984,-2.3087308309970602,7,VUT,NA,17
AU-MvA,NEE,-30.543,150.02,108.04829272704,-67.71412104895023,2,VUT,NA,17
AU-Otw,NEE,-38.525,142.81,-274.77785205503994,-66.32413374176053,4,VUT,NA,17
AU-RDF,NEE,-14.563639,132.477567,321.0642614016,-76.7599795873673,3,VUT,NA,17
AU-Rgf,NEE,-32.506102,116.966827,-57.51503455762284,-26.779298548343036,10,VUT,NA,17
AU-Rig,NEE,-36.6499,145.5759,-139.08795810706286,-61.77398890713721,7,VUT,NA,17
AU-Rob,NEE,-17.11746943,145.6301375,-1047.0528517862667,-62.2879246863622,13,VUT,NA,17
AU-Sam,NEE,-27.38806,152.87778,-145.70635772952,-40.18204654337205,8,VUT,NA,17
AU-Sil,NEE,-42.090556,147.0875,-28.913014768896016,-51.155442410247815,5,VUT,NA,17
AU-Stp,NEE,-17.1507,133.3502,-84.3784323066277,-31.725606129188236,18,VUT,NA,17
AU-TTE,NEE,-22.287,133.64,15.274030893654855,-4.369926309977359,11,CUT,NA,17
AU-Tum,NEE,-35.6566,148.1516,-761.8220672899398,-70.1359235920072,20,CUT,NA,17
AU-Wac,NEE,-37.4259,145.1878,-1772.472951936,-52.07478048657936,4,VUT,NA,17
AU-Wel,NEE,-32.5727,148.9843,-232.61595344639994,-62.707140166398744,2,VUT,NA,17
AU-Whr,NEE,-36.6732,145.0294,-404.1430603632,-47.59337345985534,12,VUT,NA,17
AU-Wom,NEE,-37.422506,144.094046,-1258.578905888216,-63.99443699026415,14,VUT,NA,17
AU-Wrr,NEE,-43.09502,146.65452,-99.90387431374633,-68.36138680179556,9,VUT,NA,17
AU-Ya1,NEE,-33.613469,150.734864,11.991229009919998,-67.19380987258387,3,VUT,NA,17
AU-Ya2,NEE,-33.620812,150.763284,-32.568031169280005,-66.15974207414001,3,VUT,NA,17
AU-Ync,NEE,-34.9878,146.2908,-133.775185810176,-34.36525981371068,13,VUT,NA,17
BE-Bra,NEE,51.30761,4.51984,-151.95352303091784,-69.55808177691836,24,VUT,NA,17
BE-Dor,NEE,50.311874,4.968113,-77.14650561768474,-57.62332887213279,14,VUT,NA,17
BE-Lcr,NEE,51.11218,3.85043,-342.5592650976,-74.99910774996863,4,VUT,NA,17
BE-Lon,NEE,50.55162,4.746234,-361.1485691927115,-43.44067168283527,21,VUT,NA,17
BE-Maa,NEE,50.97987,5.631851,6.4916828536320175,-49.76866791803877,10,VUT,NA,17
BE-Vie,NEE,50.304962,5.998099,-488.02508675397326,-95.04549206427669,30,VUT,NA,17
BJ-Bfg,NEE,9.791,1.718,-788.7604218669258,-74.07941033676752,10,VUT,NA,17
BJ-Db1,NEE,6.607338,2.543043,-1173.132596448,-62.43501308214468,3,VUT,NA,17
BJ-Nhu,NEE,9.74,1.6,-164.02349056780804,-72.06832287450493,10,VUT,NA,17
BR-ITA,NEE,-23.0604,-48.6467,-141.0121835712,-30.309135527883882,5,VUT,NA,17
BR-Ji3,NEE,-10.1866,-61.8725,-1478.4545528639999,-46.54820016800181,7,VUT,NA,17
BR-Ma2,NEE,-2.6091,-60.2093,-473.63639727961515,-62.797294307434186,17,VUT,NA,17
BR-Ma3,NEE,-2.3907,-59.8835,-920.9942506458514,-55.92620240751603,10,VUT,NA,17
BR-Npw,NEE,-16.498,-56.412,-417.31852484160004,-53.01761747755563,4,VUT,NA,17
BR-Sa1,NEE,-2.8567,-54.9589,353.1411497046857,-71.88328984902273,8,VUT,NA,17
