model,global_land_mean_residual_gC_m2_yr,global_land_median_residual_gC_m2_yr,pos_frac_gpp,pos_frac_ra,pos_frac_rh
CABLE-POP,-17.630214396993495,-1.6342234651247658,1,1,1
CLASSIC,-22.534595887597764,-5.059643270385763,1,1,1
CLM,-41.082710106951346,-1.7799381802168988,1,1,1
DLEM,-23.241157199100105,-1.896166891853019,1,1,1
ED,-8.178299026847778,-0.19951057111223572,1,1,1
ELM,-24.91995600366156,-1.413288579384485,1,1,1
ELM-FATES,-30.07763168369012,-9.173269997040428,1,1,1
IBIS,-25.11560052424717,-5.919699600835589,1,1,1
ISAM,-15.782625321703168,-1.6930836419264708,0.9999830858225365,0.9999830775218723,1
JULES-ES,-50.30023417201187,-25.89404088755449,0.9999188654139487,1,1
LPJ-GUESS,-79.04278517065553,-65.81279501020907,1,0.999155005745961,1
LPJml,-37.916632107294056,-15.734930120905378,1,1,1
LPJwsl,-29.07933610321515,-15.74910117785128,1,1,0.9990717326590058
LPX-Bern,-25.002755427802015,-14.603266358375523,1,1,1
ORCHIDEE,-29.324787954231983,-3.1762269973754584,1,1,1
TEM,-46.459989496293346,-4.282672047615023,1,1,1
VISIT-UT,-35.95116692480662,-15.978468831380132,1,1,1
