site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
AR-CCa,-292.76136173952,-294.45495020928,-270.2158333344,12.11955843744002,-35.621,-61.3181
AR-CCg,-165.74890628159997,-213.2129553696,-135.01768017023997,39.09763759968001,-35.9244,-61.1855
AR-TF1,-91.28409343487999,-96.43956856128,-86.15981829888,5.1398751312,-54.9733,-66.7335
AR-TF2,-14.410477445759994,-19.520061073920004,0.4696226346240042,9.994841854272003,-54.8269,-68.4549
AT-Mmg,-181.93674695040002,-271.1520023904,-96.51786021503997,87.31707108768002,47.316563,10.970089
AT-Neu,522.2333910507671,428.02330412938574,583.6441495749638,77.81042272278901,47.116318,11.320229
AT-Nsd,191.34891599327997,176.05918210464,202.57149587039999,13.256156882879992,47.76914,16.758492
AT-PsM,80.04704132448,56.608615337241595,104.26548718425597,23.82843592350719,47.58145,14.347197
AT-Zoe,-475.7669366243657,-519.0217637917988,-450.98067170122977,34.020546045284505,47.842247,14.444137
AU-ASM,-132.30474530639316,-137.17732396682493,-126.94123461753811,5.118044674643407,-22.283,133.249
AU-Ade,-441.5343665414399,-462.24643517567995,-418.17782224512,22.03430646527997,-13.0769,131.1178
AU-Boy,-388.3410614882263,-398.86298750283424,-371.97545221333024,13.443767644752,-32.477093000000004,116.938559
AU-Col,-214.89179973119997,-264.86846481023997,-143.595922801536,60.63627100435198,-33.42,116.237
AU-Cow,-703.4651947127156,-801.5689327174077,-646.3526302790426,77.60815121918256,-16.238189,145.42715
AU-Cpr,-199.82492987841272,-205.49296879417045,-195.3691380736204,5.061915360275023,-34.0027,140.5877
AU-Ctr,90.68298369490287,-41.27244926482284,188.42653947702854,114.8494943709257,-16.103219,145.446922
AU-Cum,-367.5981987468916,-393.4293586506589,-350.2889399835229,21.570209333568016,-33.615278000000004,150.723611
AU-DaP,-201.14830414079998,-231.84390639167992,-158.27814998207995,36.782878204799985,-14.0633,131.3181
AU-DaS,-380.31271943842006,-437.7153732348827,-343.21107292756835,47.25215015365717,-14.1592,131.3881
AU-Dry,-409.44963746607294,-436.20204748598735,-390.3429139437352,22.929566771126076,-15.2588,132.3706
AU-Emr,73.85074584191999,64.0933070976,79.73259722496,7.8196450636799995,-23.85872,148.4746
AU-Fle,-477.5659787232,-502.564715136,-454.6164387168,23.9741382096,-19.887285,146.189138
AU-Fog,-490.2394608230399,-504.39746120832,-469.26284421887993,17.567308494720038,-12.5452,131.3072
AU-GWW,-240.69150997681945,-249.42965654604888,-234.82824160903652,7.300707468506175,-30.1914,120.65417
AU-Gin,-431.3495547610977,-450.21700715637576,-413.8572586498008,18.179874253287466,-31.376351,115.71377
AU-How,-761.5323518266719,-805.641662941567,-725.0322875424966,40.30468769953518,-12.4952,131.15005
