variant,network,n_total,n_classified,bin,site_frac,global_frac,weighted_jaccard,outer_two_bin_share
geo_vs_geo_fixed_period,current_781,781,781,1,0.26248399487836105,0.17994109365648495,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,2,0.3546734955185659,0.17952019983343284,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,3,0.22279129321382843,0.18069290546876002,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,4,0.16005121638924455,0.45956057118941224,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,5,0,8.667271706255674e-5,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,6,0,8.680758314113279e-5,0.5387046719658011,0.26248399487836105
geo_vs_geo_fixed_period,current_781,781,781,7,0,1.117495517067162e-4,0.5387046719658011,0.26248399487836105
geo_vs_geo_tower_years,current_781,781,486,1,0.21254801536491677,0.17994109365648495,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,2,0.1856594110115237,0.17952019983343284,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,3,0.12163892445582586,0.18069290546876002,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,4,0.10243277848911651,0.45956057118941224,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,5,0,8.667271706255674e-5,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,6,0,8.680758314113279e-5,0.5617667088813197,0.21254801536491677
geo_vs_geo_tower_years,current_781,781,486,7,0,1.117495517067162e-4,0.5617667088813197,0.21254801536491677
geo_vs_data,current_781,781,559,1,0.45710627400768244,0.17994109365648495,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,2,0.028169014084507043,0.17952019983343284,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,3,0.03201024327784891,0.18069290546876002,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,4,0.07554417413572344,0.45956057118941224,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,5,0.014084507042253521,8.667271706255674e-5,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,6,0.02176696542893726,8.680758314113279e-5,0.22571075615122677,0.5441741357234315
geo_vs_data,current_781,781,559,7,0.08706786171574904,1.117495517067162e-4,0.22571075615122677,0.5441741357234315
geo_vs_geo_fixed_period,fluxnet2015,212,212,1,0.23113207547169812,0.17994109365648495,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,2,0.38207547169811323,0.17952019983343284,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,3,0.25471698113207547,0.18069290546876002,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,4,0.1320754716981132,0.45956057118941224,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,5,0,8.667271706255674e-5,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,6,0,8.680758314113279e-5,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,fluxnet2015,212,212,7,0,1.117495517067162e-4,0.5062846004318488,0.23113207547169812
geo_vs_geo_fixed_period,la_thuile,252,252,1,0.30158730158730157,0.17994109365648495,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,2,0.36507936507936506,0.17952019983343284,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,3,0.23015873015873015,0.18069290546876002,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,4,0.10317460317460317,0.45956057118941224,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,5,0,8.667271706255674e-5,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,6,0,8.680758314113279e-5,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,la_thuile,252,252,7,0,1.117495517067162e-4,0.4741965504573808,0.30158730158730157
geo_vs_geo_fixed_period,marconi,35,35,1,0.17142857142857143,0.17994109365648495,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,2,0.5142857142857142,0.17952019983343284,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,3,0.11428571428571428,0.18069290546876002,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,4,0.2,0.45956057118941224,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,5,0,8.667271706255674e-5,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,6,0,8.680758314113279e-5,0.49839052503592457,0.17142857142857143
geo_vs_geo_fixed_period,marconi,35,35,7,0,1.117495517067162e-4,0.49839052503592457,0.17142857142857143
