site_id,n_own_years,tower_nee,tower_half_width,model_median,model_min,model_max,n_models,diff_tower_minus_model
AR-CCa,7,-292.76136173952,12.11955843744002,-75.81914104582519,-295.7775582103131,45.70071219517824,17,-216.94222069369482
AR-CCg,3,-165.74890628159997,39.09763759968001,-79.1919383605794,-335.1295333314128,66.32666306292276,17,-86.55696792102057
AR-TF1,3,-91.28409343487999,5.1398751312,-20.76353166299104,-48.753460449218764,21.2808329264323,17,-70.52056177188895
AR-TF2,2,-14.410477445759994,9.994841854272003,-21.376395651811286,-71.84474793830785,34.324722836303636,17,6.965918206051292
AT-Neu,19,522.2333910507671,77.81042272278901,-51.88919125530167,-198.37554528578514,20.38148874452376,17,574.1225823060687
AT-Nsd,3,191.34891599327997,13.256156882879992,-92.36858724899503,-229.6269805137194,29.82228919628473,17,283.71750324227503
AT-PsM,5,80.04704132448,23.82843592350719,-81.14481217516186,-141.66185592636566,-15.613500254570022,17,161.19185349964187
AT-Zoe,6,-475.7669366243657,34.020546045284505,-85.68568879883337,-155.68509856161705,2.3267189363374015,17,-390.08124782553233
AU-ASM,11,-132.30474530639316,5.118044674643407,-2.159750383622182,-51.03397729307885,3.808586110916078,17,-130.144994922771
AU-Ade,3,-441.5343665414399,22.03430646527997,-52.895458214228796,-290.69629160721445,25.912951041052438,17,-388.6389083272111
AU-Boy,4,-388.3410614882263,13.443767644752,-19.141490967549984,-173.47549613238536,47.38861600150882,17,-369.1995705206763
AU-Col,3,-214.89179973119997,60.63627100435198,-51.14014266998291,-139.1571124869786,28.03847743204743,17,-163.75165706121706
AU-Cow,12,-703.4651947127156,77.60815121918256,-84.02692394206758,-179.7163753241576,-33.2253860995382,17,-619.438270770648
AU-Cpr,11,-199.82492987841272,5.061915360275023,-1.6443755353095908,-46.356438688856784,14.515482544489608,17,-198.18055434310313
AU-Ctr,9,90.68298369490287,114.8494943709257,-80.1661681938833,-173.81078327657056,-11.16208687724801,17,170.84915188878617
