site_id,var,mean_annual_value_mine,mean_annual_value_stored,abs_diff,rel_diff_pct
CN-Yan,nbp,3.1053991037256576,3.1053991037256576,0,0
MN-Hst,nbp,45.785474328433764,45.785474328433764,0,0
US-Mo1,nbp,36.492699461824756,36.492699461824756,0,0
US-BZo,nbp,32.768293142318726,32.768293142318726,0,0
US-UiD,nbp,39.23351282231948,39.23351282231948,0,0
US-Me6,nbp,25.545746799777536,25.545746799777536,0,0
PE-QFR,nbp,73.50987670000862,73.50987670000862,0,0
US-ICh,nbp,12.27587390647215,12.27587390647215,0,0
KR-Nj1,nbp,35.289191498475915,35.289191498475915,0,0
CA-Gro,nbp,38.550387384260404,38.550387384260404,0,0
SE-Svb,nbp,8.351897807682262,8.351897807682262,0,0
AU-Rob,nbp,35.14197914740618,35.14197914740618,0,0
US-Ne2,nbp,21.036634978126077,21.036634978126077,0,0
NZ-BFm,nbp,27.230852470678443,27.230852470678443,0,0
DE-Lkb,nbp,28.714488737723407,28.714488737723407,0,0
DE-Hzd,nbp,12.680792205473956,12.680792205473956,0,0
KR-UAO,nbp,37.33990229227964,37.33990229227964,0,0
AU-Dry,nbp,17.273351707879236,17.273351707879236,0,0
US-xTR,nbp,45.20362870833453,45.20362870833453,0,0
ES-Abr,nbp,14.747249932850108,14.747249932850108,0,0
US-Snf,evapotrans,432.343308392693,432.343308392693,0,0
US-xBL,evapotrans,619.5206298828125,619.5206298828125,0,0
KR-PcD,evapotrans,626.9068549661075,626.9068549661075,0,0
RU-Ch2,evapotrans,159.10722889619714,159.10722889619714,0,0
US-xWD,evapotrans,427.7058428596048,427.7058428596048,0,0
CA-Gro,evapotrans,293.7695483039407,293.7695483039407,0,0
US-Mo1,evapotrans,706.0313200109146,706.0313200109146,0,0
US-xWR,evapotrans,525.3379058837891,525.3379058837891,0,0
FI-Var,evapotrans,185.62712860107422,185.62712860107422,0,0
AU-Cow,evapotrans,1029.4483840044807,1029.4483840044807,0,0
US-xTA,evapotrans,775.9892560173483,775.9892560173483,0,0
US-LS1,evapotrans,374.2138447481043,374.2138447481043,0,0
AU-Rob,evapotrans,1099.7722706514246,1099.7722706514246,0,0
JP-SMF,evapotrans,658.5679428998162,658.5679428998162,0,0
US-Ro4,evapotrans,618.6689147949219,618.6689147949219,0,0
ES-Yst,evapotrans,453.22208718692553,453.22208718692553,0,0
US-Tw1,evapotrans,432.343308392693,432.343308392693,0,0
IE-CaN,evapotrans,403.1087700338925,403.1087700338925,0,0
JP-MMF,evapotrans,433.04757062126606,433.04757062126606,0,0
US-Var,evapotrans,480.29133426441865,480.29133426441865,0,0
