axis,source,bin,bin_label,n,fraction
nee,measured_NEE,1,0–5 gC m-2 yr-1,7,0.0110062893081761
nee,measured_NEE,2,5.0–20.5 gC m-2 yr-1,42,0.0660377358490566
nee,measured_NEE,3,20.5–31.7 gC m-2 yr-1,30,0.04716981132075472
nee,measured_NEE,4,31.7–41.8 gC m-2 yr-1,27,0.04245283018867924
nee,measured_NEE,5,41.8–54.3 gC m-2 yr-1,28,0.0440251572327044
nee,measured_NEE,6,54.3–70.2 gC m-2 yr-1,34,0.05345911949685535
nee,measured_NEE,7,>70.2 gC m-2 yr-1,468,0.7358490566037735
nee,trendy_at_site_NEE,1,0–5 gC m-2 yr-1,6,0.009433962264150943
nee,trendy_at_site_NEE,2,5.0–20.5 gC m-2 yr-1,30,0.04716981132075472
nee,trendy_at_site_NEE,3,20.5–31.7 gC m-2 yr-1,86,0.13522012578616352
nee,trendy_at_site_NEE,4,31.7–41.8 gC m-2 yr-1,123,0.19339622641509435
nee,trendy_at_site_NEE,5,41.8–54.3 gC m-2 yr-1,182,0.2861635220125786
nee,trendy_at_site_NEE,6,54.3–70.2 gC m-2 yr-1,152,0.2389937106918239
nee,trendy_at_site_NEE,7,>70.2 gC m-2 yr-1,57,0.08962264150943396
et,measured_ET,1,0–5 mm yr-1,0,0
et,measured_ET,2,5.0–143.4 mm yr-1,24,0.036585365853658534
et,measured_ET,3,143.4–263.9 mm yr-1,55,0.08384146341463415
et,measured_ET,4,263.9–394.0 mm yr-1,111,0.16920731707317074
et,measured_ET,5,394.0–634.7 mm yr-1,267,0.4070121951219512
et,measured_ET,6,634.7–968.6 mm yr-1,153,0.23323170731707318
et,measured_ET,7,>968.6 mm yr-1,46,0.0701219512195122
et,trendy_at_site_ET,1,0–5 mm yr-1,0,0
et,trendy_at_site_ET,2,5.0–143.4 mm yr-1,16,0.024390243902439025
et,trendy_at_site_ET,3,143.4–263.9 mm yr-1,41,0.0625
et,trendy_at_site_ET,4,263.9–394.0 mm yr-1,156,0.23780487804878048
et,trendy_at_site_ET,5,394.0–634.7 mm yr-1,259,0.3948170731707317
et,trendy_at_site_ET,6,634.7–968.6 mm yr-1,147,0.22408536585365854
et,trendy_at_site_ET,7,>968.6 mm yr-1,37,0.056402439024390245
