site_id,cancellation_ratio
AR-CCa,6.6016451927749475
AR-CCg,6.6016451927749475
AR-TF1,5.1978268423357195
AR-TF2,3.9352809557947745
BR-ITA,2.4748538823577535
BR-Ji3,2.4334575327322114
BR-Ma2,2.9847865587507605
BR-Npw,20.403812138229895
BR-Sa1,2.7371094059458123
BR-Sa3,14.6902132924152
BR-Xpw,20.403812138229895
CA-ARB,1.7510847081524803
CA-ARF,1.7510847081524803
CA-Ca1,2.805681574777206
CA-Ca2,2.805681574777206
CA-Ca3,1.6344381130895245
CA-Cbo,3.2984918057484305
CA-CF3,1.6209907302842592
CA-DB2,11.140144739725462
CA-DBB,11.140144739725462
CA-DSM,11.140144739725462
CA-EM1,8.589630131568612
CA-EM2,6.425013668587105
CA-Gro,1.7259697318118603
CA-KLP,1.9236333642216743
CA-LP1,2.143850845007198
CA-LU1,1.8880028780993652
CA-Man,2.0808126915411727
CA-Mer,4.532290513482839
CA-Na1,2.5143286555634283
CA-Ojp,3.289176078777395
CA-PB2,1.4473179622587153
CA-Qc2,1.569207917258236
CA-Qfo,1.6866685443922436
CA-RBM,18.017736801138792
CA-SCB,1.7940856238279133
CA-SCC,1.7940856238279133
CA-SJ2,3.289176078777395
CA-TP1,11.630061916087916
CA-TP3,12.676820188829897
CA-TP4,12.676820188829897
CA-TPA,12.676820188829897
CA-TPD,11.630061916087916
CL-SDF,20.121776729218993
CL-SDP,20.121776729218993
CR-Fsc,3.1640244888333147
MX-Aog,14.484779697946248
MX-Tes,108.21777334565107
PE-QFR,1.4127442757245718
PR-xGU,21.84661260172697
PR-xLA,3.8655692857820503
US-A03,18.097169259911567
US-A10,45.839205141977764
US-A37,8.036759382467709
US-A39,2.2471479956798937
US-ABa,28.992154093940286
US-ABb,28.992154093940286
US-ABc,28.992154093940286
US-ABd,28.992154093940286
US-ABe,28.992154093940286
US-ADR,10.530554938937192
US-Akn,1.7359959860624363
US-ALQ,1.5079951115410843
US-AR1,5.8804112113235245
US-AR2,7.059276831609446
US-ARM,5.720376811428292
US-Aud,13.205885681888244
US-Bar,1.4084640848848125
US-Bi1,4.046822720463716
US-Bi2,3.9122196867478145
US-BRG,2.2717326445348247
US-BZB,2.8186025400639947
US-BZF,2.8186025400639947
US-BZo,2.8186025400639947
US-CdM,6.42648125703612
US-Ced,5.368819481054887
US-CF1,7.902082342708199
US-CF2,7.902082342708199
US-CF3,7.902082342708199
US-CGG,7.483367670987558
US-ChR,2.142709488565049
US-Cms,45.839205141977764
US-CMW,13.22432259405134
US-Cop,6.7176484849726705
US-CRK,1.8404693468869184
US-CRT,34.08247079692868
US-CS2,2.4008877917494735
US-Cst,2.6387441464972885
US-Cwt,1.8249533128781852
US-DFC,2.8034372027022103
US-DFK,2.8034372027022103
US-Dix,5.368819481054887
US-Dk1,3.052973138447269
US-Dk2,3.052973138447269
US-Dk3,3.052973138447269
US-Dmg,3.9122196867478145
US-DPW,9.688863023242023
US-DS1,3.9122196867478145
US-DS2,3.9122196867478145
US-DS3,3.9122196867478145
US-EA4,2.4826928207029337
US-EA5,9.150688832837117
US-EDN,6.394444380796119
US-EKH,5.320906126652139
US-EKN,5.320906126652139
US-EKP,5.320906126652139
US-Elm,1.8841583025447464
US-EML,7.2837321308147915
US-Esm,1.8777179541511928
US-EvM,1.8729942495667242
US-Fcr,5.618473756226966
US-Fmf,6.635567041593868
US-Fuf,6.635567041593868
US-Fwf,6.635567041593868
US-GLE,1.9226208680922958
US-Ha1,1.4161658294351358
US-HB1,1.5363053980162977
US-HB2,1.5363053980162977
US-HB3,1.5363053980162977
US-HB4,1.5363053980162977
US-HBK,1.455160793949969
US-Ho2,1.4703602290069144
US-Hsm,5.9592252089952975
US-HWB,3.0434682439084435
US-IAB,6.644927053237539
US-IAC,4.024182160065005
US-IAM,4.024182160065005
US-ICh,7.230472565361232
US-ICs,7.230472565361232
US-ICt,7.230472565361232
US-Jo1,13.695028920426234
US-Jo2,13.695028920426234
US-KFS,2.1419912024792644
US-KLS,3.1853618289625714
US-Kon,2.131176802675122
US-KPL,2.6926625029938824
US-KS2,2.172004515408364
US-LA2,2.0661116780590985
US-LA3,2.934306659464581
US-Los,1.5079951115410843
US-LS1,13.22432259405134
US-LS2,13.22432259405134
US-MBP,1.5837707641562253
US-Me3,2.6158265240385266
US-Me5,2.6158265240385266
US-Me6,2.6158265240385266
US-Me7,2.6158265240385266
US-MEF,3.0568504512355417
US-MMS,1.6226917304767232
US-MN1,189.40266487484928
US-MN2,189.40266487484928
US-MN3,189.40266487484928
US-Mo1,2.4049259458014816
US-Mo2,1.5653424088637482
US-Mo3,2.4049259458014816
US-MOz,1.8281387068221266
US-Mpj,13.793199688047716
US-MtB,7.732425323827092
US-Myb,3.9122196867478145
US-NC1,6.631187850762079
US-NC2,6.631187850762079
US-NC3,6.631187850762079
US-NC4,2.78125570391483
US-Ne1,2.5949737630844836
US-Ne2,2.5949737630844836
US-Ne3,2.5949737630844836
US-NR1,1.6384355927860417
US-Oho,9.311467037310496
US-ONA,6.4300057040436585
US-OPE,17.442293135054943
US-OWC,7.498277300205711
US-PAS,6.4300057040436585
US-PLo,2.577485261798941
US-Prr,3.1485379442501396
US-RC1,7.902082342708199
US-RC2,7.902082342708199
US-RC3,3.2805074395127765
US-RC4,9.154478167852737
US-RGA,5.874363333376554
US-RGB,4.057365919375795
US-RGF,5.259818427225856
US-RGo,3.600120970332377
US-RGW,4.300360340760669
US-Rls,6.282167687974556
US-Rms,6.282167687974556
US-Ro1,9.186304672676306
US-Ro2,9.186304672676306
US-Ro3,9.186304672676306
US-Ro4,9.186304672676306
US-Ro5,9.186304672676306
US-Ro6,9.186304672676306
US-Rpf,3.1485379442501396
US-RRC,1.88262766708324
US-Rwe,6.282167687974556
US-Rwf,6.282167687974556
US-Rws,6.282167687974556
US-SD1,16.69132942991104
US-SD2,18.124244229118172
US-Seg,8.354960311354063
US-Ses,8.354960311354063
US-SHC,2.7868170650338513
US-Slt,3.7662835279595632
US-Sne,3.9122196867478145
US-Snf,3.9122196867478145
US-SP1,3.9143536666691605
US-SRC,13.205885681888244
US-SRG,13.205885681888244
US-SRM,13.205885681888244
US-SRS,13.205885681888244
US-SSH,3.0434682439084435
US-Sta,2.27446762264314
US-StJ,5.393750794732163
US-Syv,1.4022596479340608
US-TaS,1.8777179541511928
US-TKs,9.503366628081684
US-Ton,3.995444113542195
US-Tw1,3.9122196867478145
US-Tw3,3.9122196867478145
