axis,site_id,location_lat,location_long,n_measured_years,stat_measured_years,stat_full_34yr,paired_diff
nee,AR-CCa,-35.621,-61.3181,5,53.18069858551026,53.33772659301758,-0.15702800750732138
nee,AR-CCg,-35.9244,-61.1855,3,47.36198345820109,53.33772659301758,-5.97574313481649
nee,AR-TF1,-54.9733,-66.7335,1,NA,30.2711124420166,NA
nee,AR-TF2,-54.8269,-68.4549,1,NA,27.65923118591309,NA
nee,BR-ITA,-23.0604,-48.6467,1,NA,82.89170837402344,NA
nee,BR-Ji3,-10.1866,-61.8725,2,NA,73.0145034790039,NA
nee,BR-Ma2,-2.6091,-60.2093,5,73.12907180786132,74.04943084716797,-0.9203590393066463
nee,BR-Npw,-16.498,-56.412,2,NA,56.33428192138672,NA
nee,BR-Sa1,-2.8567,-54.9589,5,119.09996452331544,104.15416717529295,14.94579734802248
nee,BR-Sa3,-3.018,-54.9714,3,87.14659651120503,82.80094146728516,4.3456550439198764
nee,BR-Xpw,-16.373,-56.461,3,86.94547812143962,56.33428192138672,30.611196200052902
nee,CA-ARB,52.695,-83.9452,4,28.18792359251529,31.542436599731445,-3.3545130072161555
nee,CA-ARF,52.7008,-83.955,5,35.60499767437577,31.542436599731445,4.0625610746443215
nee,CA-Ca1,49.8673,-125.3336,13,43.9035546871332,39.27870559692383,4.6248490902093735
nee,CA-Ca2,49.8705,-125.2909,10,44.77745056152344,39.27870559692383,5.498744964599609
nee,CA-Ca3,49.5346,-124.9004,13,46.340743211599495,34.668235778808594,11.672507432790901
nee,CA-Cbo,44.3184,-79.9341,17,56.53845688875984,54.47175979614258,2.066697092617261
nee,CA-CF3,58.6658,-93.8304,1,NA,17.044178009033203,NA
nee,CA-DB2,49.119,-122.9951,4,43.855000257492065,44.23484420776367,-0.37984395027160645
nee,CA-DBB,49.1293,-122.9849,4,45.4070098400116,44.23484420776367,1.1721656322479248
nee,CA-DSM,49.0887,-122.8954,2,NA,44.23484420776367,NA
nee,CA-EM1,50.3623,-100.2024,2,NA,34.91756820678711,NA
nee,CA-EM2,50.3706,-100.5339,2,NA,36.8778190612793,NA
nee,CA-Gro,48.2167,-82.1556,10,51.41236989498138,43.88124084472656,7.531129050254819
nee,CA-KLP,51.5902,-81.7684,1,NA,33.743804931640625,NA
nee,CA-LP1,55.1119,-122.8414,8,33.094206392765045,32.54167556762695,0.552530825138092
nee,CA-LU1,59.5951,-117.2862,1,NA,40.09105682373047,NA
nee,CA-Man,55.8796,-98.4808,6,30.889089326063793,38.28171920776367,-7.392629881699879
nee,CA-Mer,45.4094,-75.5186,22,49.33274753527208,49.05195236206055,0.2807951732115299
nee,CA-Na1,46.4722,-67.1,1,NA,35.81625747680664,NA
nee,CA-Ojp,53.9163,-104.692,7,44.31344498906817,43.04402160644531,1.269423382622854
nee,CA-PB2,54.9389,-83.4736,1,NA,24.534223556518555,NA
nee,CA-Qc2,49.7598,-74.5711,1,NA,30.38699722290039,NA
nee,CA-Qfo,49.6925,-74.3421,7,27.105091989040375,27.242523193359375,-0.13743120431900024
nee,CA-RBM,49.1313,-123.1964,1,NA,27.921222686767575,NA
nee,CA-SCB,61.3089,-121.2984,1,NA,44.37926483154297,NA
nee,CA-SCC,61.3079,-121.2992,5,41.954639816284185,44.37926483154297,-2.4246250152587834
nee,CA-SJ2,53.945,-104.649,4,39.08014841005206,43.04402160644531,-3.9638731963932514
nee,CA-TP1,42.6609,-80.5595,12,62.700636088848114,54.433258056640625,8.267378032207489
nee,CA-TP3,42.7068,-80.3483,16,49.37287266366184,45.19938659667969,4.17348606698215
nee,CA-TP4,42.7102,-80.3574,20,49.08278571218253,45.19938659667969,3.88339911550284
nee,CA-TPA,42.6947,-80.3487,3,36.88269853591919,45.19938659667969,-8.316688060760498
nee,CA-TPD,42.6353,-80.5577,11,59.91517736695029,54.433258056640625,5.481919310309664
nee,CL-SDF,-41.883,-73.676,2,NA,50.4748420715332,NA
nee,CL-SDP,-41.879,-73.666,3,34.23621964454651,50.4748420715332,-16.238622426986694
nee,CR-Fsc,10.4189,-85.4732,3,50.4091682434082,49.45722579956055,0.95194244384765625
nee,MX-Aog,26.9968,-108.7892,1,NA,74.293914794921875,NA
nee,MX-Tes,27.8446,-109.2977,4,47.96208870410919,84.15974426269531,-36.19765555858612
nee,PE-QFR,-3.8344,-73.319,2,NA,53.77628707885742,NA
nee,PR-xGU,17.9696,-66.8687,1,NA,46.69971466064453,NA
nee,US-A03,70.4953,-149.8823,3,10.574505488077799,22.313817977905273,-11.739312489827475
nee,US-A10,71.3242,-156.6149,4,1.2524663470685482,1.4065983295440674,-0.15413198247551918
nee,US-ABa,27.1301,-81.2011,2,NA,60.35102081298828,NA
nee,US-ABb,27.1346,-81.2031,2,NA,60.35102081298828,NA
nee,US-ABc,27.1633,-81.1873,1,NA,60.35102081298828,NA
nee,US-ABd,27.1699,-81.2152,1,NA,60.35102081298828,NA
nee,US-ABe,27.1656,-81.2161,2,NA,60.35102081298828,NA
nee,US-ADR,36.7653,-116.6933,1,NA,6.490658283233643,NA
nee,US-Akn,33.3825,-81.5653,4,91.01485121250153,81.972900390625,9.041950821876526
nee,US-ALQ,46.0308,-89.6067,5,55.27636890411377,53.117305755615234,2.1590631484985323
nee,US-AR1,36.4267,-99.42,2,NA,45.322269439697266,NA
nee,US-AR2,36.6358,-99.5975,2,NA,46.737571716308594,NA
nee,US-ARM,36.6058,-97.4888,20,53.26988833174109,50.62029647827149,2.6495918534696017
nee,US-Aud,31.5907,-110.5104,15,22.215295668443044,24.90163230895996,-2.6863366405169167
nee,US-Bar,44.0646,-71.2881,15,53.47553876241048,50.10931015014648,3.3662286122640026
nee,US-Bi1,38.0992,-121.4993,7,27.026169981275288,30.1633243560791,-3.1371543748038135
nee,US-Bi2,38.1091,-121.5351,6,33.65076231956482,28.40679931640625,5.243963003158569
nee,US-BRG,39.2167,-86.5406,1,NA,51.758331298828125,NA
nee,US-BZB,64.6955,-148.3208,9,36.137909031576584,33.81850814819336,2.3194008833832243
nee,US-BZF,64.7013,-148.3121,9,35.41616425580449,33.81850814819336,1.5976561076111295
nee,US-BZo,64.6936,-148.33,5,32.87287745475769,33.81850814819336,-0.9456306934356675
nee,US-CdM,37.5241,-109.7471,3,16.908115247885387,36.292476654052734,-19.384361406167347
nee,US-Ced,39.8379,-74.3791,9,58.52763827641805,56.53850555419922,1.9891327222188337
nee,US-CF1,46.7815,-117.0821,3,25.154622713724773,34.60606002807617,-9.451437314351399
nee,US-CF2,46.784,-117.0908,2,NA,34.60606002807617,NA
nee,US-CF3,46.7551,-117.1261,1,NA,34.60606002807617,NA
nee,US-CGG,37.938,-121.9761,2,NA,39.14134216308594,NA
nee,US-ChR,35.9311,-84.3324,12,54.7927951713403,59.42998123168945,-4.637186060349151
nee,US-Cms,71.3202,-156.6223,1,NA,1.4065983295440674,NA
nee,US-CMW,31.6637,-110.1777,19,24.575337793481978,26.135007858276367,-1.559670064794389
nee,US-Cop,38.09,-109.39,2,NA,33.458717346191406,NA
nee,US-CRK,31.4629,-95.3415,1,NA,85.23509216308594,NA
nee,US-CRT,41.6285,-83.3471,3,50.32821909586588,38.56884002685547,11.759379069010414
nee,US-CS2,44.1467,-89.5002,1,NA,47.8526611328125,NA
nee,US-Cst,33.0442,-91.9204,1,NA,86.20417022705078,NA
nee,US-Cwt,35.0592,-83.4275,9,67.49840325779385,67.5728759765625,-0.07447271876864647
nee,US-DFC,43.3448,-89.7117,3,31.66274325052897,48.91641998291016,-17.253676732381194
nee,US-DFK,43.3453,-89.7154,1,NA,48.91641998291016,NA
nee,US-Dix,39.9712,-74.4346,3,49.43507957458496,56.53850555419922,-7.103425979614258
nee,US-Dk1,35.9712,-79.0934,5,93.32337303161621,61.59457015991211,31.728802871704104
nee,US-Dk2,35.9736,-79.1004,7,84.07976262910026,61.59457015991211,22.48519246918815
nee,US-Dk3,35.9782,-79.0942,6,91.11932182312012,61.59457015991211,29.524751663208008
nee,US-Dmg,38.0015,-121.6691,2,NA,28.40679931640625,NA
nee,US-DPW,28.0521,-81.4361,2,NA,59.167388916015625,NA
nee,US-DS1,38.1335,-121.539,1,NA,28.40679931640625,NA
nee,US-DS2,38.1375,-121.514,2,NA,28.40679931640625,NA
nee,US-DS3,38.1235,-121.549,2,NA,28.40679931640625,NA
nee,US-EA4,29.6633,-98.3816,1,NA,78.46392059326172,NA
nee,US-EA5,29.3584,-99.9576,1,NA,61.79172134399414,NA
