axis,igbp_class,n,median_diff,iqr_lo,iqr_hi,n_badm_matched,n_flagged_managed,unit
nee,EBF,39,291.25030560302736,165.43892169494632,650.2187165679932,38,6,gC m-2 yr-1
nee,DBF,64,276.1183951416016,156.65501529693603,386.60256038665773,60,20,gC m-2 yr-1
nee,MF,22,236.4289321899414,83.02317259216309,389.0104722518921,22,8,gC m-2 yr-1
nee,WSA,15,215.02009808349607,125.58969551849366,347.93078881835936,15,4,gC m-2 yr-1
nee,DNF,6,209.6335453796387,96.81053147125246,699.1567159271241,6,0,gC m-2 yr-1
nee,CRO,108,163.98402302551267,57.04647015075683,350.7875080718994,107,69,gC m-2 yr-1
nee,ENF,95,157.44198211669922,23.97530145874024,377.1263740081787,95,51,gC m-2 yr-1
nee,GRA,126,83.21688543930054,6.544029586791991,191.49494345092774,120,55,gC m-2 yr-1
nee,BSV,7,72.78016723327637,9.111165005545615,90.64514184627532,7,0,gC m-2 yr-1
nee,WET,91,55.51833072814942,-0.7294083099365221,195.84837278747557,90,30,gC m-2 yr-1
nee,OSH,33,33.25296769104004,-1.5710899963378893,108.83332070922852,32,15,gC m-2 yr-1
nee,CSH,11,26.288278656005858,4.252173136901854,61.96105870819092,11,4,gC m-2 yr-1
nee,SAV,11,26.13022368774414,-12.505402823486328,118.65128039855956,10,2,gC m-2 yr-1
nee,CVM,7,7.579680450439454,-11.78053483276367,188.9540707672119,7,5,gC m-2 yr-1
nee,SNO,1,-11.003149291992187,-11.003149291992187,-11.003149291992187,1,0,gC m-2 yr-1
et,CSH,11,73.39122003757174,-49.756909641294726,164.08550568853636,11,4,mm yr-1
et,WSA,17,44.99764702535077,-30.633394872122153,116.6205696636165,17,5,mm yr-1
et,CRO,110,39.88777842163586,-44.403635197855635,118.33019755554847,109,70,mm yr-1
et,WET,94,34.11800904998725,-47.70547076421195,148.9312061361427,93,30,mm yr-1
et,SAV,13,15.851027386057012,-43.499039658912636,90.46152180221617,12,3,mm yr-1
et,BSV,7,-8.687186636590798,-17.852036482215816,12.411778729098181,7,0,mm yr-1
et,GRA,129,-15.295144162340534,-85.479436489493,77.24850707967153,123,55,mm yr-1
et,ENF,102,-23.857589933286874,-78.81525984964725,51.93964170612047,100,55,mm yr-1
et,OSH,34,-31.108612782391987,-76.93378491559912,19.17258493136479,33,16,mm yr-1
et,EBF,39,-39.37019281869425,-135.0677502351245,65.6813786963329,38,6,mm yr-1
et,DBF,64,-42.727161938958886,-120.68467446501114,32.285559089255756,60,20,mm yr-1
et,MF,22,-64.2027127631896,-179.52470099227523,16.990177822134086,22,8,mm yr-1
et,DNF,6,-99.53971989298466,-164.4092375236408,22.507598521568156,6,0,mm yr-1
et,CVM,7,-113.0950345516024,-153.1814679797831,-78.16413436907686,7,5,mm yr-1
et,SNO,1,-150.6640667991972,-150.6640667991972,-150.6640667991972,1,0,mm yr-1
