site_id,location_lat,location_long,diff,axis,biomass_percentile
AR-CCa,-35.621,-61.3181,159.55527340698242,nee,79.52
AR-CCg,-35.9244,-61.1855,0.5566734069824193,nee,52.88
AR-TF1,-54.9733,-66.7335,38.954687557983405,nee,32.76
AR-TF2,-54.8269,-68.4549,-20.16732118591309,nee,66.32000000000001
BR-ITA,-23.0604,-48.6467,244.04029162597658,nee,84.36
BR-Ji3,-10.1866,-61.8725,1450.0604965209961,nee,34.4
BR-Ma2,-2.6091,-60.2093,264.34456915283204,nee,95.84
BR-Npw,-16.498,-56.412,467.0542180786133,nee,94.39999999999999
BR-Sa1,-2.8567,-54.9589,280.74483282470703,nee,96.36
BR-Sa3,-3.018,-54.9714,-4.567641467285156,nee,77.92
BR-Xpw,-16.373,-56.461,181.77671807861327,nee,36.8
CA-ARB,52.695,-83.9452,47.67011340026855,nee,41.24
CA-ARF,52.7008,-83.955,29.115463400268553,nee,84.6
CA-Ca1,49.8673,-125.3336,282.6082944030762,nee,37.24
CA-Ca2,49.8705,-125.2909,496.3977944030762,nee,77.16
CA-Ca3,49.5346,-124.9004,420.4592642211914,nee,93.76
CA-Cbo,44.3184,-79.9341,221.4617402038574,nee,96.44
CA-CF3,58.6658,-93.8304,23.7076219909668,nee,64.4
CA-DB2,49.119,-122.9951,-8.24294420776367,nee,34.96
CA-DBB,49.1293,-122.9849,-33.50254420776367,nee,18.6
CA-DSM,49.0887,-122.8954,32.99615579223632,nee,4.279999999999999
CA-EM1,50.3623,-100.2024,-22.77781820678711,nee,61
CA-EM2,50.3706,-100.5339,148.5171809387207,nee,67.08
CA-Gro,48.2167,-82.1556,78.90825915527344,nee,72.84
CA-KLP,51.5902,-81.7684,5.575895068359372,nee,4.68
CA-LP1,55.1119,-122.8414,131.43932443237304,nee,1.24
CA-LU1,59.5951,-117.2862,70.79294317626953,nee,14.799999999999999
CA-Man,55.8796,-98.4808,-8.956269207763675,nee,46.760000000000005
CA-Mer,45.4094,-75.5186,28.79474763793945,nee,57.28
CA-Na1,46.4722,-67.1,188.23874252319337,nee,39.12
CA-Ojp,53.9163,-104.692,12.072678393554689,nee,37.64
CA-PB2,54.9389,-83.4736,26.794476443481443,nee,59.12
CA-Qc2,49.7598,-74.5711,174.6610027770996,nee,87.72
CA-Qfo,49.6925,-74.3421,-14.703423193359376,nee,59.760000000000005
CA-RBM,49.1313,-123.1964,90.03652731323243,nee,48.16
CA-SCB,61.3089,-121.2984,-35.46179483154297,nee,0.52
CA-SCC,61.3079,-121.2992,-18.64686483154297,nee,0.52
CA-SJ2,53.945,-104.649,54.63062839355469,nee,25.040000000000003
CA-TP1,42.6609,-80.5595,61.09024194335937,nee,82.64
CA-TP3,42.7068,-80.3483,494.6511134033203,nee,98.4
CA-TP4,42.7102,-80.3574,62.831113403320316,nee,99.11999999999999
CA-TPA,42.6947,-80.3487,-16.107886596679688,nee,92.75999999999999
CA-TPD,42.6353,-80.5577,138.13174194335937,nee,99.83999999999999
CL-SDF,-41.883,-73.676,131.6726579284668,nee,82.32000000000001
CL-SDP,-41.879,-73.666,47.3492579284668,nee,77.12
CR-Fsc,10.4189,-85.4732,1195.0827742004394,nee,33.48
MX-Aog,26.9968,-108.7892,21.56028520507813,nee,77.03999999999999
MX-Tes,27.8446,-109.2977,-8.528144262695307,nee,23.76
PE-QFR,-3.8344,-73.319,227.3574629211426,nee,13.08
PR-xGU,17.9696,-66.8687,166.10843533935548,nee,99.48
PR-xLA,18.0212,-67.0769,-40.27053376464844,nee,63.2
US-A03,70.4953,-149.8823,78.99218202209472,nee,66.67999999999999
US-A10,71.3242,-156.6149,102.29810167045594,nee,58.52
US-A37,36.3106,-97.928,-8.11628254394531,nee,65.68
US-A39,36.3776,-96.069,-15.491179388427732,nee,58.440000000000005
US-ABa,27.1301,-81.2011,305.75897918701173,nee,7.88
US-ABb,27.1346,-81.2031,80.8416291870117,nee,7.88
US-ABc,27.1633,-81.1873,240.2269791870117,nee,47.8
US-ABd,27.1699,-81.2152,173.43397918701172,nee,3.1199999999999997
US-ABe,27.1656,-81.2161,158.90007918701173,nee,3.1199999999999997
US-ADR,36.7653,-116.6933,1.4986517167663571,nee,72.64
US-Akn,33.3825,-81.5653,647.776099609375,nee,17.72
US-ALQ,46.0308,-89.6067,199.30969424438476,nee,58.24
US-AR1,36.4267,-99.42,-0.4072694396972736,nee,71.32
US-AR2,36.6358,-99.5975,-2.6082217163085986,nee,89.03999999999999
US-ARM,36.6058,-97.4888,133.86720352172853,nee,52.72
US-Aud,31.5907,-110.5104,51.45631769104003,nee,21.36
US-Bar,44.0646,-71.2881,155.88068984985352,nee,73.11999999999999
US-Bi1,38.0992,-121.4993,11.812575643920901,nee,60.56
US-Bi2,38.1091,-121.5351,1649.4032006835937,nee,42.68
US-BRG,39.2167,-86.5406,27.25736870117187,nee,24.68
US-BZB,64.6955,-148.3208,-16.25270814819336,nee,55.64
US-BZF,64.7013,-148.3121,37.76099185180664,nee,82.96
US-BZo,64.6936,-148.33,10.623391851806637,nee,73.52
US-CdM,37.5241,-109.7471,107.22702334594726,nee,3.2800000000000002
US-Ced,39.8379,-74.3791,63.61149444580079,nee,62.8
US-CF1,46.7815,-117.0821,171.38193997192383,nee,79.96
US-CF2,46.784,-117.0908,146.02043997192382,nee,79.96
US-CF3,46.7551,-117.1261,186.07793997192383,nee,79.96
US-CGG,37.938,-121.9761,61.97580783691406,nee,64
US-ChR,35.9311,-84.3324,746.3610187683105,nee,95.6
US-Cms,71.3202,-156.6223,146.07340167045592,nee,55.2
US-CMW,31.6637,-110.1777,261.20399214172363,nee,79.56
US-Cop,38.09,-109.39,-9.816117346191405,nee,24.44
US-CRK,31.4629,-95.3415,-7.678342163085944,nee,52
US-CRT,41.6285,-83.3471,57.21785997314453,nee,61.24000000000001
US-CS2,44.1467,-89.5002,615.6313388671875,nee,66.28
US-Cst,33.0442,-91.9204,416.4048297729492,nee,78.84
US-Cwt,35.0592,-83.4275,317.3721240234375,nee,56.720000000000006
US-DFC,43.3448,-89.7117,559.4035800170899,nee,28.24
US-DFK,43.3453,-89.7154,639.2765800170898,nee,28.24
US-Dix,39.9712,-74.4346,-10.258405554199221,nee,58.720000000000006
US-Dk1,35.9712,-79.0934,-4.05477015991211,nee,90.72
US-Dk2,35.9736,-79.1004,886.9084298400879,nee,97.96000000000001
US-Dk3,35.9782,-79.0942,1011.9554298400878,nee,90.72
US-Dmg,38.0015,-121.6691,688.4202006835937,nee,80.47999999999999
US-DPW,28.0521,-81.4361,107.69711108398437,nee,54.16
US-DS1,38.1335,-121.539,149.16320068359374,nee,42.68
US-DS2,38.1375,-121.514,802.7102006835937,nee,42.68
US-DS3,38.1235,-121.549,116.80120068359375,nee,42.68
US-EA4,29.6633,-98.3816,-30.330920593261716,nee,94.72
US-EA5,29.3584,-99.9576,26.288278656005858,nee,81
US-EDN,37.6156,-122.114,447.09761926269533,nee,64.75999999999999
US-EKH,36.8094,-121.7523,147.9747294921875,nee,45.92
US-EKN,36.8357,-121.7328,184.7127294921875,nee,61.839999999999996
US-EKP,36.8558,-121.7488,70.2337294921875,nee,67.08
US-Elm,25.5519,-80.7826,-90.31415093994141,nee,44.68
US-EML,63.8784,-149.2536,26.03593794555664,nee,55.559999999999995
US-Esm,25.4379,-80.5946,-3.2418580688476624,nee,57.16
US-EvM,25.3539,-80.381,-23.400287023925785,nee,90.44
US-Fcr,65.3968,-148.9348,43.08011567382812,nee,8.200000000000001
US-Fmf,35.1426,-111.7273,-38.234014611816406,nee,46.48
US-Fuf,35.089,-111.762,33.36088538818359,nee,50.63999999999999
US-Fwf,35.4454,-111.7718,16.619985388183593,nee,31.16
US-GLE,41.3665,-106.2399,-20.812116281738284,nee,65.64
US-Ha1,42.5378,-72.1715,190.32264242553708,nee,70.56
US-HB1,33.3455,-79.1957,306.95894149780275,nee,58.24
US-HB2,33.3242,-79.244,537.8239414978027,nee,88.2
US-HB3,33.3482,-79.2322,7.152891497802727,nee,87.68
US-HB4,33.2015,-79.2975,122.00944149780273,nee,53.76
US-HBK,43.9397,-71.7181,533.9344116210938,nee,97.96000000000001
US-Ho2,45.209,-68.747,280.1039002990723,nee,100
US-Hsm,38.2368,-122.0212,286.57400982666013,nee,43.84
US-HWB,40.8608,-77.8488,7.579680450439454,nee,7.88
US-IAB,42.0001,-93.7016,32.451920391845704,nee,38.68
US-IAC,41.9984,-93.7016,406.0142723388672,nee,30.12
US-IAM,41.9994,-93.7042,661.6642723388671,nee,30.12
US-ICh,68.6068,-149.2958,10.002230728149417,nee,80.72
US-ICs,68.6058,-149.311,55.51833072814942,nee,80.72
US-ICt,68.6063,-149.3041,-23.03206927185058,nee,80.72
US-Jo1,32.582,-106.635,136.28332070922852,nee,63.88
US-Jo2,32.5849,-106.6032,108.83332070922852,nee,63.88
US-KFS,39.0561,-95.1907,7.12838286743164,nee,85.04
US-KLS,38.7745,-97.5684,-19.751202099609372,nee,84.2
US-Kon,39.0824,-96.5603,100.61584094238282,nee,36.720000000000006
US-KPL,60.5382,-150.5061,-2.2138518310546864,nee,41.160000000000004
US-KS2,28.6086,-80.6715,276.49376751708985,nee,76.12
US-LA2,29.8587,-90.2869,332.50500799560547,nee,81.04
US-LA3,29.4936,-89.9153,608.0575352783203,nee,90.36
US-Los,46.0827,-89.9786,50.206694244384764,nee,19.28
US-LS1,31.5615,-110.1403,93.44209214172363,nee,31.919999999999998
US-LS2,31.5659,-110.1344,300.4089921417236,nee,45.12
US-MBP,47.5051,-93.4893,163.78844577026368,nee,53.04
US-Me3,44.3154,-121.6078,-26.386519384765627,nee,11.08
US-Me5,44.4372,-121.5668,105.94038061523437,nee,49.919999999999995
US-Me6,44.3232,-121.6044,-10.446519384765626,nee,12
US-Me7,44.4534,-121.5619,362.7438806152344,nee,23.24
US-MEF,39.1006,-105.1024,36.00741591796876,nee,26.040000000000003
US-MMS,39.3232,-86.4133,370.30354904174806,nee,92.92
US-MN1,45.6168,-96.1269,164.5309868774414,nee,59.12
US-MN2,45.627,-96.1271,17.050786877441404,nee,59.12
US-MN3,45.6091,-96.1265,247.21078687744136,nee,84.36
