site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
AR-Bal,TA,1,-0,0.16,0.95
AR-Bal,PA,1,-0,0.03,0.76
AR-Bal,VPD,1,-0,0.24,0.91
AR-Bal,WS,1,-0.07,0.1,0.69
AR-Bal,P,1,-9999,-9999,-9999
AR-Bal,SW_IN,1,1.64,6.34,0.94
AR-Bal,LW_IN,-9999,-9999,-9999,-9999
AR-Bal,LW_IN_JSB,1,0.01,2.16,0.76
AR-CCa,TA,1,-0,0.85,0.95
AR-CCa,PA,1,-0,0.05,0.98
AR-CCa,VPD,1,-0.01,1.3,0.85
AR-CCa,WS,1,0.01,0.46,0.68
AR-CCa,P,-9999,-9999,-9999,-9999
AR-CCa,SW_IN,1,-4.58,48.54,0.84
AR-CCa,LW_IN,-9999,-9999,-9999,-9999
AR-CCa,LW_IN_JSB,1,-0.45,10.49,0.79
AR-CCg,TA,1,0,0.63,0.95
AR-CCg,PA,1,0,0.02,0.99
AR-CCg,VPD,1,-0,0.79,0.83
AR-CCg,WS,1,0.02,0.4,0.72
AR-CCg,P,-9999,-9999,-9999,-9999
AR-CCg,SW_IN,1,7.58,48.55,0.89
AR-CCg,LW_IN,-9999,-9999,-9999,-9999
AR-CCg,LW_IN_JSB,1,-0.4,6.82,0.79
AR-TF1,TA,1,0,0.47,0.85
AR-TF1,PA,1,-0,0.14,0.87
AR-TF1,VPD,1,0,0.29,0.79
AR-TF1,WS,1,0.16,0.36,0.71
AR-TF1,P,-9999,-9999,-9999,-9999
AR-TF1,SW_IN,1,6.01,22.38,0.84
AR-TF1,LW_IN,-9999,-9999,-9999,-9999
AR-TF1,LW_IN_JSB,1,0,5.31,0.66
AR-TF2,TA,1,0,0.6,0.8
AR-TF2,PA,1,-0,0.12,0.82
AR-TF2,VPD,1,0,0.37,0.73
AR-TF2,WS,1,0.1,0.3,0.56
AR-TF2,P,-9999,-9999,-9999,-9999
AR-TF2,SW_IN,1,5.04,21.02,0.83
AR-TF2,LW_IN,-9999,-9999,-9999,-9999
AR-TF2,LW_IN_JSB,1,-0.05,4.74,0.61
AT-Mmg,TA,1,-0,0.56,0.97
AT-Mmg,PA,1,0,0.05,0.97
AT-Mmg,VPD,1,-0,0.64,0.89
AT-Mmg,WS,1,0.14,0.3,0.19
AT-Mmg,P,1,-9999,-9999,-9999
AT-Mmg,SW_IN,1,5.56,31.07,0.89
AT-Mmg,LW_IN,1,0,5.68,0.89
AT-Mmg,LW_IN_JSB,1,0,8.7,0.82
AT-Neu,TA,1,-0,1.78,0.95
AT-Neu,PA,1,0,0.19,0.89
AT-Neu,VPD,1,-0,1.62,0.84
AT-Neu,WS,1,0.08,0.64,0.3
AT-Neu,P,1,-9999,-9999,-9999
AT-Neu,SW_IN,1,-1.88,71.63,0.87
AT-Neu,LW_IN,1,0,18.13,0.82
AT-Neu,LW_IN_JSB,1,-0.01,19.85,0.84
AT-Nsd,TA,1,0,0.45,0.99
AT-Nsd,PA,1,0,0.04,0.99
AT-Nsd,VPD,1,0,0.61,0.94
AT-Nsd,WS,1,0.03,0.38,0.82
AT-Nsd,P,1,-9999,-9999,-9999
AT-Nsd,SW_IN,1,3.38,30.14,0.91
AT-Nsd,LW_IN,1,0,5.66,0.92
AT-Nsd,LW_IN_JSB,1,-0,9.42,0.87
AT-PsM,TA,1,-0,0.95,0.95
AT-PsM,PA,1,0,0.13,0.84
AT-PsM,VPD,1,0,0.79,0.9
AT-PsM,WS,1,0.14,0.35,0.27
AT-PsM,P,1,-9999,-9999,-9999
AT-PsM,SW_IN,1,1.45,34.48,0.88
