column,n_non_na,pct_non_na
site_id,781,100
data_hub,781,100
network,771,98.7
oneflux_code_version_manifest,781,100
release_version,781,100
product_id,781,100
location_lat,781,100
location_long,781,100
igbp,781,100
p_era_mean_mm,781,100
p_era_sd_mm,781,100
n_years_era_full_record,781,100
p_era_cv,780,99.9
p_measured_mean_mm,587,75.2
n_years_measured,587,75.2
n_years_fm_total,781,100
bio12_mm,781,100
badm_map_mm,653,83.6
elevation_m,682,87.3
oneflux_code_version,780,99.9
frac_measured,587,75.2
record_length_years,781,100
log_ratio_era_bio12,781,100
log_ratio_measured_bio12,587,75.2
log_ratio_era_measured,587,75.2
log_ratio_badm_bio12,653,83.6
