site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
AR-Bal,30,30,-0.2938355407703257
AR-CCa,29,30,0.5317258459960739
AR-CCg,27,30,0.5313755201501994
AR-TF1,30,30,0.7368238117498573
AR-TF2,30,30,0.8100474881039612
AT-Mmg,30,30,-0.14851746591381126
AT-Neu,30,30,-0.11161617156315447
AT-Nsd,30,30,-0.08266774974370733
AT-PsM,30,30,0.03081014760103606
AT-Zoe,30,30,0.2740846467792713
AU-APL,24,30,0.41513586259000684
AU-ASM,30,30,-0.05163252875935908
AU-Ade,30,30,0.05417128287259822
AU-Boy,30,30,0.04120881165130549
AU-Col,30,30,0.4253579060628526
AU-Cow,28,30,0.037444730482121574
AU-Cpr,30,30,-0.014881461509255532
AU-Ctr,26,30,0.10006186202140123
AU-Cum,30,30,0.03038084582675498
AU-DaP,30,30,0.017111823161108382
AU-DaS,30,30,-0.0015366128378358477
AU-Dry,30,30,-0.005792950827489403
AU-Emr,30,30,0.03751727135960117
AU-Fle,30,30,-0.0409138401585623
AU-Fog,0,30,0.5983743014704647
AU-GWW,30,30,0.10042479662450113
AU-Gin,30,30,-0.042043070029484084
AU-How,30,30,0.004787935336564168
AU-Lit,30,30,0.012617204122570426
AU-Lon,30,30,-0.15972468307574264
AU-Lox,30,30,-0.28565746088372074
AU-MvA,30,30,-0.02355399742219093
AU-MvB,30,30,0.005957307689018724
AU-Otw,30,30,-0.08234143203016361
AU-RDF,30,30,0.0068356656498219665
AU-Rgf,30,30,0.11409925746362731
AU-Rig,30,30,-0.10745881530058912
AU-Rob,30,30,-0.14894336287366008
AU-Sam,30,30,-0.06149974396497852
AU-Sil,30,30,-0.08093932842863913
AU-Sno,30,30,-0.08283868480240904
AU-Stp,30,30,0.0029803820578389946
AU-TTE,30,30,0.13014260154163443
AU-Tum,30,30,-0.09696774627435474
AU-Wac,30,30,0.3758419701459337
AU-Wel,30,30,0.07991042788432194
AU-Wgt,30,30,-0.1913532153450926
AU-Whr,30,30,-0.25916684001215573
AU-Wom,30,30,-0.08987047100364895
AU-Wrr,30,30,-0.12062248273621902
AU-Ya1,30,30,-0.02307487585657524
AU-Ya2,30,30,0.002360356624403588
AU-Ync,30,30,0.0901353177162413
BE-Bra,30,30,0.008891070073660454
BE-Dor,30,30,-0.10916783996390284
BE-Lcr,30,30,-0.042894260420045245
BE-Lon,30,30,-0.062352908713419544
BJ-Bfg,30,30,0.07063575278478766
BJ-Db1,30,30,0.07579659026760865
BJ-Nhu,30,30,0.044819599047237306
BR-CST,30,30,-0.021033446718695392
BR-ITA,30,30,0.2820655175912936
BR-Ji3,0,30,0.516208195015365
BR-Ma2,30,30,0.020275077144896778
BR-Ma3,30,30,-0.0546701992119348
BR-Npw,30,30,0.03824512756770507
BR-SM1,0,30,0.5847195322177187
BR-Sa1,30,30,0.03182250334112617
BR-Sa3,30,30,-0.10361064879782356
BR-Xpw,30,30,0.03007196486388632
BW-Gum,30,30,0.6976295939433358
BW-Nxr,30,30,0.6849894375140302
CA-ARB,30,30,-0.11059495534486076
CA-ARF,30,30,-0.11045042625413551
CA-BOU,30,30,-0.16341994580702934
CA-CF1,30,30,0.9436552463446009
CA-CF2,0,30,1.0772808717870634
CA-CF3,30,30,-0.21625685860592386
CA-Ca1,30,30,-0.11521259923180342
CA-Ca2,30,30,-0.13527325308971716
CA-Ca3,30,30,0.04296276839389187
CA-Cbo,30,30,0.5812875804416661
CA-DB2,30,30,-0.05052420521701261
CA-DBB,30,30,-0.11143477795374425
CA-DSM,30,30,-0.09931567937610779
CA-EM1,30,30,-0.10310169088392845
CA-EM2,30,30,-0.22602392353918105
CA-Gro,30,30,0.04495093373405715
