site_id,dataset,path,file_name,exists,mtime,size_bytes,feeds
AR-Bal,era5_yy,data/extracted/AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1/AMF_AR-Bal_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_AR-Bal_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,3717,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-Bal,fluxmet_yy,data/extracted/AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1/AMF_AR-Bal_FLUXNET_FLUXMET_YY_2012-2013_v1.3_r1.csv,AMF_AR-Bal_FLUXNET_FLUXMET_YY_2012-2013_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,5552,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-CCa,era5_yy,data/extracted/AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1/AMF_AR-CCa_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_AR-CCa_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,3795,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-CCa,fluxmet_yy,data/extracted/AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1/AMF_AR-CCa_FLUXNET_FLUXMET_YY_2012-2020_v1.3_r1.csv,AMF_AR-CCa_FLUXNET_FLUXMET_YY_2012-2020_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,22046,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-CCg,era5_yy,data/extracted/AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1/AMF_AR-CCg_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,AMF_AR-CCg_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,3723,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-CCg,fluxmet_yy,data/extracted/AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1/AMF_AR-CCg_FLUXNET_FLUXMET_YY_2018-2024_v1.3_r1.csv,AMF_AR-CCg_FLUXNET_FLUXMET_YY_2018-2024_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,20944,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-TF1,era5_yy,data/extracted/AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1/AMF_AR-TF1_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,AMF_AR-TF1_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,3533,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-TF1,fluxmet_yy,data/extracted/AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1/AMF_AR-TF1_FLUXNET_FLUXMET_YY_2016-2018_v1.3_r1.csv,AMF_AR-TF1_FLUXNET_FLUXMET_YY_2016-2018_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,11726,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-TF2,era5_yy,data/extracted/AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1/AMF_AR-TF2_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,AMF_AR-TF2_FLUXNET_ERA5_YY_1981-2024_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,3538,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
AR-TF2,fluxmet_yy,data/extracted/AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1/AMF_AR-TF2_FLUXNET_FLUXMET_YY_2016-2018_v1.3_r1.csv,AMF_AR-TF2_FLUXNET_FLUXMET_YY_2016-2018_v1.3_r1.csv,TRUE,2026-06-01T16:37:37,11745,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
