site_id,product_id_june,product_name_june,first_year_june,last_year_june,data_hub,product_source_network,product_id_live,product_name_live,first_year_live,last_year_live,n_extracted_dirs,pid_changed,name_changed,year_extended,any_change,on_disk
JP-Om2,lsP2zCZJBUgW9PNkwls5Cb79,JPF_JP-Om2_FLUXNET_2022-2023_v1.3_r1.zip,2022,2023,ICOS,JPF,1LRw8IWf3BDKYACdAj8ouheV,JPF_JP-Om2_FLUXNET_2022-2025_v1.3_r1.zip,2022,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
JP-Api,XJkjHunTJq8lHQgSa-wYjGL5,JPF_JP-Api_FLUXNET_2000-2022_v1.3_r1.zip,2000,2022,ICOS,JPF,6FLIvFghC2kn5jdWiKfUjx9S,JPF_JP-Api_FLUXNET_2000-2022_v1.3_r2.zip,2000,2022,1,TRUE,TRUE,FALSE,TRUE,TRUE
SE-Svb,SxJ5MBCJuCmHLPK4C1fgwGCc,ICOS_SE-Svb_FLUXNET_2014-2024_v1.3_r1.zip,2014,2024,ICOS,ICOS,6APPPkAwbCF69Dx4gIGfRo8j,ICOS_SE-Svb_FLUXNET_2014-2025_v1.3_r1.zip,2014,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
NL-Loo,WewhyVCaeifJzeZN8L6CdbW3,ICOS_NL-Loo_FLUXNET_1997-2024_v1.3_r1.zip,1997,2024,ICOS,ICOS,fnq1hhvNLYGhtdiC16YIM0YQ,ICOS_NL-Loo_FLUXNET_1997-2025_v1.3_r1.zip,1997,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-TrF,YwbRGa_5X4xiWtFOUz2_TvxL,ICOS_IT-TrF_FLUXNET_2012-2024_v1.3_r1.zip,2012,2024,ICOS,ICOS,29NWndTHqEfVHMiVvFYTVd9e,ICOS_IT-TrF_FLUXNET_2012-2025_v1.3_r1.zip,2012,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-Tor,jpLpilIX0DYcAXQubpEJEEBn,ICOS_IT-Tor_FLUXNET_2008-2024_v1.3_r1.zip,2008,2024,ICOS,ICOS,RwvbnA8B9w4xSHzjc5eV45CK,ICOS_IT-Tor_FLUXNET_2008-2025_v1.3_r1.zip,2008,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-Ren,MneKjijlv5X9lwsAh_VHcJt6,ICOS_IT-Ren_FLUXNET_1999-2024_v1.3_r1.zip,1999,2024,ICOS,ICOS,pNTPZfSPE9VmxdZ-g9ijYCSc,ICOS_IT-Ren_FLUXNET_1999-2025_v1.3_r1.zip,1999,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-Noe,JclBQTcqbxNONZlGXsdcj9DJ,ICOS_IT-Noe_FLUXNET_2022-2024_v1.3_r2.zip,2022,2024,ICOS,ICOS,cJ06EF968EyjEU6NujzFDtgA,ICOS_IT-Noe_FLUXNET_2022-2025_v1.3_r1.zip,2022,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-Niv,KEdPYVMu2ozICBTFUa7oRkYX,ICOS_IT-Niv_FLUXNET_2019-2024_v1.3_r1.zip,2019,2024,ICOS,ICOS,lMjgrvS4zf_ZimDSnpQ5cdtO,ICOS_IT-Niv_FLUXNET_2019-2025_v1.3_r1.zip,2019,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-MBo,E0wSFc1mB8oN23pHXtN2iH3Z,ICOS_IT-MBo_FLUXNET_2003-2024_v1.3_r1.zip,2003,2024,ICOS,ICOS,enS2fTzGG_9PS5-51hqet8iH,ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1.zip,2003,2025,2,TRUE,TRUE,TRUE,TRUE,TRUE
IT-Lsn,wjxZGQl8gUxBPVKPVlu4-g5L,ICOS_IT-Lsn_FLUXNET_2016-2024_v1.3_r1.zip,2016,2024,ICOS,ICOS,K-GOp2uurEY--2x3wWw8n1Ac,ICOS_IT-Lsn_FLUXNET_2016-2025_v1.3_r1.zip,2016,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
