dir_name,site_id,hub_prefix,version,year_range,mtime,n_files,resolutions
AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1,AR-Bal,AMF,v1.3_r1,2012-2013,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1,AR-CCa,AMF,v1.3_r1,2012-2020,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1,AR-CCg,AMF,v1.3_r1,2018-2024,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1,AR-TF1,AMF,v1.3_r1,2016-2018,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1,AR-TF2,AMF,v1.3_r1,2016-2018,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1,BR-CST,AMF,v1.3_r1,2014-2015,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-ITA_FLUXNET_2020-2024_v1.3_r1,BR-ITA,AMF,v1.3_r1,2020-2024,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Ji3_FLUXNET_2004-2010_v1.3_r1,BR-Ji3,AMF,v1.3_r1,2004-2010,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1,BR-Ma2,AMF,v1.3_r1,1999-2016,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1,BR-Ma3,AMF,v1.3_r1,2008-2018,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Npw_FLUXNET_2013-2017_v1.3_r1,BR-Npw,AMF,v1.3_r1,2013-2017,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Sa1_FLUXNET_2002-2011_v1.3_r1,BR-Sa1,AMF,v1.3_r1,2002-2011,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
AMF_BR-Sa3_FLUXNET_2000-2004_v1.3_r1,BR-Sa3,AMF,v1.3_r1,2000-2004,2026-06-01T23:37:37Z,10,"3:DD,3:MM,3:YY"
