site_id,product_id_june,product_name_june,first_year_june,last_year_june,data_hub,product_source_network,product_id_live,product_name_live,first_year_live,last_year_live,n_extracted_dirs,pid_changed,name_changed,year_extended,any_change,on_disk
AR-Bal,10.17190/AMF/2571144,AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1.zip,2012,2013,AmeriFlux,AMF,10.17190/AMF/2571144,AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1.zip,2012,2013,1,FALSE,FALSE,FALSE,FALSE,TRUE
AR-CCa,10.17190/AMF/2571134,AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1.zip,2012,2020,AmeriFlux,AMF,10.17190/AMF/2571134,AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1.zip,2012,2020,1,FALSE,FALSE,FALSE,FALSE,TRUE
AR-CCg,10.17190/AMF/2469434,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip,2018,2024,AmeriFlux,AMF,10.17190/AMF/2469434,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip,2018,2024,1,FALSE,FALSE,FALSE,FALSE,TRUE
AR-TF1,10.17190/AMF/1818370,AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip,2016,2018,AmeriFlux,AMF,10.17190/AMF/1818370,AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip,2016,2018,1,FALSE,FALSE,FALSE,FALSE,TRUE
AR-TF2,10.17190/AMF/2571120,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip,2016,2018,AmeriFlux,AMF,10.17190/AMF/2571120,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip,2016,2018,1,FALSE,FALSE,FALSE,FALSE,TRUE
BR-CST,10.17190/AMF/1902820,AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1.zip,2014,2015,AmeriFlux,AMF,10.17190/AMF/1902820,AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1.zip,2014,2015,1,FALSE,FALSE,FALSE,FALSE,TRUE
BR-ITA,10.17190/AMF/3027371,AMF_BR-ITA_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,AmeriFlux,AMF,10.17190/AMF/3027371,AMF_BR-ITA_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,1,FALSE,FALSE,FALSE,FALSE,TRUE
BR-Ji3,10.17190/AMF/3027314,AMF_BR-Ji3_FLUXNET_2004-2010_v1.3_r1.zip,2004,2010,AmeriFlux,AMF,10.17190/AMF/3027314,AMF_BR-Ji3_FLUXNET_2004-2010_v1.3_r1.zip,2004,2010,1,FALSE,FALSE,FALSE,FALSE,TRUE
BR-Ma2,10.17190/AMF/3027671,AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1.zip,1999,2016,AmeriFlux,AMF,10.17190/AMF/3027671,AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1.zip,1999,2016,1,FALSE,FALSE,FALSE,FALSE,TRUE
BR-Ma3,10.17190/AMF/3027359,AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1.zip,2008,2018,AmeriFlux,AMF,10.17190/AMF/3027359,AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1.zip,2008,2018,1,FALSE,FALSE,FALSE,FALSE,TRUE
