axis,aggregation_level,n_classes,weighted_jaccard,hellinger_distance,network,n_sites
biomass_cci_v7,12bin_hybrid,12,0.6176824433127212,0.17834167615985475,current_781,781
biomass_cci_v7,12bin_hybrid,12,0.3882878536964055,0.38716837239883306,marconi,35
biomass_cci_v7,12bin_hybrid,12,0.49108112700104406,0.2667438838250989,la_thuile,252
biomass_cci_v7,12bin_hybrid,12,0.5408178939847973,0.22428913770446052,fluxnet2015,212
biomass_cci_v7,18bin_hybrid,18,0.6126572056106787,0.18428015505223372,current_781,781
biomass_cci_v7,18bin_hybrid,18,0.31273224288340856,0.47443291779463076,marconi,35
biomass_cci_v7,18bin_hybrid,18,0.4896775245471487,0.2728734354828983,la_thuile,252
biomass_cci_v7,18bin_hybrid,18,0.5397713453319987,0.23132605339619974,fluxnet2015,212
biomass_cci_v7,20bin_hybrid,20,0.6121729023805466,0.18013859137509264,current_781,781
biomass_cci_v7,20bin_hybrid,20,0.3118205760682679,0.4811009772628452,marconi,35
biomass_cci_v7,20bin_hybrid,20,0.49279577275756603,0.26818172969981796,la_thuile,252
biomass_cci_v7,20bin_hybrid,20,0.5214766035222658,0.24346846256922766,fluxnet2015,212
trendy_nee_iav,12bin_hybrid,12,0.49462537847967697,0.3245303418618972,current_781,781
trendy_nee_iav,12bin_hybrid,12,0.3759556550105114,0.3619140520990684,marconi,35
trendy_nee_iav,12bin_hybrid,12,0.41616626792473016,0.3919920774546427,la_thuile,252
trendy_nee_iav,12bin_hybrid,12,0.4845051713623382,0.3289804723755403,fluxnet2015,212
trendy_nee_iav,18bin_hybrid,18,0.48396723117291296,0.3310716055089069,current_781,781
trendy_nee_iav,18bin_hybrid,18,0.38535360228160453,0.4217454216517057,marconi,35
trendy_nee_iav,18bin_hybrid,18,0.4114806878863492,0.39808020351862244,la_thuile,252
trendy_nee_iav,18bin_hybrid,18,0.47703255669771827,0.33646969080922473,fluxnet2015,212
trendy_nee_iav,20bin_hybrid,20,0.48728698457344155,0.3284797538242464,current_781,781
trendy_nee_iav,20bin_hybrid,20,0.3879520629731048,0.42966364491166303,marconi,35
trendy_nee_iav,20bin_hybrid,20,0.3980716659301238,0.4002237624652273,la_thuile,252
trendy_nee_iav,20bin_hybrid,20,0.48274329899489826,0.33142029936653555,fluxnet2015,212
trendy_et_iav,12bin_hybrid,12,0.6580346160843382,0.22532137839347488,current_781,781
trendy_et_iav,12bin_hybrid,12,0.49767258534952596,0.3879289385133757,marconi,35
trendy_et_iav,12bin_hybrid,12,0.5970325507913018,0.26244081690098214,la_thuile,252
trendy_et_iav,12bin_hybrid,12,0.6249335077286463,0.22319846467681562,fluxnet2015,212
trendy_et_iav,18bin_hybrid,18,0.638621658728005,0.23688358617946376,current_781,781
trendy_et_iav,18bin_hybrid,18,0.4205748855833023,0.4771248040152398,marconi,35
trendy_et_iav,18bin_hybrid,18,0.590055098612785,0.2948400165412612,la_thuile,252
trendy_et_iav,18bin_hybrid,18,0.5897216078010992,0.2577394151498239,fluxnet2015,212
trendy_et_iav,20bin_hybrid,20,0.6352076231288759,0.23525118249256186,current_781,781
trendy_et_iav,20bin_hybrid,20,0.44419162555615227,0.45928880558584545,marconi,35
trendy_et_iav,20bin_hybrid,20,0.5884015983500601,0.28473594789401246,la_thuile,252
trendy_et_iav,20bin_hybrid,20,0.5478294210232189,0.2744523523368014,fluxnet2015,212
trendy_nee_median,12bin_hybrid,12,0.4776847401423052,0.330802564265514,current_781,781
trendy_nee_median,12bin_hybrid,12,0.3735085297807004,0.40244576377005087,marconi,35
trendy_nee_median,12bin_hybrid,12,0.38371589621562935,0.40910842025366917,la_thuile,252
trendy_nee_median,12bin_hybrid,12,0.48803802900319876,0.32830889838195537,fluxnet2015,212
trendy_nee_median,18bin_hybrid,18,0.47527758787278085,0.3380388761726052,current_781,781
trendy_nee_median,18bin_hybrid,18,0.3445095751509199,0.4680990423052905,marconi,35
trendy_nee_median,18bin_hybrid,18,0.3726647591547024,0.4160958596596065,la_thuile,252
trendy_nee_median,18bin_hybrid,18,0.4735130658983339,0.3423336082440471,fluxnet2015,212
trendy_nee_median,20bin_hybrid,20,0.47263183964047417,0.33499604442280834,current_781,781
trendy_nee_median,20bin_hybrid,20,0.34035522765093734,0.47555390666335373,marconi,35
trendy_nee_median,20bin_hybrid,20,0.3830787728784078,0.4215223232823674,la_thuile,252
trendy_nee_median,20bin_hybrid,20,0.4459775260436999,0.3525825579323069,fluxnet2015,212
trendy_et_median,12bin_hybrid,12,0.45325443593630577,0.3691832375099377,current_781,781
trendy_et_median,12bin_hybrid,12,0.3552639598220929,0.47864897777124504,marconi,35
trendy_et_median,12bin_hybrid,12,0.3541607323577336,0.43960110277109904,la_thuile,252
trendy_et_median,12bin_hybrid,12,0.370808870008285,0.4085006584319233,fluxnet2015,212
trendy_et_median,18bin_hybrid,18,0.43208675887525705,0.36840554438988443,current_781,781
trendy_et_median,18bin_hybrid,18,0.31673122891277183,0.5275801794847603,marconi,35
trendy_et_median,18bin_hybrid,18,0.3626873316828299,0.436710987426558,la_thuile,252
trendy_et_median,18bin_hybrid,18,0.3661062745703123,0.4145377281648587,fluxnet2015,212
trendy_et_median,20bin_hybrid,20,0.44400239440204753,0.37326515443341085,current_781,781
trendy_et_median,20bin_hybrid,20,0.2876792461068741,0.5383200279225331,marconi,35
trendy_et_median,20bin_hybrid,20,0.3503914745245252,0.43137971759659366,la_thuile,252
trendy_et_median,20bin_hybrid,20,0.35300890071580465,0.4100382041337244,fluxnet2015,212
biomass_cci_v7,30bin_hybrid,30,0.614181881342017,0.1896326417928904,current_781,781
biomass_cci_v7,30bin_hybrid,30,0.27522814266702544,0.5137651552558212,marconi,35
biomass_cci_v7,30bin_hybrid,30,0.4740522153760725,0.2929762054927785,la_thuile,252
biomass_cci_v7,30bin_hybrid,30,0.5095273929122083,0.27382470265871073,fluxnet2015,212
trendy_nee_iav,30bin_hybrid,30,0.4791722862954158,0.33364623448989195,current_781,781
trendy_nee_iav,30bin_hybrid,30,0.3565176845187131,0.492799148444616,marconi,35
trendy_nee_iav,30bin_hybrid,30,0.397614923541696,0.4095369177960706,la_thuile,252
trendy_nee_iav,30bin_hybrid,30,0.4367591750275815,0.35868001564151014,fluxnet2015,212
trendy_et_iav,30bin_hybrid,30,0.6349664801454651,0.23448247705193684,current_781,781
trendy_et_iav,30bin_hybrid,30,0.3922031404967515,0.5015685127821367,marconi,35
trendy_et_iav,30bin_hybrid,30,0.5378604171841388,0.32166359318234533,la_thuile,252
trendy_et_iav,30bin_hybrid,30,0.49498703593583776,0.3011401150277723,fluxnet2015,212
trendy_nee_median,30bin_hybrid,30,0.4626762831801635,0.3420412893890325,current_781,781
trendy_nee_median,30bin_hybrid,30,0.3543434726052447,0.5003396879093904,marconi,35
trendy_nee_median,30bin_hybrid,30,0.3730381546676752,0.4324551631689229,la_thuile,252
trendy_nee_median,30bin_hybrid,30,0.44423223596261,0.3633776500532883,fluxnet2015,212
trendy_et_median,30bin_hybrid,30,0.4278775652518155,0.3759721105674699,current_781,781
trendy_et_median,30bin_hybrid,30,0.26820488477798776,0.5754033799903999,marconi,35
trendy_et_median,30bin_hybrid,30,0.338708727481526,0.4543406153473898,la_thuile,252
trendy_et_median,30bin_hybrid,30,0.3594068416992808,0.4220244789475528,fluxnet2015,212
aridity_unep5,unep5,5,0.6935065461161923,0.21081980460399916,current_767,767
aridity_unep5,unep5,5,0.6651353029872541,0.2583946593056605,fluxnet2015,212
aridity_unep5,unep5,5,0.5603845925417409,0.3046759466965633,la_thuile,252
aridity_unep5,unep5,5,0.4789834323226586,0.3968932835862633,marconi,35
aridity_unep7,unep7,7,0.6668684481311914,0.21749744647293717,current_767,767
aridity_unep7,unep7,7,0.5981357264072649,0.2847947494679743,fluxnet2015,212
aridity_unep7,unep7,7,0.5311112605060369,0.31443677828510275,la_thuile,252
aridity_unep7,unep7,7,0.47898343232265866,0.4007718419959101,marconi,35
biomass_cci_v7,12bin_hybrid,12,0.6204590640642765,0.1775997956923867,current_767,767
biomass_cci_v7,18bin_hybrid,18,0.6162708835940298,0.18332876672216883,current_767,767
biomass_cci_v7,20bin_hybrid,20,0.613871188442075,0.17942944670131403,current_767,767
biomass_cci_v7,30bin_hybrid,30,0.6161285385978433,0.18921086908140908,current_767,767
biomass_cci_v7,7bin_hybrid,7,0.6385450788819502,0.16556347892278958,current_767,767
biomass_cci_v7,7bin_hybrid,7,0.5537168011955627,0.22106434287229965,fluxnet2015,212
biomass_cci_v7,7bin_hybrid,7,0.5319829942388983,0.25815483933654165,la_thuile,252
biomass_cci_v7,7bin_hybrid,7,0.4089512491189818,0.3463839126115215,marconi,35
koppen_beck2023,13class_twoletter,13,0.4230182209443884,0.37929761324686095,current_767,759
koppen_beck2023,13class_twoletter,13,0.4198469054828605,0.38259691533594775,current_781,781
koppen_beck2023,13class_twoletter,13,0.3650973530962458,0.4194697455087521,fluxnet2015,212
koppen_beck2023,13class_twoletter,13,0.2922554786441764,0.48803322886508593,la_thuile,252
koppen_beck2023,13class_twoletter,13,0.2229460105350978,0.6401139253376449,marconi,35
koppen_beck2023,30class,30,0.3572282005681528,0.43929852982507056,current_767,759
koppen_beck2023,30class,30,0.35112046448602136,0.4425616598262287,current_781,781
koppen_beck2023,30class,30,0.35297669115345653,0.4555663946828773,fluxnet2015,212
koppen_beck2023,30class,30,0.2827512108063624,0.5289856378110361,la_thuile,252
koppen_beck2023,30class,30,0.2121908202063231,0.6630720842697382,marconi,35
koppen_beck2023,5class,5,0.4579242500265164,0.29600393007453857,current_767,759
koppen_beck2023,5class,5,0.45596083001152327,0.29900550517939806,current_781,781
koppen_beck2023,5class,5,0.403566662920176,0.3183137699374069,fluxnet2015,212
koppen_beck2023,5class,5,0.33549883590919494,0.39249898360669777,la_thuile,252
koppen_beck2023,5class,5,0.3173471669384415,0.5037265726474162,marconi,35
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3807808204136632,0.4058009177516726,current_767,767
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3730105017434733,0.42757062074761937,fluxnet2015,212
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3020072100152889,0.5101176887839363,la_thuile,252
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.20676919215348252,0.6569246282240497,marconi,35
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.36760853840575375,0.4325969415683639,current_767,767
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.3303286905394402,0.4735239823009588,fluxnet2015,212
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.25641763301691933,0.5490176081497424,la_thuile,252
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.2041226588316568,0.6741784860395168,marconi,35
