site_id,status,attempts,zip_path,timestamp
JP-Om2,downloaded_verified,1,data/raw/JPF_JP-Om2_FLUXNET_2022-2025_v1.3_r1.zip,2026-09-20 10:55:23.776508
JP-Api,downloaded_verified,1,data/raw/JPF_JP-Api_FLUXNET_2000-2022_v1.3_r2.zip,2026-09-20 11:02:22.396104
SE-Svb,downloaded_verified,1,data/raw/ICOS_SE-Svb_FLUXNET_2014-2025_v1.3_r1.zip,2026-09-20 11:03:48.674093
NL-Loo,downloaded_verified,1,data/raw/ICOS_NL-Loo_FLUXNET_1997-2025_v1.3_r1.zip,2026-09-20 11:13:23.158917
IT-SR2,downloaded_verified,1,data/raw/ICOS_IT-SR2_FLUXNET_2013-2025_v1.3_r1.zip,2026-09-20 11:18:22.880546
IT-Ren,downloaded_verified,1,data/raw/ICOS_IT-Ren_FLUXNET_1999-2025_v1.3_r1.zip,2026-09-20 11:21:09.454394
IT-MBo,downloaded_verified,1,data/raw/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1.zip,2026-09-20 11:28:25.646414
IT-Cp2,downloaded_verified,1,data/raw/ICOS_IT-Cp2_FLUXNET_2012-2025_v1.3_r1.zip,2026-09-20 11:33:06.447699
IT-BCi,downloaded_verified,1,data/raw/ICOS_IT-BCi_FLUXNET_2004-2025_v1.3_r1.zip,2026-09-20 11:35:14.202655
FR-Pue,downloaded_verified,1,data/raw/ICOS_FR-Pue_FLUXNET_2000-2025_v1.3_r1.zip,2026-09-20 11:42:01.667712
FR-LGt,downloaded_verified,1,data/raw/ICOS_FR-LGt_FLUXNET_2017-2025_v1.3_r1.zip,2026-09-20 11:43:41.242732
FR-Hes,downloaded_verified,1,data/raw/ICOS_FR-Hes_FLUXNET_1997-2025_v1.3_r1.zip,2026-09-20 11:49:25.853208
FR-Gri,downloaded_verified,1,data/raw/ICOS_FR-Gri_FLUXNET_2004-2025_v1.3_r1.zip,2026-09-20 11:53:31.745854
FR-EM2,downloaded_verified,1,data/raw/ICOS_FR-EM2_FLUXNET_2017-2025_v1.3_r1.zip,2026-09-20 11:54:16.719934
FR-CLt,downloaded_verified,1,data/raw/ICOS_FR-CLt_FLUXNET_2019-2025_v1.3_r1.zip,2026-09-20 11:55:48.932099
FR-Bil,downloaded_verified,1,data/raw/ICOS_FR-Bil_FLUXNET_2014-2025_v1.3_r1.zip,2026-09-20 12:00:06.17393
FI-Var,downloaded_verified,1,data/raw/ICOS_FI-Var_FLUXNET_2016-2025_v1.3_r1.zip,2026-09-20 12:01:06.964357
FI-Let,downloaded_verified,1,data/raw/ICOS_FI-Let_FLUXNET_2010-2025_v1.3_r1.zip,2026-09-20 12:02:36.68335
FI-Ken,downloaded_verified,1,data/raw/ICOS_FI-Ken_FLUXNET_2018-2025_v1.3_r1.zip,2026-09-20 12:03:28.420465
FI-Hyy,downloaded_verified,1,data/raw/ICOS_FI-Hyy_FLUXNET_1997-2025_v1.3_r1.zip,2026-09-20 12:06:13.534306
ES-LMa,downloaded_verified,1,data/raw/ICOS_ES-LMa_FLUXNET_2020-2025_v1.3_r1.zip,2026-09-20 12:06:44.084905
DK-RCW,downloaded_verified,1,data/raw/ICOS_DK-RCW_FLUXNET_2023-2025_v1.3_r1.zip,2026-09-20 12:06:56.18653
DE-Tha,downloaded_verified,1,data/raw/ICOS_DE-Tha_FLUXNET_1996-2025_v1.3_r1.zip,2026-09-20 12:09:15.636338
DE-RuR,downloaded_verified,1,data/raw/ICOS_DE-RuR_FLUXNET_2011-2025_v1.3_r1.zip,2026-09-20 12:14:27.407123
DE-Msr,downloaded_verified,1,data/raw/ICOS_DE-Msr_FLUXNET_2020-2025_v1.3_r1.zip,2026-09-20 12:15:27.561455
DE-Hzd,downloaded_verified,1,data/raw/ICOS_DE-Hzd_FLUXNET_2010-2025_v1.3_r1.zip,2026-09-20 12:18:03.001342
DE-HoH,downloaded_verified,1,data/raw/ICOS_DE-HoH_FLUXNET_2015-2025_v1.3_r1.zip,2026-09-20 12:22:30.875601
