igbp,n_site_years,median_NEE,median_GPP,median_LE,median_H
BSV,46,-133.9575,239.933,132.3063918367347,1278.1241207999997
CRO,847,-220.684,1390.76,594.3339448163265,522.646128
CSH,77,-19.30005,913.086,466.4213015510204,714.984192
CVM,53,-109.0625,1231.5949999999998,488.66190465306124,581.3314704000001
DBF,778,-311.524,1525.01,469.0535921632653,759.47992416
DNF,104,-154.076,1415.9,453.6523689795918,1204.2352728
EBF,427,-383.246,1519.83,822.532182465306,898.4038751999999
ENF,1198,-222.224,1503.08,435.55013191836736,919.31376384
GRA,1061,-66.5813,1322.435,502.3009028571429,593.0754767999999
MF,231,-281.172,1680.205,450.7054324897959,789.6078288
OSH,350,-11.57515,338.166,256.8034403265306,1404.4604903999998
SAV,119,-54.4633,845.9125,395.8977952653062,1712.91377808
SNO,20,-5.90925,176.881,63.55804055510203,-73.23069168
WET,803,-57.0449,719.3625,478.03169828571424,506.96083007999994
WSA,196,-147.0655,932.005,428.2228388571429,1826.51298624
