site_id,koppen_class_before,koppen_class_after,changed,newly_classified,lost_classification
AR-Bal,BSk,BSk,FALSE,FALSE,FALSE
AR-CCa,Cfa,Cfa,FALSE,FALSE,FALSE
AR-CCg,Cfb,Cfb,FALSE,FALSE,FALSE
AR-TF1,ET,ET,FALSE,FALSE,FALSE
AR-TF2,ET,ET,FALSE,FALSE,FALSE
AT-Mmg,Dfb,Dfb,FALSE,FALSE,FALSE
AT-Neu,Dfb,Dfb,FALSE,FALSE,FALSE
AT-Nsd,BSk,BSk,FALSE,FALSE,FALSE
AT-PsM,Dfb,Dfb,FALSE,FALSE,FALSE
AT-Zoe,Dfb,Dfb,FALSE,FALSE,FALSE
AU-APL,Cfc,Cfc,FALSE,FALSE,FALSE
AU-ASM,BWh,BWh,FALSE,FALSE,FALSE
AU-Ade,Aw,Aw,FALSE,FALSE,FALSE
AU-Boy,BSk,BSk,FALSE,FALSE,FALSE
AU-Col,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Cow,Am,Am,FALSE,FALSE,FALSE
AU-Cpr,BWk,BWk,FALSE,FALSE,FALSE
AU-Ctr,Af,Af,FALSE,FALSE,FALSE
AU-Cum,Cfa,Cfa,FALSE,FALSE,FALSE
AU-DaP,Aw,Aw,FALSE,FALSE,FALSE
AU-DaS,Aw,Aw,FALSE,FALSE,FALSE
AU-Dry,Aw,Aw,FALSE,FALSE,FALSE
AU-Emr,BSh,BSh,FALSE,FALSE,FALSE
AU-Fle,BSh,BSh,FALSE,FALSE,FALSE
AU-Fog,NA,NA,FALSE,FALSE,FALSE
AU-GWW,BSh,BSh,FALSE,FALSE,FALSE
AU-Gin,Csa,Csa,FALSE,FALSE,FALSE
AU-How,Aw,Aw,FALSE,FALSE,FALSE
AU-Lit,Aw,Aw,FALSE,FALSE,FALSE
AU-Lon,BWh,BWh,FALSE,FALSE,FALSE
AU-Lox,BWk,BWk,FALSE,FALSE,FALSE
AU-MvA,BSh,BSh,FALSE,FALSE,FALSE
AU-MvB,BSk,BSk,FALSE,FALSE,FALSE
AU-Otw,Csb,Csb,FALSE,FALSE,FALSE
AU-RDF,Aw,Aw,FALSE,FALSE,FALSE
AU-Rgf,BSk,BSk,FALSE,FALSE,FALSE
AU-Rig,BSk,BSk,FALSE,FALSE,FALSE
AU-Rob,Cwb,Cwb,FALSE,FALSE,FALSE
AU-Sam,Cfa,Cfa,FALSE,FALSE,FALSE
AU-Sil,Cfc,Cfc,FALSE,FALSE,FALSE
AU-Sno,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Stp,BSh,BSh,FALSE,FALSE,FALSE
AU-TTE,BWh,BWh,FALSE,FALSE,FALSE
AU-Tum,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Wac,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Wel,Cfa,Cfa,FALSE,FALSE,FALSE
AU-Wgt,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Whr,BSk,BSk,FALSE,FALSE,FALSE
AU-Wom,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Wrr,Cfb,Cfb,FALSE,FALSE,FALSE
AU-Ya1,Cfa,Cfa,FALSE,FALSE,FALSE
AU-Ya2,Cfa,Cfa,FALSE,FALSE,FALSE
AU-Ync,BSk,BSk,FALSE,FALSE,FALSE
BE-Bra,Cfb,Cfb,FALSE,FALSE,FALSE
BE-Dor,Cfb,Cfb,FALSE,FALSE,FALSE
BE-Lcr,Cfb,Cfb,FALSE,FALSE,FALSE
BE-Lon,Cfb,Cfb,FALSE,FALSE,FALSE
BJ-Bfg,Aw,Aw,FALSE,FALSE,FALSE
BJ-Db1,Aw,Aw,FALSE,FALSE,FALSE
BJ-Nhu,Aw,Aw,FALSE,FALSE,FALSE
BR-CST,BSh,BSh,FALSE,FALSE,FALSE
BR-ITA,Cfa,Cfa,FALSE,FALSE,FALSE
BR-Ji3,NA,NA,FALSE,FALSE,FALSE
BR-Ma2,Af,Af,FALSE,FALSE,FALSE
BR-Ma3,Af,Af,FALSE,FALSE,FALSE
BR-Npw,Aw,Aw,FALSE,FALSE,FALSE
BR-SM1,NA,NA,FALSE,FALSE,FALSE
BR-Sa1,Am,Am,FALSE,FALSE,FALSE
BR-Sa3,Aw,Aw,FALSE,FALSE,FALSE
BR-Xpw,Aw,Aw,FALSE,FALSE,FALSE
BW-Gum,Cwa,Cwa,FALSE,FALSE,FALSE
BW-Nxr,Cwa,Cwa,FALSE,FALSE,FALSE
CA-ARB,Dfc,Dfc,FALSE,FALSE,FALSE
CA-ARF,Dfc,Dfc,FALSE,FALSE,FALSE
CA-BOU,Dfb,Dfb,FALSE,FALSE,FALSE
CA-CF1,Dfc,Dfc,FALSE,FALSE,FALSE
CA-CF2,NA,NA,FALSE,FALSE,FALSE
CA-CF3,Dfc,Dfc,FALSE,FALSE,FALSE
CA-Ca1,Cfb,Cfb,FALSE,FALSE,FALSE
CA-Ca2,Cfb,Cfb,FALSE,FALSE,FALSE
CA-Ca3,Cfb,Cfb,FALSE,FALSE,FALSE
CA-Cbo,Dfb,Dfb,FALSE,FALSE,FALSE
CA-DB2,Csb,Csb,FALSE,FALSE,FALSE
CA-DBB,Csb,Csb,FALSE,FALSE,FALSE
CA-DSM,Csb,Csb,FALSE,FALSE,FALSE
CA-EM1,Dfb,Dfb,FALSE,FALSE,FALSE
CA-EM2,BSk,BSk,FALSE,FALSE,FALSE
CA-Gro,Dfb,Dfb,FALSE,FALSE,FALSE
CA-HPC,Dfc,Dfc,FALSE,FALSE,FALSE
CA-KLP,Dfb,Dfb,FALSE,FALSE,FALSE
CA-LP1,Dfc,Dfc,FALSE,FALSE,FALSE
CA-LU1,Dfc,Dfc,FALSE,FALSE,FALSE
CA-LU2,Dfc,Dfc,FALSE,FALSE,FALSE
CA-MA1,Dfb,Dfb,FALSE,FALSE,FALSE
CA-MA2,Dfb,Dfb,FALSE,FALSE,FALSE
CA-MA3,Dfb,Dfb,FALSE,FALSE,FALSE
CA-Man,Dfc,Dfc,FALSE,FALSE,FALSE
