site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
AR-Bal,30,422.36246666666665,835,926,422.36246666666665,0.5058233133732535,0.4561149748020158,0.48096914408763464,elsewhere
AR-CCa,30,3554.8036,1018,1060,3554.8036,3.4919485265225934,3.3535883018867927,3.4227684142046932,4
AR-CCg,30,3460.358333333333,1004,1060,3460.358333333333,3.446572045152722,3.2644889937106916,3.355530519431707,elsewhere
AR-TF1,30,3586.691333333333,658,NA,3586.691333333333,5.450898682877406,NA,5.450898682877406,elsewhere
AR-TF2,30,3849.4612666666667,596,530,3849.4612666666662,6.458827628635347,7.263134465408805,6.860981047022076,8
AT-Mmg,30,812.6036333333334,1150,768,812.6036333333334,0.7066118550724638,1.0580776475694444,0.8823447513209541,1
AT-Neu,30,769.6289333333333,997,852,769.6289333333333,0.771944767636242,0.9033203442879498,0.8376325559620958,elsewhere
AT-Nsd,30,490.758,576,500.2,490.758,0.8520104166666667,0.9811235505797681,0.9165669836232173,1
AT-PsM,30,1263.2589,1165,1233,1263.2589,1.0843424034334763,1.0245408759124088,1.0544416396729426,1
AT-Zoe,30,1781.0322333333334,936,1645,1781.0322333333334,1.902812215099715,1.0826943667679838,1.4927532909338495,elsewhere
AU-APL,30,4208.4393,1655,NA,4208.4393,2.5428636253776435,NA,2.5428636253776435,elsewhere
AU-ASM,30,311.54563333333334,366,NA,311.54563333333334,0.851217577413479,NA,0.851217577413479,1
AU-Ade,30,1611.3440666666665,1409,NA,1611.3440666666663,1.1436082801040925,NA,1.1436082801040925,1
AU-Boy,30,508.7504333333333,469,NA,508.7504333333333,1.0847557213930348,NA,1.0847557213930348,1
AU-Col,30,2023.5442333333333,767,NA,2023.5442333333333,2.638258452846588,NA,2.638258452846588,elsewhere
AU-Cow,30,3341.9243666666666,3105,NA,3341.924366666666,1.0763041438539989,NA,1.0763041438539989,1
AU-Cpr,30,256.2216666666667,268,NA,256.2216666666667,0.9560509950248757,NA,0.9560509950248757,1
AU-Ctr,30,3882.7596333333336,3102,NA,3882.7596333333336,1.2516955620030088,NA,1.2516955620030088,elsewhere
AU-Cum,30,839.5806,843,NA,839.5806,0.9959437722419929,NA,0.9959437722419929,1
AU-DaP,30,1249.5877,1174,NA,1249.5877,1.0643847529812607,NA,1.0643847529812607,1
AU-DaS,30,1165.4386333333332,1140,NA,1165.4386333333332,1.0223145906432747,NA,1.0223145906432747,1
AU-Dry,30,868.1355333333333,854,NA,868.1355333333333,1.0165521467603436,NA,1.0165521467603436,1
AU-Emr,30,650.5638666666666,628,NA,650.5638666666666,1.0359297239915073,NA,1.0359297239915073,1
AU-Fle,30,560.8474,664,NA,560.8474,0.8446496987951807,NA,0.8446496987951807,elsewhere
