column,axis,class,order,global_land_fraction,n,network_frac,sampling_ratio,log2_sr
left,kg,Af,1,0.04612657874954013,15,0.019206145966709345,0.41637915681966386,-1.2640302431220982
left,kg,Am,2,0.03298668926209418,4,0.005121638924455826,0.15526380606923254,-2.687206536186939
left,kg,Aw,3,0.1210030649189778,22,0.028169014084507043,0.23279587259519977,-2.1028626149883447
left,kg,BS,4,0.10871632777403362,80,0.10243277848911651,0.9422023405906661,-0.08589117897752427
left,kg,BW,5,0.18164198745293073,51,0.06530089628681178,0.3595033130967769,-1.475923028628171
left,kg,Cf,6,0.0643394081066682,196,0.25096030729833546,3.900569101945557,1.9636846318353618
left,kg,Cs,7,0.01840837072797192,69,0.088348271446863,4.799353117797431,2.2628399648676902
left,kg,Cw,8,0.03854120791483616,6,0.0076824583866837385,0.19933102262024413,-2.3267618353003745
left,kg,Df,9,0.18756681351022858,245,0.31370038412291934,1.6724727485217545,0.7419827036064515
left,kg,Ds,10,0.019305415693163634,17,0.02176696542893726,1.1275056582513943,0.17313467349018505
left,kg,Dw,11,0.039350389257639014,28,0.03585147247119078,0.9110830451119618,-0.134345533383907
left,kg,EF,12,0.09560035422272174,0,0,NA,NA
left,kg,ET,13,0.04641339240919413,22,0.028169014084507043,0.6069156470218924,-0.7204320793616311
right,kg,Af,1,0.04612657874954013,15,0.01920614596670934,0.41637915681966386,-1.2640302431220982
right,kg,Am,2,0.03298668926209418,4,0.00512163892445582,0.15526380606923254,-2.687206536186939
right,kg,Aw,3,0.1210030649189778,22,0.02816901408450704,0.23279587259519977,-2.1028626149883447
right,kg,BS,4,0.10871632777403362,80,0.10243277848911651,0.942202340590666,-0.08589117897752427
right,kg,BW,5,0.18164198745293073,51,0.06530089628681178,0.3595033130967769,-1.475923028628171
right,kg,Cf,6,0.0643394081066682,196,0.25096030729833546,3.900569101945557,1.9636846318353616
right,kg,Cs,7,0.01840837072797192,69,0.088348271446863,4.799353117797431,2.2628399648676902
right,kg,Cw,8,0.03854120791483616,6,0.00768245838668373,0.19933102262024413,-2.3267618353003745
right,kg,Df,9,0.18756681351022855,245,0.31370038412291934,1.6724727485217543,0.7419827036064515
right,kg,Ds,10,0.01930541569316363,17,0.02176696542893726,1.1275056582513945,0.17313467349018505
right,kg,Dw,11,0.03935038925763901,28,0.03585147247119078,0.9110830451119618,-0.134345533383907
right,kg,EF,12,0.09560035422272174,0,0,NA,NA
right,kg,ET,13,0.04641339240919413,22,0.02816901408450704,0.6069156470218924,-0.7204320793616311
left,lulc,1,1,0.150548634499437,207,0.26504481434058896,1.7605261928933678,0.8160066916010791
left,lulc,2,2,0.29069360968087754,294,0.3764404609475032,1.2949732928796003,0.37292234453154194
left,lulc,3,3,0.15084093985098793,82,0.10499359795134443,0.696055050141328,-0.5227266833174196
left,lulc,4,4,0.09337997947972798,96,0.12291933418693982,1.316334988204025,0.3965266808063325
left,lulc,5,5,0.02068333728436182,50,0.06402048655569782,3.0952687023144083,1.6300646561825678
left,lulc,6,6,0.00588946588127204,7,0.008962868117797696,1.5218473624745485,0.6058236673540194
left,lulc,7,7,0.12948453738453536,5,0.006402048655569782,0.04944257271860473,-4.338102374691739
left,lulc,8,8,0.09925020816666408,0,0,NA,NA
left,lulc,9,9,0.02484006647407195,14,0.01792573623559539,0.7216460654123558,-0.4706366606444389
left,lulc,10,10,0.03438922129806419,26,0.03329065300896287,0.9680548658086899,-0.046839278392687256
right,igbp,ENF,1,0.05948741726661566,114,0.14596670934699105,2.453740909489906,1.2949829228689804
right,igbp,EBF,2,0.08620521263522463,44,0.05633802816901408,0.6535338925200168,-0.6136660382046308
right,igbp,DNF,3,0.03375475536810497,13,0.01664532650448143,0.4931253781270086,-1.0199735935067649
right,igbp,DBF,4,0.07096507653741628,81,0.10371318822023048,1.4614679963819637,0.5474182369670478
right,igbp,MF,5,0.01452582521512469,24,0.03072983354673495,2.1155310002448746,1.081019826593276
right,igbp,CSH,6,0,12,0.01536491677336747,NA,NA
right,igbp,OSH,7,0.08986215710901307,41,0.05249679897567221,0.5841925084436554,-0.7754842374058003
right,igbp,WSA,8,0.02575532265839127,18,0.02304737516005121,0.894858723602215,-0.16026816094246987
right,igbp,SAV,9,0.00750067877327833,14,0.01792573623559539,2.389881873018883,1.256939310498254
right,igbp,GRA,10,0.09595671185115832,146,0.18693982074263765,1.9481682639626745,0.9621182888683318
right,igbp,WET,11,0.02068333728436182,117,0.14980793854033292,7.242928763415715,2.8565731859912473
right,igbp,CRO,12,0.1244386788924104,139,0.17797695262483995,1.4302382041416457,0.5162554458250485
right,igbp,URB,13,0.00588946588127204,0,0,NA,NA
right,igbp,CVM,14,0.05042176576038214,9,0.0115236875800256,0.2285458949373032,-2.129444188904428
right,igbp,SNO,15,0.09925020816666408,2,0.00256081946222791,0.02580165331167572,-5.276392676524099
right,igbp,BSV,16,0.19046332012651015,7,0.00896286811779769,0.04705823731227802,-4.409408908066365
right,igbp,WAT,17,0.02484006647407195,0,0,NA,NA
left,aridity,Hyper-Arid,1,0.09811961548710724,4,0.005121638924455826,0.05219791067290516,-4.259864128614884
left,aridity,Arid,2,0.1467472101921818,46,0.058898847631242,0.4013626395630105,-1.3170217637515877
left,aridity,Semi-Arid,3,0.1645562235811463,149,0.19078104993597952,1.1593669676182208,0.21333728641915303
left,aridity,Dry Sub-Humid,4,0.08831224187196489,71,0.09090909090909091,1.029405312129783,0.041811132541017905
left,aridity,Humid (low),5,0.18942953497212137,201,0.2573623559539053,1.358617894468155,0.44213976127922605
left,aridity,Humid (moderate),6,0.2483296635991215,275,0.352112676056338,1.4179243468261342,0.5037805598197378
left,aridity,Hyper-Humid,7,0.06450551029635683,35,0.04481434058898848,0.6947366261130024,-0.5254619375034965
right,aridity,Hyper-Arid,1,0.09811961548710724,4,0.00512163892445582,0.05219791067290516,-4.259864128614884
right,aridity,Arid,2,0.1467472101921818,46,0.058898847631242,0.4013626395630105,-1.3170217637515875
right,aridity,Semi-Arid,3,0.1645562235811463,149,0.19078104993597952,1.1593669676182208,0.21333728641915303
right,aridity,Dry Sub-Humid,4,0.08831224187196489,71,0.09090909090909093,1.029405312129783,0.0418111325410179
right,aridity,Humid (low),5,0.18942953497212137,201,0.2573623559539053,1.358617894468155,0.4421397612792261
right,aridity,Humid (moderate),6,0.2483296635991215,275,0.352112676056338,1.4179243468261342,0.5037805598197378
right,aridity,Hyper-Humid,7,0.06450551029635683,35,0.04481434058898848,0.6947366261130024,-0.5254619375034965
left,biomass,1,1,0.5237514884752135,245,0.31370038412291934,0.5989489118898518,-0.7394951431361263
left,biomass,2,2,0.08250402162995459,108,0.1382842509603073,1.6760910344532913,0.7451005090537414
left,biomass,3,3,0.07952211845474326,83,0.10627400768245839,1.3364081559640524,0.41836069243456825
left,biomass,4,4,0.07657504421751912,71,0.09090909090909091,1.1871895320210915,0.24755027624264747
left,biomass,5,5,0.08010052282812409,106,0.1357234314980794,1.6944138028825142,0.7607862468443536
left,biomass,6,6,0.07869542780353736,116,0.14852752880921896,1.887371769297919,0.9163786290298515
left,biomass,7,7,0.07885137659090814,52,0.06658130601792574,0.8443899002976039,-0.2440187720972499
right,biomass,1,1,0.5237514884752135,245,0.31370038412291934,0.5989489118898518,-0.7394951431361263
right,biomass,2,2,0.08250402162995459,108,0.1382842509603073,1.676091034453291,0.7451005090537414
right,biomass,3,3,0.07952211845474326,83,0.1062740076824584,1.3364081559640524,0.41836069243456825
right,biomass,4,4,0.07657504421751912,71,0.09090909090909093,1.1871895320210917,0.24755027624264747
right,biomass,5,5,0.08010052282812409,106,0.1357234314980794,1.6944138028825142,0.7607862468443536
right,biomass,6,6,0.07869542780353736,116,0.14852752880921896,1.887371769297919,0.9163786290298516
right,biomass,7,7,0.07885137659090814,52,0.06658130601792574,0.8443899002976039,-0.2440187720972499
left,nee,1,1,0.2376709202494605,12,0.015364916773367477,0.06464786166200051,-3.9512535385427117
left,nee,2,2,0.12623052091719317,46,0.058898847631242,0.46659751701317514,-1.0997494648098067
left,nee,3,3,0.1274427477499793,80,0.10243277848911651,0.8037552571455221,-0.3151718261382611
left,nee,4,4,0.1267059738246835,150,0.19206145966709348,1.5158042976950636,0.6000835022094541
left,nee,5,5,0.1269861745218542,231,0.29577464788732394,2.329187795451082,1.2198269644279043
left,nee,6,6,0.127424213919488,173,0.22151088348271447,1.738373552947122,0.7977381311031457
left,nee,7,7,0.12753944881728485,89,0.11395646606914213,0.8934997534166709,-0.16246076376787705
right,nee,1,1,0.23953106636525776,7,0.00896286811779769,0.03741839525788416,-4.740108501937238
right,nee,2,2,0.12618272610573317,42,0.05377720870678617,0.4261851868830625,-1.230447645318457
right,nee,3,3,0.1264099622050969,30,0.03841229193341869,0.3038707651149815,-1.7184702125656928
right,nee,4,4,0.12651907142404642,27,0.03457106274007682,0.27324783806076997,-1.87171801356052
right,nee,5,5,0.1276415558417867,28,0.03585147247119078,0.28087617888040417,-1.831993820257102
right,nee,6,6,0.12636312244945674,34,0.04353393085787452,0.34451452301906677,-1.5373632938272934
right,nee,7,7,0.12735249560856174,468,0.5992317541613317,4.705300444234452,2.2342868452850433
left,et,1,1,0.09383427342684754,0,0,NA,NA
left,et,2,2,0.1509540257708135,26,0.03329065300896287,0.22053504594509143,-2.1809201575009483
left,et,3,3,0.15102443460595366,69,0.088348271446863,0.5849932276017284,-0.7735081720066314
left,et,4,4,0.15106948085664337,168,0.21510883482714468,1.423906626324288,0.5098545436669193
left,et,5,5,0.1510486968530381,311,0.39820742637644047,2.63628508337198,1.3985063893627259
left,et,6,6,0.1510261630703542,167,0.21382842509603073,1.415836969892565,0.5016551522369436
left,et,7,7,0.1510429254163393,40,0.05121638924455826,0.3390849925832928,-1.5602811607297895
right,et,1,1,0.09383427342684754,0,0,NA,NA
right,et,2,2,0.1509540257708135,24,0.03072983354673495,0.20357081164162288,-2.296397374920884
right,et,3,3,0.15102443460595366,55,0.07042253521126761,0.4662989495376096,-1.100672915260141
right,et,4,4,0.15106948085664337,111,0.14212548015364918,0.9407954495356904,-0.08804701276173499
right,et,5,5,0.1510486968530381,267,0.3418693982074264,2.2633058432807673,1.1784315509196772
right,et,6,6,0.1510261630703542,153,0.19590268886043533,1.2971440502608529,0.375338702455543
right,et,7,7,0.1510429254163393,46,0.058898847631242,0.3899477414707867,-1.3586472995601386
