igbp,igbp_name,shuttle_sites,fx15_sites,delta_sites
GRA,Grasslands,140,39,101
CRO,Croplands,136,20,116
WET,Permanent Wetlands,114,21,93
ENF,Evergreen Needleleaf Forests,112,49,63
DBF,Deciduous Broadleaf Forests,77,26,51
EBF,Evergreen Broadleaf Forests,42,15,27
OSH,Open Shrublands,39,13,26
MF,Mixed Forests,24,9,15
WSA,Woody Savannas,18,6,12
SAV,Savannas,13,9,4
DNF,Deciduous Needleleaf Forests,13,1,12
CSH,Closed Shrublands,12,3,9
CVM,Cropland/Natural Vegetation Mosaics,9,0,9
BSV,Barren Sparse Vegetation,7,0,7
SNO,Snow and Ice,2,1,1
TOTAL,,758,212,546
