axis,class,global_land_fraction,n,network_frac,sampling_ratio,log2_sr
kg,Af,0.04612657874954013,15,0.019206145966709345,0.41637915681966386,-1.2640302431220982
kg,Am,0.03298668926209418,4,0.005121638924455826,0.15526380606923254,-2.687206536186939
kg,Aw,0.1210030649189778,22,0.028169014084507043,0.23279587259519977,-2.1028626149883447
kg,BS,0.10871632777403362,80,0.10243277848911651,0.9422023405906661,-0.08589117897752427
kg,BW,0.18164198745293073,51,0.06530089628681178,0.3595033130967769,-1.475923028628171
kg,Cf,0.0643394081066682,196,0.25096030729833546,3.900569101945557,1.9636846318353618
kg,Cs,0.01840837072797192,69,0.088348271446863,4.799353117797431,2.2628399648676902
kg,Cw,0.03854120791483616,6,0.0076824583866837385,0.19933102262024413,-2.3267618353003745
kg,Df,0.18756681351022858,245,0.31370038412291934,1.6724727485217545,0.7419827036064515
kg,Ds,0.019305415693163634,17,0.02176696542893726,1.1275056582513943,0.17313467349018505
kg,Dw,0.039350389257639014,28,0.03585147247119078,0.9110830451119618,-0.134345533383907
kg,EF,0.09560035422272174,0,0,NA,NA
kg,ET,0.04641339240919413,22,0.028169014084507043,0.6069156470218924,-0.7204320793616311
igbp,ENF,0.05948741726661566,114,0.14596670934699105,2.453740909489906,1.2949829228689804
igbp,EBF,0.08620521263522463,44,0.056338028169014086,0.6535338925200168,-0.6136660382046308
igbp,DNF,0.03375475536810497,13,0.016645326504481434,0.4931253781270086,-1.0199735935067649
igbp,DBF,0.07096507653741628,81,0.10371318822023047,1.4614679963819637,0.5474182369670478
igbp,MF,0.01452582521512469,24,0.030729833546734954,2.1155310002448746,1.081019826593276
igbp,CSH,0,12,0.015364916773367477,NA,NA
igbp,OSH,0.08986215710901307,41,0.052496798975672214,0.5841925084436554,-0.7754842374058003
igbp,WSA,0.02575532265839127,18,0.023047375160051217,0.894858723602215,-0.16026816094246987
igbp,SAV,0.00750067877327833,14,0.01792573623559539,2.389881873018883,1.256939310498254
igbp,GRA,0.09595671185115831,146,0.18693982074263765,1.9481682639626743,0.9621182888683318
igbp,WET,0.020683337284361822,117,0.14980793854033292,7.242928763415715,2.8565731859912473
igbp,CRO,0.12443867889241039,139,0.17797695262483995,1.4302382041416457,0.5162554458250485
igbp,URB,0.00588946588127204,0,0,NA,NA
igbp,CVM,0.05042176576038214,9,0.011523687580025609,0.2285458949373032,-2.129444188904428
igbp,SNO,0.09925020816666408,2,0.002560819462227913,0.02580165331167572,-5.276392676524099
igbp,BSV,0.19046332012651018,7,0.008962868117797696,0.047058237312278026,-4.409408908066365
igbp,WAT,0.02484006647407195,0,0,NA,NA
aridity,Hyper-Arid,0.09811961548710724,4,0.005121638924455826,0.05219791067290516,-4.259864128614884
aridity,Arid,0.1467472101921818,46,0.058898847631242,0.4013626395630105,-1.3170217637515877
aridity,Semi-Arid,0.1645562235811463,149,0.19078104993597952,1.1593669676182208,0.21333728641915303
aridity,Dry Sub-Humid,0.08831224187196489,71,0.09090909090909091,1.029405312129783,0.041811132541017905
aridity,Humid (low),0.18942953497212137,201,0.2573623559539053,1.358617894468155,0.44213976127922605
aridity,Humid (moderate),0.2483296635991215,275,0.352112676056338,1.4179243468261342,0.5037805598197378
aridity,Hyper-Humid,0.06450551029635683,35,0.04481434058898848,0.6947366261130024,-0.5254619375034965
biomass,1,0.5237514884752135,245,0.31370038412291934,0.5989489118898518,-0.7394951431361263
biomass,2,0.08250402162995459,108,0.1382842509603073,1.6760910344532913,0.7451005090537414
biomass,3,0.07952211845474326,83,0.10627400768245839,1.3364081559640524,0.41836069243456825
biomass,4,0.07657504421751912,71,0.09090909090909091,1.1871895320210915,0.24755027624264747
biomass,5,0.08010052282812409,106,0.1357234314980794,1.6944138028825142,0.7607862468443536
biomass,6,0.07869542780353736,116,0.14852752880921896,1.887371769297919,0.9163786290298515
biomass,7,0.07885137659090814,52,0.06658130601792574,0.8443899002976039,-0.2440187720972499
nee,1,0.23953106636525776,7,0.008962868117797696,0.03741839525788416,-4.740108501937238
nee,2,0.12618272610573317,42,0.05377720870678617,0.42618518688306245,-1.230447645318457
nee,3,0.1264099622050969,30,0.03841229193341869,0.3038707651149815,-1.7184702125656928
nee,4,0.12651907142404642,27,0.034571062740076826,0.27324783806076997,-1.8717180135605198
nee,5,0.1276415558417867,28,0.03585147247119078,0.28087617888040417,-1.831993820257102
nee,6,0.12636312244945674,34,0.04353393085787452,0.34451452301906677,-1.5373632938272934
nee,7,0.12735249560856174,468,0.5992317541613317,4.705300444234452,2.2342868452850433
et,1,0.09383427342684754,0,0,NA,NA
et,2,0.1509540257708135,24,0.030729833546734954,0.20357081164162286,-2.296397374920884
et,3,0.15102443460595366,55,0.07042253521126761,0.4662989495376096,-1.100672915260141
et,4,0.15106948085664337,111,0.14212548015364918,0.9407954495356904,-0.08804701276173499
et,5,0.1510486968530381,267,0.3418693982074264,2.2633058432807673,1.1784315509196772
et,6,0.1510261630703542,153,0.19590268886043533,1.2971440502608529,0.375338702455543
et,7,0.1510429254163393,46,0.058898847631242,0.38994774147078676,-1.3586472995601386
